paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_Plant,Nap_ngg,3.34,Unknown,table_p3_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_Plant,Acy_ngg,0.089,Unknown,table_p3_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_Plant,Ace_ngg,4.86,Unknown,table_p3_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_Plant,Flu_ngg,2.03,Unknown,table_p3_ri6_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_Plant,Phe_ngg,79.64,Unknown,table_p3_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_Plant,Flt_ngg,0.3,Unknown,table_p3_ri10_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_Plant,Pyr_ngg,4.88,Unknown,table_p3_ri11_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_Plant,Ant_ngg,0.01,Unknown,table_p3_ri12_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_Plant,Chr_ngg,0.02,Unknown,table_p3_ri13_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_Plant,Flt_ngg,0.03,Unknown,table_p3_ri15_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_Plant,Flt_ngg,0.02,Unknown,table_p3_ri16_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_Plant,Pyr_ngg,0.07,Unknown,table_p3_ri17_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_Plant,Ant_ngg,0.06,Unknown,table_p3_ri18_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_Plant,Pyr_ngg,0.002,Unknown,table_p3_ri20_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_Plant,Sum_PAH_ngg,95.37,Unknown,table_p3_ri23_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_Plant,Sum_PAH_ngg,89.96,Unknown,table_p3_ri24_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
