paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_Plant,Nap_ngg,3.34,Unknown,table_p3_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_Plant,Sum_PAH_ngg,5.41,Unknown,table_p3_ri25_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_Plant,Sum_PAH_ngg,0.27,Unknown,table_p3_ri26_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_NG_S1,Pyr_ngg,0.06,Unknown,table_p3_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_NG_S1,BaA_ngg,0.5,Unknown,table_p3_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_NG_S1,Chr_ngg,0.5,Unknown,table_p3_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_NG_S1,BaP_ngg,4.0,Unknown,table_p3_ri2_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_NG_S1,BghiP_ngg,4.0,Unknown,table_p3_ri2_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_NG_S2,Pyr_ngg,0.29,Unknown,table_p3_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_NG_S2,BaA_ngg,0.6,Unknown,table_p3_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_NG_S2,Chr_ngg,0.6,Unknown,table_p3_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_NG_S2,BaP_ngg,2.0,Unknown,table_p3_ri3_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_NG_S2,BghiP_ngg,2.0,Unknown,table_p3_ri3_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_CH_S1,Pyr_ngg,1.0,Unknown,table_p3_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_CH_S1,BaA_ngg,0.3,Unknown,table_p3_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_CH_S1,Chr_ngg,0.3,Unknown,table_p3_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_CH_S1,BaP_ngg,1.0,Unknown,table_p3_ri4_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_CH_S1,BghiP_ngg,1.0,Unknown,table_p3_ri4_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_CH_S2,Pyr_ngg,1.0,Unknown,table_p3_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_CH_S2,BaA_ngg,0.5,Unknown,table_p3_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_CH_S2,Chr_ngg,0.5,Unknown,table_p3_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_CH_S2,BaP_ngg,2.0,Unknown,table_p3_ri5_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_CH_S2,BghiP_ngg,2.0,Unknown,table_p3_ri5_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_NG_P1,Pyr_ngg,0.4,Unknown,table_p3_ri7_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_NG_P1,BaA_ngg,0.1,Unknown,table_p3_ri7_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_NG_P1,Chr_ngg,0.1,Unknown,table_p3_ri7_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_NG_P1,BaP_ngg,0.5,Unknown,table_p3_ri7_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_NG_P1,BghiP_ngg,0.5,Unknown,table_p3_ri7_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_NG_P2,Pyr_ngg,0.4,Unknown,table_p3_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_NG_P2,BaA_ngg,0.01,Unknown,table_p3_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_NG_P2,Chr_ngg,0.01,Unknown,table_p3_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_CH_P1,Pyr_ngg,0.1,Unknown,table_p3_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_CH_P1,BaA_ngg,0.3,Unknown,table_p3_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_CH_P1,Chr_ngg,0.3,Unknown,table_p3_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_CH_P2,Pyr_ngg,0.2,Unknown,table_p3_ri10_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_CH_P2,BaA_ngg,0.3,Unknown,table_p3_ri10_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_CH_P2,Chr_ngg,0.3,Unknown,table_p3_ri10_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_CH_P2,BaP_ngg,0.5,Unknown,table_p3_ri10_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_CH_P2,BghiP_ngg,0.5,Unknown,table_p3_ri10_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col1,SumPCB_ngg,189.0,Unknown,table_p6_ri3_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col2,SumPCB_ngg,726.0,Unknown,table_p6_ri3_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col3,SumPCB_ngg,0.1,Unknown,table_p6_ri3_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col4,SumPCB_ngg,508.0,Unknown,table_p6_ri3_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col5,SumPCB_ngg,185.0,Unknown,table_p6_ri3_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col7,SumPCB_ngg,46.0,Unknown,table_p6_ri3_ci7,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col8,SumPCB_ngg,59.0,Unknown,table_p6_ri3_ci8,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col9,SumPCB_ngg,58.0,Unknown,table_p6_ri3_ci9,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col10,SumPCB_ngg,59.0,Unknown,table_p6_ri3_ci10,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col1,SumPCB_ngg,942.0,Unknown,table_p6_ri6_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col2,SumPCB_ngg,949.0,Unknown,table_p6_ri6_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col3,SumPCB_ngg,0.02,Unknown,table_p6_ri6_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col4,SumPCB_ngg,321.0,Unknown,table_p6_ri6_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col5,SumPCB_ngg,834.0,Unknown,table_p6_ri6_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col6,SumPCB_ngg,0.02,Unknown,table_p6_ri6_ci6,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col7,SumPCB_ngg,67.0,Unknown,table_p6_ri6_ci7,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col8,SumPCB_ngg,84.0,Unknown,table_p6_ri6_ci8,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col9,SumPCB_ngg,249.0,Unknown,table_p6_ri6_ci9,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col10,SumPCB_ngg,139.0,Unknown,table_p6_ri6_ci10,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col1,SumPCB_ngg,1112.0,Unknown,table_p6_ri13_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col2,SumPCB_ngg,1617.0,Unknown,table_p6_ri13_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col3,SumPCB_ngg,0.04,Unknown,table_p6_ri13_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col4,SumPCB_ngg,1215.0,Unknown,table_p6_ri13_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col5,SumPCB_ngg,1111.0,Unknown,table_p6_ri13_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col6,SumPCB_ngg,0.04,Unknown,table_p6_ri13_ci6,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col7,SumPCB_ngg,129.0,Unknown,table_p6_ri13_ci7,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col8,SumPCB_ngg,290.0,Unknown,table_p6_ri13_ci8,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col9,SumPCB_ngg,234.0,Unknown,table_p6_ri13_ci9,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col10,SumPCB_ngg,205.0,Unknown,table_p6_ri13_ci10,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col1,SumPCB_ngg,599.0,Unknown,table_p6_ri19_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col2,SumPCB_ngg,259.0,Unknown,table_p6_ri19_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col3,SumPCB_ngg,0.011,Unknown,table_p6_ri19_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col4,SumPCB_ngg,1625.0,Unknown,table_p6_ri19_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col5,SumPCB_ngg,2208.0,Unknown,table_p6_ri19_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col6,SumPCB_ngg,0.02,Unknown,table_p6_ri19_ci6,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col7,SumPCB_ngg,76.0,Unknown,table_p6_ri19_ci7,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col8,SumPCB_ngg,142.0,Unknown,table_p6_ri19_ci8,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col9,SumPCB_ngg,72.0,Unknown,table_p6_ri19_ci9,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col10,SumPCB_ngg,62.0,Unknown,table_p6_ri19_ci10,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col2,SumPCB_ngg,316.0,Unknown,table_p6_ri27_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col3,SumPCB_ngg,0.011,Unknown,table_p6_ri27_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col4,SumPCB_ngg,1306.0,Unknown,table_p6_ri27_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col5,SumPCB_ngg,589.0,Unknown,table_p6_ri27_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col6,SumPCB_ngg,0.002,Unknown,table_p6_ri27_ci6,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col7,SumPCB_ngg,54.0,Unknown,table_p6_ri27_ci7,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col8,SumPCB_ngg,170.0,Unknown,table_p6_ri27_ci8,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col9,SumPCB_ngg,98.0,Unknown,table_p6_ri27_ci9,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col10,SumPCB_ngg,48.0,Unknown,table_p6_ri27_ci10,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col1,SumPCB_ngg,62.0,Unknown,table_p6_ri32_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col2,SumPCB_ngg,13544.0,Unknown,table_p6_ri32_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col4,SumPCB_ngg,93.0,Unknown,table_p6_ri32_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col5,SumPCB_ngg,127.0,Unknown,table_p6_ri32_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col6,SumPCB_ngg,0.01,Unknown,table_p6_ri32_ci6,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col7,SumPCB_ngg,35.0,Unknown,table_p6_ri32_ci7,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col8,SumPCB_ngg,33.0,Unknown,table_p6_ri32_ci8,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col9,SumPCB_ngg,43.0,Unknown,table_p6_ri32_ci9,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col10,SumPCB_ngg,45.0,Unknown,table_p6_ri32_ci10,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col4,SumPCB_ngg,189.0,Unknown,table_p6_ri34_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col5,SumPCB_ngg,60.0,Unknown,table_p6_ri34_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col5,OC_pct,60.0,Unknown,table_p6_ri34_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col7,SumPCB_ngg,45.0,Unknown,table_p6_ri34_ci7,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col7,OC_pct,45.0,Unknown,table_p6_ri34_ci7,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col8,SumPCB_ngg,49.0,Unknown,table_p6_ri34_ci8,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col8,OC_pct,49.0,Unknown,table_p6_ri34_ci8,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col9,SumPCB_ngg,27.0,Unknown,table_p6_ri34_ci9,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col9,OC_pct,27.0,Unknown,table_p6_ri34_ci9,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col10,SumPCB_ngg,44.0,Unknown,table_p6_ri34_ci10,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col10,OC_pct,44.0,Unknown,table_p6_ri34_ci10,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col1,SumPCB_ngg,20.0,Unknown,table_p6_ri36_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col2,SumPCB_ngg,3.0,Unknown,table_p6_ri36_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col3,SumPCB_ngg,1.0,Unknown,table_p6_ri36_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col4,SumPCB_ngg,10.0,Unknown,table_p6_ri36_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col5,SumPCB_ngg,4.0,Unknown,table_p6_ri36_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col7,SumPCB_ngg,55.0,Unknown,table_p6_ri36_ci7,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col8,SumPCB_ngg,51.0,Unknown,table_p6_ri36_ci8,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col9,SumPCB_ngg,192.0,Unknown,table_p6_ri36_ci9,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72280_j.scitotenv.2012.01.056,72280_j.scitotenv.2012.01.056_col10,SumPCB_ngg,94.0,Unknown,table_p6_ri36_ci10,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
