paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes
P01654,S4,Sum_PAH_ngg,12.3,ng/g,SI Table SD2,soil,karst,Hubei,"SI Table SD2直接读取ΣPAHs(16 EPA PAHs sum);hilltop;无HM数据;无单体PAH浓度;摘要range 8.26-397与表值3.20-398略有差异"
P01654,S5,Sum_PAH_ngg,6.06,ng/g,SI Table SD2,soil,karst,Hubei,"SI Table SD2直接读取ΣPAHs(16 EPA PAHs sum);hilltop;无HM数据;无单体PAH浓度;摘要range 8.26-397与表值3.20-398略有差异"
P01654,S6,Sum_PAH_ngg,3.20,ng/g,SI Table SD2,soil,karst,Hubei,"SI Table SD2直接读取ΣPAHs(16 EPA PAHs sum);hilltop;无HM数据;无单体PAH浓度;摘要range 8.26-397与表值3.20-398略有差异"
P01654,S17,Sum_PAH_ngg,27.1,ng/g,SI Table SD2,soil,karst,Hubei,"SI Table SD2直接读取ΣPAHs(16 EPA PAHs sum);hilltop;无HM数据;无单体PAH浓度;摘要range 8.26-397与表值3.20-398略有差异"
P01654,S18,Sum_PAH_ngg,46.2,ng/g,SI Table SD2,soil,karst,Hubei,"SI Table SD2直接读取ΣPAHs(16 EPA PAHs sum);hilltop;无HM数据;无单体PAH浓度;摘要range 8.26-397与表值3.20-398略有差异"
P01654,S19,Sum_PAH_ngg,22.1,ng/g,SI Table SD2,soil,karst,Hubei,"SI Table SD2直接读取ΣPAHs(16 EPA PAHs sum);hilltop;无HM数据;无单体PAH浓度;摘要range 8.26-397与表值3.20-398略有差异"
P01654,S20,Sum_PAH_ngg,37.7,ng/g,SI Table SD2,soil,karst,Hubei,"SI Table SD2直接读取ΣPAHs(16 EPA PAHs sum);hilltop;无HM数据;无单体PAH浓度;摘要range 8.26-397与表值3.20-398略有差异"
P01654,S21,Sum_PAH_ngg,44.0,ng/g,SI Table SD2,soil,karst,Hubei,"SI Table SD2直接读取ΣPAHs(16 EPA PAHs sum);hilltop;无HM数据;无单体PAH浓度;摘要range 8.26-397与表值3.20-398略有差异"
P01654,S22,Sum_PAH_ngg,16.1,ng/g,SI Table SD2,soil,karst,Hubei,"SI Table SD2直接读取ΣPAHs(16 EPA PAHs sum);hilltop;无HM数据;无单体PAH浓度;摘要range 8.26-397与表值3.20-398略有差异"
P01654,S24,Sum_PAH_ngg,67.8,ng/g,SI Table SD2,soil,karst,Hubei,"SI Table SD2直接读取ΣPAHs(16 EPA PAHs sum);hilltop;无HM数据;无单体PAH浓度;摘要range 8.26-397与表值3.20-398略有差异"
P01654,S1,Sum_PAH_ngg,31.9,ng/g,SI Table SD2,soil,karst,Hubei,"SI Table SD2直接读取ΣPAHs(16 EPA PAHs sum);valley;无HM数据;无单体PAH浓度;摘要range 8.26-397与表值3.20-398略有差异"
P01654,S2,Sum_PAH_ngg,17.1,ng/g,SI Table SD2,soil,karst,Hubei,"SI Table SD2直接读取ΣPAHs(16 EPA PAHs sum);valley;无HM数据;无单体PAH浓度;摘要range 8.26-397与表值3.20-398略有差异"
P01654,S3,Sum_PAH_ngg,69.3,ng/g,SI Table SD2,soil,karst,Hubei,"SI Table SD2直接读取ΣPAHs(16 EPA PAHs sum);valley;无HM数据;无单体PAH浓度;摘要range 8.26-397与表值3.20-398略有差异"
P01654,S7,Sum_PAH_ngg,8.07,ng/g,SI Table SD2,soil,karst,Hubei,"SI Table SD2直接读取ΣPAHs(16 EPA PAHs sum);valley;无HM数据;无单体PAH浓度;摘要range 8.26-397与表值3.20-398略有差异"
P01654,S8,Sum_PAH_ngg,51.3,ng/g,SI Table SD2,soil,karst,Hubei,"SI Table SD2直接读取ΣPAHs(16 EPA PAHs sum);valley;无HM数据;无单体PAH浓度;摘要range 8.26-397与表值3.20-398略有差异"
P01654,S9,Sum_PAH_ngg,91.9,ng/g,SI Table SD2,soil,karst,Hubei,"SI Table SD2直接读取ΣPAHs(16 EPA PAHs sum);valley;无HM数据;无单体PAH浓度;摘要range 8.26-397与表值3.20-398略有差异"
P01654,S10,Sum_PAH_ngg,12.8,ng/g,SI Table SD2,soil,karst,Hubei,"SI Table SD2直接读取ΣPAHs(16 EPA PAHs sum);valley;无HM数据;无单体PAH浓度;摘要range 8.26-397与表值3.20-398略有差异"
P01654,S11,Sum_PAH_ngg,398,ng/g,SI Table SD2,soil,karst,Hubei,"SI Table SD2直接读取ΣPAHs(16 EPA PAHs sum);valley;无HM数据;无单体PAH浓度;摘要range 8.26-397与表值3.20-398略有差异"
P01654,S12,Sum_PAH_ngg,20.1,ng/g,SI Table SD2,soil,karst,Hubei,"SI Table SD2直接读取ΣPAHs(16 EPA PAHs sum);valley;无HM数据;无单体PAH浓度;摘要range 8.26-397与表值3.20-398略有差异"
P01654,S13,Sum_PAH_ngg,27.5,ng/g,SI Table SD2,soil,karst,Hubei,"SI Table SD2直接读取ΣPAHs(16 EPA PAHs sum);valley;无HM数据;无单体PAH浓度;摘要range 8.26-397与表值3.20-398略有差异"
P01654,S14,Sum_PAH_ngg,7.94,ng/g,SI Table SD2,soil,karst,Hubei,"SI Table SD2直接读取ΣPAHs(16 EPA PAHs sum);valley;无HM数据;无单体PAH浓度;摘要range 8.26-397与表值3.20-398略有差异"
P01654,S15,Sum_PAH_ngg,13.3,ng/g,SI Table SD2,soil,karst,Hubei,"SI Table SD2直接读取ΣPAHs(16 EPA PAHs sum);valley;无HM数据;无单体PAH浓度;摘要range 8.26-397与表值3.20-398略有差异"
P01654,S16,Sum_PAH_ngg,17.0,ng/g,SI Table SD2,soil,karst,Hubei,"SI Table SD2直接读取ΣPAHs(16 EPA PAHs sum);valley;无HM数据;无单体PAH浓度;摘要range 8.26-397与表值3.20-398略有差异"
P01654,S23,Sum_PAH_ngg,55.2,ng/g,SI Table SD2,soil,karst,Hubei,"SI Table SD2直接读取ΣPAHs(16 EPA PAHs sum);valley;无HM数据;无单体PAH浓度;摘要range 8.26-397与表值3.20-398略有差异"
P01654,S25,Sum_PAH_ngg,22.8,ng/g,SI Table SD2,soil,karst,Hubei,"SI Table SD2直接读取ΣPAHs(16 EPA PAHs sum);valley;无HM数据;无单体PAH浓度;摘要range 8.26-397与表值3.20-398略有差异"
P01654,S26,Sum_PAH_ngg,324,ng/g,SI Table SD2,soil,karst,Hubei,"SI Table SD2直接读取ΣPAHs(16 EPA PAHs sum);valley;无HM数据;无单体PAH浓度;摘要range 8.26-397与表值3.20-398略有差异"
