paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72134_es071162z,72134_es071162z_col2,OC_pct,0.0003,Unknown,table_p3_ri19_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col4,OC_pct,37.9,Unknown,table_p3_ri19_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col5,OC_pct,12.6,Unknown,table_p3_ri19_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col10,OC_pct,6.7,Unknown,table_p3_ri19_ci10,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col1,SumPCB_ngg,0.0003,Unknown,table_p3_ri23_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col2,SumPCB_ngg,33.0,Unknown,table_p3_ri23_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col3,SumPCB_ngg,43.0,Unknown,table_p3_ri23_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col4,SumPCB_ngg,14.1,Unknown,table_p3_ri23_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col5,SumPCB_ngg,68.0,Unknown,table_p3_ri23_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col6,SumPCB_ngg,16.4,Unknown,table_p3_ri23_ci6,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col7,SumPCB_ngg,163.5,Unknown,table_p3_ri23_ci7,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col9,SumPCB_ngg,84.8,Unknown,table_p3_ri23_ci9,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col10,SumPCB_ngg,44.1,Unknown,table_p3_ri23_ci10,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col13,SumPCB_ngg,0.1,Unknown,table_p3_ri23_ci13,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col14,SumPCB_ngg,0.1,Unknown,table_p3_ri23_ci14,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col2,SumPCB_ngg,0.0001,Unknown,table_p3_ri24_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col3,SumPCB_ngg,19.1,Unknown,table_p3_ri24_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col4,SumPCB_ngg,14.2,Unknown,table_p3_ri24_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col5,SumPCB_ngg,5.5,Unknown,table_p3_ri24_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col6,SumPCB_ngg,21.6,Unknown,table_p3_ri24_ci6,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col7,SumPCB_ngg,5.4,Unknown,table_p3_ri24_ci7,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col8,SumPCB_ngg,33.1,Unknown,table_p3_ri24_ci8,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col10,SumPCB_ngg,188.1,Unknown,table_p3_ri24_ci10,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col11,SumPCB_ngg,150.8,Unknown,table_p3_ri24_ci11,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col13,SumPCB_ngg,8.9,Unknown,table_p3_ri24_ci13,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col15,SumPCB_ngg,10.2,Unknown,table_p3_ri24_ci15,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col2,SumPCB_ngg,3e-05,Unknown,table_p3_ri25_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col3,SumPCB_ngg,0.9,Unknown,table_p3_ri25_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col4,SumPCB_ngg,1.2,Unknown,table_p3_ri25_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col5,SumPCB_ngg,0.4,Unknown,table_p3_ri25_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col8,SumPCB_ngg,15.2,Unknown,table_p3_ri25_ci8,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col10,SumPCB_ngg,7.7,Unknown,table_p3_ri25_ci10,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col11,SumPCB_ngg,16.2,Unknown,table_p3_ri25_ci11,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col2,SumPCB_ngg,3e-05,Unknown,table_p3_ri26_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col3,SumPCB_ngg,5.3,Unknown,table_p3_ri26_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col4,SumPCB_ngg,5.5,Unknown,table_p3_ri26_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col5,SumPCB_ngg,2.7,Unknown,table_p3_ri26_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col6,SumPCB_ngg,0.5,Unknown,table_p3_ri26_ci6,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col7,SumPCB_ngg,0.8,Unknown,table_p3_ri26_ci7,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col8,SumPCB_ngg,77.1,Unknown,table_p3_ri26_ci8,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col10,SumPCB_ngg,68.2,Unknown,table_p3_ri26_ci10,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col12,SumPCB_ngg,48.1,Unknown,table_p3_ri26_ci12,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col14,SumPCB_ngg,1.2,Unknown,table_p3_ri26_ci14,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col15,SumPCB_ngg,0.1,Unknown,table_p3_ri26_ci15,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col16,SumPCB_ngg,0.1,Unknown,table_p3_ri26_ci16,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col2,SumPCB_ngg,3e-05,Unknown,table_p3_ri27_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col3,SumPCB_ngg,0.4,Unknown,table_p3_ri27_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col4,SumPCB_ngg,0.4,Unknown,table_p3_ri27_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col6,SumPCB_ngg,0.2,Unknown,table_p3_ri27_ci6,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col10,SumPCB_ngg,1.8,Unknown,table_p3_ri27_ci10,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col11,SumPCB_ngg,6.4,Unknown,table_p3_ri27_ci11,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col13,SumPCB_ngg,0.5,Unknown,table_p3_ri27_ci13,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col14,SumPCB_ngg,5.1,Unknown,table_p3_ri27_ci14,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col2,SumPCB_ngg,3e-05,Unknown,table_p3_ri28_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col3,SumPCB_ngg,3.4,Unknown,table_p3_ri28_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col4,SumPCB_ngg,3.4,Unknown,table_p3_ri28_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col5,SumPCB_ngg,1.7,Unknown,table_p3_ri28_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col6,SumPCB_ngg,0.4,Unknown,table_p3_ri28_ci6,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col7,SumPCB_ngg,0.7,Unknown,table_p3_ri28_ci7,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col8,SumPCB_ngg,50.9,Unknown,table_p3_ri28_ci8,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col10,SumPCB_ngg,44.7,Unknown,table_p3_ri28_ci10,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col11,SumPCB_ngg,21.1,Unknown,table_p3_ri28_ci11,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col13,SumPCB_ngg,0.4,Unknown,table_p3_ri28_ci13,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col14,SumPCB_ngg,0.3,Unknown,table_p3_ri28_ci14,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col15,SumPCB_ngg,0.2,Unknown,table_p3_ri28_ci15,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col2,SumPCB_ngg,0.1,Unknown,table_p3_ri29_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col3,SumPCB_ngg,1.4,Unknown,table_p3_ri29_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col4,SumPCB_ngg,1.3,Unknown,table_p3_ri29_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col5,SumPCB_ngg,1.3,Unknown,table_p3_ri29_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col6,SumPCB_ngg,1.0,Unknown,table_p3_ri29_ci6,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col7,SumPCB_ngg,1.1,Unknown,table_p3_ri29_ci7,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col8,SumPCB_ngg,2.9,Unknown,table_p3_ri29_ci8,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col1,SumPCB_ngg,3e-05,Unknown,table_p3_ri30_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col2,SumPCB_ngg,0.7,Unknown,table_p3_ri30_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col3,SumPCB_ngg,0.7,Unknown,table_p3_ri30_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col4,SumPCB_ngg,0.6,Unknown,table_p3_ri30_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col5,SumPCB_ngg,0.4,Unknown,table_p3_ri30_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col6,SumPCB_ngg,0.4,Unknown,table_p3_ri30_ci6,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col7,SumPCB_ngg,2.4,Unknown,table_p3_ri30_ci7,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col8,SumPCB_ngg,1.9,Unknown,table_p3_ri30_ci8,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col10,SumPCB_ngg,2.9,Unknown,table_p3_ri30_ci10,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col12,SumPCB_ngg,0.9,Unknown,table_p3_ri30_ci12,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72134_es071162z,72134_es071162z_col1,SumPCB_ngg,3e-05,Unknown,table_p3_ri31_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
