paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
Zhang Y - 2025 - Sources and ecological and health,Zhang Y - 2025 - Sources and ecological and health_Urumqi_(n=68),Nap_ngg,0.15,Unknown,table_p6_ri2_ci1,soil,,,phase14_batch2; matrix=score=113:high; conf=high; flag=,,
Zhang Y - 2025 - Sources and ecological and health,Zhang Y - 2025 - Sources and ecological and health_Urumqi_(n=68),Acy_ngg,0.04,Unknown,table_p6_ri4_ci1,soil,,,phase14_batch2; matrix=score=113:high; conf=high; flag=,,
Zhang Y - 2025 - Sources and ecological and health,Zhang Y - 2025 - Sources and ecological and health_Urumqi_(n=68),Flu_ngg,0.2,Unknown,table_p6_ri5_ci1,soil,,,phase14_batch2; matrix=score=113:high; conf=high; flag=,,
Zhang Y - 2025 - Sources and ecological and health,Zhang Y - 2025 - Sources and ecological and health_Urumqi_(n=68),Phe_ngg,1.04,Unknown,table_p6_ri6_ci1,soil,,,phase14_batch2; matrix=score=113:high; conf=high; flag=,,
Zhang Y - 2025 - Sources and ecological and health,Zhang Y - 2025 - Sources and ecological and health_Urumqi_(n=68),Pyr_ngg,0.21,Unknown,table_p6_ri9_ci1,soil,,,phase14_batch2; matrix=score=113:high; conf=high; flag=,,
Zhang Y - 2025 - Sources and ecological and health,Zhang Y - 2025 - Sources and ecological and health_Urumqi_(n=68),BaA_ngg,0.28,Unknown,table_p6_ri10_ci1,soil,,,phase14_batch2; matrix=score=113:high; conf=high; flag=,,
Zhang Y - 2025 - Sources and ecological and health,Zhang Y - 2025 - Sources and ecological and health_Urumqi_(n=68),Chr_ngg,0.65,Unknown,table_p6_ri11_ci1,soil,,,phase14_batch2; matrix=score=113:high; conf=high; flag=,,
Zhang Y - 2025 - Sources and ecological and health,Zhang Y - 2025 - Sources and ecological and health_Urumqi_(n=68),BaP_ngg,0.08,Unknown,table_p6_ri16_ci1,soil,,,phase14_batch2; matrix=score=113:high; conf=high; flag=,,
Zhang Y - 2025 - Sources and ecological and health,Zhang Y - 2025 - Sources and ecological and health_Urumqi_(n=68),Sum_PAH_ngg,3.65,Unknown,table_p6_ri20_ci1,soil,,,phase14_batch2; matrix=score=113:high; conf=high; flag=,,
Zhang Y - 2025 - Sources and ecological and health,Zhang Y - 2025 - Sources and ecological and health_Urumqi_(n=68),Sum_PAH_ngg,1.33,Unknown,table_p6_ri21_ci1,soil,,,phase14_batch2; matrix=score=113:high; conf=high; flag=,,
Zhang Y - 2025 - Sources and ecological and health,Zhang Y - 2025 - Sources and ecological and health_Urumqi_(n=68),Sum_PAH_ngg,1.12,Unknown,table_p6_ri22_ci1,soil,,,phase14_batch2; matrix=score=113:high; conf=high; flag=,,
