paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
ijerph-19-12733-v3,ijerph-19-12733-v3_Mining_Area_Topsoil_(n_=_15),Nap_ngg,54.0,Unknown,table_p5_ri2_ci1,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Industrial_Area_Topsoil_(n_=_61),Nap_ngg,392.0,Unknown,table_p5_ri2_ci2,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Residential_Area_Topsoil_(n_=_6),Nap_ngg,173.0,Unknown,table_p5_ri2_ci3,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Agricultural_Area_Topsoil_(n_=_45),Nap_ngg,20.0,Unknown,table_p5_ri2_ci4,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Mining_Area_Coal_(n_=_1),Nap_ngg,421.0,Unknown,table_p5_ri2_ci5,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Mining_Area_Coal_Gangue_(n_=_2),Nap_ngg,81.0,Unknown,table_p5_ri2_ci6,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Industrial_Area_Topsoil_(n_=_61),Acy_ngg,39.0,Unknown,table_p5_ri3_ci2,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Residential_Area_Topsoil_(n_=_6),Acy_ngg,12.0,Unknown,table_p5_ri3_ci3,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Mining_Area_Coal_(n_=_1),Acy_ngg,77.0,Unknown,table_p5_ri3_ci5,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Mining_Area_Coal_Gangue_(n_=_2),Acy_ngg,13.0,Unknown,table_p5_ri3_ci6,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Industrial_Area_Topsoil_(n_=_61),Ace_ngg,57.0,Unknown,table_p5_ri4_ci2,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Residential_Area_Topsoil_(n_=_6),Ace_ngg,18.0,Unknown,table_p5_ri4_ci3,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Mining_Area_Coal_(n_=_1),Ace_ngg,131.0,Unknown,table_p5_ri4_ci5,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Mining_Area_Coal_Gangue_(n_=_2),Ace_ngg,20.0,Unknown,table_p5_ri4_ci6,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Mining_Area_Topsoil_(n_=_15),Flu_ngg,29.0,Unknown,table_p5_ri5_ci1,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Industrial_Area_Topsoil_(n_=_61),Flu_ngg,266.0,Unknown,table_p5_ri5_ci2,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Residential_Area_Topsoil_(n_=_6),Flu_ngg,93.0,Unknown,table_p5_ri5_ci3,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Mining_Area_Coal_(n_=_1),Flu_ngg,419.0,Unknown,table_p5_ri5_ci5,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Mining_Area_Coal_Gangue_(n_=_2),Flu_ngg,43.0,Unknown,table_p5_ri5_ci6,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Mining_Area_Topsoil_(n_=_15),Phe_ngg,92.0,Unknown,table_p5_ri6_ci1,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Industrial_Area_Topsoil_(n_=_61),Phe_ngg,797.0,Unknown,table_p5_ri6_ci2,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Residential_Area_Topsoil_(n_=_6),Phe_ngg,296.0,Unknown,table_p5_ri6_ci3,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
ijerph-19-12733-v3,ijerph-19-12733-v3_Mining_Area_Coal_Gangue_(n_=_2),Phe_ngg,170.0,Unknown,table_p5_ri6_ci6,soil,,,phase14_batch2; matrix=score=132:high; conf=high; flag=,,
