paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72193_s10661-014-4159-x,72193_s10661-014-4159-x_85-90,SumDDT_ngg,1.83,Unknown,table_p2_ri13_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72193_s10661-014-4159-x,72193_s10661-014-4159-x_Depths_of_soil_(cm),SumHCH_ngg,1.61,Unknown,table_p2_ri14_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72193_s10661-014-4159-x,72193_s10661-014-4159-x_75-80_80-85,SumHCH_ngg,2.03,Unknown,table_p2_ri14_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72193_s10661-014-4159-x,72193_s10661-014-4159-x_85-90,SumHCH_ngg,2.24,Unknown,table_p2_ri14_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72193_s10661-014-4159-x,72193_s10661-014-4159-x_Depths_of_soil_(cm),SumHCH_ngg,0.57,Unknown,table_p2_ri15_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72193_s10661-014-4159-x,72193_s10661-014-4159-x_75-80_80-85,SumHCH_ngg,0.1,Unknown,table_p2_ri15_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72193_s10661-014-4159-x,72193_s10661-014-4159-x_85-90,SumHCH_ngg,0.47,Unknown,table_p2_ri15_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72193_s10661-014-4159-x,72193_s10661-014-4159-x_Depths_of_soil_(cm),SumPCB_ngg,0.17,Unknown,table_p2_ri16_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72193_s10661-014-4159-x,72193_s10661-014-4159-x_75-80_80-85,SumPCB_ngg,0.15,Unknown,table_p2_ri16_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72193_s10661-014-4159-x,72193_s10661-014-4159-x_85-90,SumPCB_ngg,0.17,Unknown,table_p2_ri16_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72193_s10661-014-4159-x,72193_s10661-014-4159-x_Depths_of_soil_(cm),SumPCB_ngg,0.23,Unknown,table_p2_ri17_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72193_s10661-014-4159-x,72193_s10661-014-4159-x_85-90,SumPCB_ngg,0.16,Unknown,table_p2_ri17_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72193_s10661-014-4159-x,72193_s10661-014-4159-x_Depths_of_soil_(cm),SumPCB_ngg,0.15,Unknown,table_p2_ri19_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72193_s10661-014-4159-x,72193_s10661-014-4159-x_75-80_80-85,SumPCB_ngg,0.1,Unknown,table_p2_ri21_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72193_s10661-014-4159-x,72193_s10661-014-4159-x_85-90,SumPCB_ngg,0.11,Unknown,table_p2_ri21_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72193_s10661-014-4159-x,72193_s10661-014-4159-x_90-95,SumPCB_ngg,0.13,Unknown,table_p2_ri21_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
