paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
10807039.2017.1362545,10807039.2017.1362545_$\mathrm_{_L_O_D_s_}_(_\mathrm_{_n_g_}_{_\cdot_}_\mathrm_{_g_}_^_{_-_1_}_)$,SumHCH_ngg,0.08,Unknown,table_p27_ri5_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_Recovery（%）,SumHCH_ngg,91.23,Unknown,table_p27_ri5_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_RSD(%,SumHCH_ngg,6.45,Unknown,table_p27_ri5_ci3,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_$\mathrm_{_L_O_D_s_}_(_\mathrm_{_n_g_}_{_\cdot_}_\mathrm_{_g_}_^_{_-_1_}_)$,SumHCH_ngg,0.09,Unknown,table_p27_ri5_ci5,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_Recovery%,SumHCH_ngg,74.92,Unknown,table_p27_ri5_ci6,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_RSD(%),SumHCH_ngg,7.89,Unknown,table_p27_ri5_ci7,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_$\mathrm_{_L_O_D_s_}_(_\mathrm_{_n_g_}_{_\cdot_}_\mathrm_{_g_}_^_{_-_1_}_)$,SumHCH_ngg,0.18,Unknown,table_p27_ri6_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_Recovery（%）,SumHCH_ngg,84.93,Unknown,table_p27_ri6_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_RSD(%,SumHCH_ngg,8.71,Unknown,table_p27_ri6_ci3,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_$\mathrm_{_L_O_D_s_}_(_\mathrm_{_n_g_}_{_\cdot_}_\mathrm_{_g_}_^_{_-_1_}_)$,SumHCH_ngg,0.11,Unknown,table_p27_ri6_ci5,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_Recovery%,SumHCH_ngg,78.43,Unknown,table_p27_ri6_ci6,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_RSD(%),SumHCH_ngg,8.06,Unknown,table_p27_ri6_ci7,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_Detection_frequencies(%),SumDDT_ngg,100.0,Unknown,table_p28_ri1_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_Minimum,SumDDT_ngg,0.22,Unknown,table_p28_ri1_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_Maximum,SumDDT_ngg,16.4,Unknown,table_p28_ri1_ci3,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_CV（%）,SumDDT_ngg,163.93,Unknown,table_p28_ri1_ci6,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_Skewness,SumDDT_ngg,3.73,Unknown,table_p28_ri1_ci7,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_KurtosiS,SumDDT_ngg,14.97,Unknown,table_p28_ri1_ci8,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_Detection_frequencies(%),SumDDT_ngg,100.0,Unknown,table_p28_ri2_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_Minimum,SumDDT_ngg,0.22,Unknown,table_p28_ri2_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_Maximum,SumDDT_ngg,41.56,Unknown,table_p28_ri2_ci3,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_CV（%）,SumDDT_ngg,157.99,Unknown,table_p28_ri2_ci6,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_Skewness,SumDDT_ngg,2.95,Unknown,table_p28_ri2_ci7,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_KurtosiS,SumDDT_ngg,8.4,Unknown,table_p28_ri2_ci8,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_Minimum,SumDDT_ngg,0.94,Unknown,table_p28_ri5_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_Maximum,SumDDT_ngg,107.81,Unknown,table_p28_ri5_ci3,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_CV（%）,SumDDT_ngg,134.78,Unknown,table_p28_ri5_ci6,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_Skewness,SumDDT_ngg,2.82,Unknown,table_p28_ri5_ci7,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_KurtosiS,SumDDT_ngg,7.78,Unknown,table_p28_ri5_ci8,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_Detection_frequencies(%),SumHCH_ngg,100.0,Unknown,table_p28_ri6_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_Minimum,SumHCH_ngg,0.22,Unknown,table_p28_ri6_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_Maximum,SumHCH_ngg,12.29,Unknown,table_p28_ri6_ci3,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_CV（%）,SumHCH_ngg,140.16,Unknown,table_p28_ri6_ci6,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_Skewness,SumHCH_ngg,5.1,Unknown,table_p28_ri6_ci7,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_KurtosiS,SumHCH_ngg,30.44,Unknown,table_p28_ri6_ci8,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_Detection_frequencies(%),SumHCH_ngg,100.0,Unknown,table_p28_ri7_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_Minimum,SumHCH_ngg,0.22,Unknown,table_p28_ri7_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_Maximum,SumHCH_ngg,92.49,Unknown,table_p28_ri7_ci3,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_CV（%）,SumHCH_ngg,205.51,Unknown,table_p28_ri7_ci6,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1362545,10807039.2017.1362545_Skewness,SumHCH_ngg,4.59,Unknown,table_p28_ri7_ci7,soil,other,,phase14_auto; confidence=high; flag=,,
