paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
Arch Insect Biochem Physiol - 2025 - Wang - Effect,Arch Insect Biochem Physiol - 2025 - Wang - Effect_col1,Pyr_ngg,0.0361,Unknown,table_p11_ri5_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
Arch Insect Biochem Physiol - 2025 - Wang - Effect,Arch Insect Biochem Physiol - 2025 - Wang - Effect_ADI_(mg/_kg,Pyr_ngg,0.03,Unknown,table_p11_ri5_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
Arch Insect Biochem Physiol - 2025 - Wang - Effect,Arch Insect Biochem Physiol - 2025 - Wang - Effect_NEDI,Pyr_ngg,0.0004,Unknown,table_p11_ri5_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
Arch Insect Biochem Physiol - 2025 - Wang - Effect,Arch Insect Biochem Physiol - 2025 - Wang - Effect_col4,Pyr_ngg,0.0122,Unknown,table_p11_ri5_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
