paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
DOI-resolvable candidate record 10.1007s11270-023-,DOI-resolvable candidate record 10.1007s11270-023-_Detection_rate,SumHCH_ngg,54.5,Unknown,table_p4_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
DOI-resolvable candidate record 10.1007s11270-023-,DOI-resolvable candidate record 10.1007s11270-023-_First_Quantile,SumHCH_ngg,41.6,Unknown,table_p4_ri4_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
DOI-resolvable candidate record 10.1007s11270-023-,DOI-resolvable candidate record 10.1007s11270-023-_Third_Quantile,SumHCH_ngg,197.9,Unknown,table_p4_ri4_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
DOI-resolvable candidate record 10.1007s11270-023-,DOI-resolvable candidate record 10.1007s11270-023-_Maximum,SumHCH_ngg,1075.6,Unknown,table_p4_ri4_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
DOI-resolvable candidate record 10.1007s11270-023-,DOI-resolvable candidate record 10.1007s11270-023-_Skewness,SumHCH_ngg,1.9,Unknown,table_p4_ri4_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
DOI-resolvable candidate record 10.1007s11270-023-,DOI-resolvable candidate record 10.1007s11270-023-_Kurtosis,SumHCH_ngg,2.2,Unknown,table_p4_ri4_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
DOI-resolvable candidate record 10.1007s11270-023-,DOI-resolvable candidate record 10.1007s11270-023-_Detection_rate,SumHCH_ngg,100.0,Unknown,table_p4_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
DOI-resolvable candidate record 10.1007s11270-023-,DOI-resolvable candidate record 10.1007s11270-023-_Minimum,SumHCH_ngg,25.0,Unknown,table_p4_ri5_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
DOI-resolvable candidate record 10.1007s11270-023-,DOI-resolvable candidate record 10.1007s11270-023-_First_Quantile,SumHCH_ngg,97.2,Unknown,table_p4_ri5_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
DOI-resolvable candidate record 10.1007s11270-023-,DOI-resolvable candidate record 10.1007s11270-023-_Third_Quantile,SumHCH_ngg,751.1,Unknown,table_p4_ri5_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
DOI-resolvable candidate record 10.1007s11270-023-,DOI-resolvable candidate record 10.1007s11270-023-_Maximum,SumHCH_ngg,41301.6,Unknown,table_p4_ri5_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
DOI-resolvable candidate record 10.1007s11270-023-,DOI-resolvable candidate record 10.1007s11270-023-_Detection_rate,SumDDT_ngg,90.9,Unknown,table_p4_ri10_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
DOI-resolvable candidate record 10.1007s11270-023-,DOI-resolvable candidate record 10.1007s11270-023-_First_Quantile,SumDDT_ngg,3.5,Unknown,table_p4_ri10_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
DOI-resolvable candidate record 10.1007s11270-023-,DOI-resolvable candidate record 10.1007s11270-023-_Third_Quantile,SumDDT_ngg,23.5,Unknown,table_p4_ri10_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
DOI-resolvable candidate record 10.1007s11270-023-,DOI-resolvable candidate record 10.1007s11270-023-_Maximum,SumDDT_ngg,351.5,Unknown,table_p4_ri10_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
DOI-resolvable candidate record 10.1007s11270-023-,DOI-resolvable candidate record 10.1007s11270-023-_Skewness,SumDDT_ngg,3.0,Unknown,table_p4_ri10_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
DOI-resolvable candidate record 10.1007s11270-023-,DOI-resolvable candidate record 10.1007s11270-023-_Kurtosis,SumDDT_ngg,9.2,Unknown,table_p4_ri10_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
DOI-resolvable candidate record 10.1007s11270-023-,DOI-resolvable candidate record 10.1007s11270-023-_Detection_rate,SumDDT_ngg,100.0,Unknown,table_p4_ri12_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
DOI-resolvable candidate record 10.1007s11270-023-,DOI-resolvable candidate record 10.1007s11270-023-_Minimum,SumDDT_ngg,1.5,Unknown,table_p4_ri12_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
DOI-resolvable candidate record 10.1007s11270-023-,DOI-resolvable candidate record 10.1007s11270-023-_First_Quantile,SumDDT_ngg,10.6,Unknown,table_p4_ri12_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
DOI-resolvable candidate record 10.1007s11270-023-,DOI-resolvable candidate record 10.1007s11270-023-_Third_Quantile,SumDDT_ngg,119.1,Unknown,table_p4_ri12_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
DOI-resolvable candidate record 10.1007s11270-023-,DOI-resolvable candidate record 10.1007s11270-023-_Maximum,SumDDT_ngg,1209.9,Unknown,table_p4_ri12_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
DOI-resolvable candidate record 10.1007s11270-023-,DOI-resolvable candidate record 10.1007s11270-023-_Minimum,SumOCP_ngg,56.8,Unknown,table_p4_ri18_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
DOI-resolvable candidate record 10.1007s11270-023-,DOI-resolvable candidate record 10.1007s11270-023-_Minimum,OC_pct,56.8,Unknown,table_p4_ri18_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
DOI-resolvable candidate record 10.1007s11270-023-,DOI-resolvable candidate record 10.1007s11270-023-_First_Quantile,SumOCP_ngg,125.0,Unknown,table_p4_ri18_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
DOI-resolvable candidate record 10.1007s11270-023-,DOI-resolvable candidate record 10.1007s11270-023-_Third_Quantile,SumOCP_ngg,972.5,Unknown,table_p4_ri18_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
DOI-resolvable candidate record 10.1007s11270-023-,DOI-resolvable candidate record 10.1007s11270-023-_Maximum,SumOCP_ngg,48410.1,Unknown,table_p4_ri18_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
