paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Median,Pyr_ngg,94.0,Unknown,table_p5_ri8_ci3,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Mean,Pyr_ngg,340.0,Unknown,table_p5_ri8_ci4,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_SD,Pyr_ngg,730.0,Unknown,table_p5_ri8_ci5,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Min,BaA_ngg,8.5,Unknown,table_p5_ri9_ci1,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Max,BaA_ngg,4400.0,Unknown,table_p5_ri9_ci2,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Median,BaA_ngg,43.0,Unknown,table_p5_ri9_ci3,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Mean,BaA_ngg,320.0,Unknown,table_p5_ri9_ci4,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_SD,BaA_ngg,900.0,Unknown,table_p5_ri9_ci5,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Min,Chr_ngg,15.0,Unknown,table_p5_ri10_ci1,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Max,Chr_ngg,3300.0,Unknown,table_p5_ri10_ci2,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Median,Chr_ngg,59.0,Unknown,table_p5_ri10_ci3,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Mean,Chr_ngg,290.0,Unknown,table_p5_ri10_ci4,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_SD,Chr_ngg,720.0,Unknown,table_p5_ri10_ci5,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Min,BbF_ngg,17.0,Unknown,table_p5_ri11_ci1,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Max,BbF_ngg,4400.0,Unknown,table_p5_ri11_ci2,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Median,BbF_ngg,57.0,Unknown,table_p5_ri11_ci3,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Mean,BbF_ngg,370.0,Unknown,table_p5_ri11_ci4,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_SD,BbF_ngg,960.0,Unknown,table_p5_ri11_ci5,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Min,BkF_ngg,4.6,Unknown,table_p5_ri12_ci1,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Max,BkF_ngg,670.0,Unknown,table_p5_ri12_ci2,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Median,BkF_ngg,11.0,Unknown,table_p5_ri12_ci3,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Mean,BkF_ngg,61.0,Unknown,table_p5_ri12_ci4,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_SD,BkF_ngg,150.0,Unknown,table_p5_ri12_ci5,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Min,BaP_ngg,7.8,Unknown,table_p5_ri13_ci1,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Max,BaP_ngg,6600.0,Unknown,table_p5_ri13_ci2,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Median,BaP_ngg,59.0,Unknown,table_p5_ri13_ci3,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Mean,BaP_ngg,470.0,Unknown,table_p5_ri13_ci4,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_SD,BaP_ngg,1400.0,Unknown,table_p5_ri13_ci5,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Min,Ind_ngg,7.7,Unknown,table_p5_ri14_ci1,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Max,Ind_ngg,5800.0,Unknown,table_p5_ri14_ci2,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Median,Ind_ngg,57.0,Unknown,table_p5_ri14_ci3,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
Polycyclic aromatic hydrocarbons  PAHs  in riparia,Polycyclic aromatic hydrocarbons  PAHs  in riparia_Mean,Ind_ngg,460.0,Unknown,table_p5_ri14_ci4,soil,,,phase14_batch2; matrix=score=157:high; conf=medium; flag=,,
