paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
_dup_j.scitotenv.2015.12.012,_dup_j.scitotenv.2015.12.012_Detection_rate_(%),SumPAE_ngg,100.0,Unknown,table_p3_ri16_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2015.12.012,_dup_j.scitotenv.2015.12.012_Mean_(ng/g),SumPAE_ngg,782.0,Unknown,table_p3_ri16_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2015.12.012,_dup_j.scitotenv.2015.12.012_Median_(ng/g),SumPAE_ngg,559.0,Unknown,table_p3_ri16_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2015.12.012,_dup_j.scitotenv.2015.12.012_Min._(ng/g),SumPAE_ngg,167.0,Unknown,table_p3_ri16_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2015.12.012,_dup_j.scitotenv.2015.12.012_Max._(ng/g),SumPAE_ngg,9370.0,Unknown,table_p3_ri16_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2015.12.012,_dup_j.scitotenv.2015.12.012_Detection_rate_(%),SumHCH_ngg,91.0,Unknown,table_p3_ri17_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2015.12.012,_dup_j.scitotenv.2015.12.012_Mean_(ng/g),SumHCH_ngg,0.6,Unknown,table_p3_ri17_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2015.12.012,_dup_j.scitotenv.2015.12.012_Median_(ng/g),SumHCH_ngg,0.4,Unknown,table_p3_ri17_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2015.12.012,_dup_j.scitotenv.2015.12.012_Max._(ng/g),SumHCH_ngg,9.0,Unknown,table_p3_ri17_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2015.12.012,_dup_j.scitotenv.2015.12.012_Detection_rate_(%),SumHCH_ngg,67.0,Unknown,table_p3_ri18_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2015.12.012,_dup_j.scitotenv.2015.12.012_Mean_(ng/g),SumHCH_ngg,0.9,Unknown,table_p3_ri18_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2015.12.012,_dup_j.scitotenv.2015.12.012_Median_(ng/g),SumHCH_ngg,0.4,Unknown,table_p3_ri18_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2015.12.012,_dup_j.scitotenv.2015.12.012_Max._(ng/g),SumHCH_ngg,29.4,Unknown,table_p3_ri18_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2015.12.012,_dup_j.scitotenv.2015.12.012_Detection_rate_(%),SumHCH_ngg,99.0,Unknown,table_p3_ri19_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2015.12.012,_dup_j.scitotenv.2015.12.012_Mean_(ng/g),SumHCH_ngg,0.9,Unknown,table_p3_ri19_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2015.12.012,_dup_j.scitotenv.2015.12.012_Median_(ng/g),SumHCH_ngg,0.8,Unknown,table_p3_ri19_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2015.12.012,_dup_j.scitotenv.2015.12.012_Max._(ng/g),SumHCH_ngg,6.6,Unknown,table_p3_ri19_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2015.12.012,_dup_j.scitotenv.2015.12.012_Detection_rate_(%),SumHCH_ngg,74.0,Unknown,table_p3_ri20_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2015.12.012,_dup_j.scitotenv.2015.12.012_Mean_(ng/g),SumHCH_ngg,0.4,Unknown,table_p3_ri20_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2015.12.012,_dup_j.scitotenv.2015.12.012_Median_(ng/g),SumHCH_ngg,0.3,Unknown,table_p3_ri20_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2015.12.012,_dup_j.scitotenv.2015.12.012_Max._(ng/g),SumHCH_ngg,1.5,Unknown,table_p3_ri20_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2015.12.012,_dup_j.scitotenv.2015.12.012_Detection_rate_(%),SumDDT_ngg,38.0,Unknown,table_p3_ri30_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2015.12.012,_dup_j.scitotenv.2015.12.012_Mean_(ng/g),SumDDT_ngg,7.0,Unknown,table_p3_ri30_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2015.12.012,_dup_j.scitotenv.2015.12.012_Median_(ng/g),SumDDT_ngg,2.1,Unknown,table_p3_ri30_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2015.12.012,_dup_j.scitotenv.2015.12.012_Max._(ng/g),SumDDT_ngg,226.0,Unknown,table_p3_ri30_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2015.12.012,_dup_j.scitotenv.2015.12.012_Detection_rate_(%),SumDDT_ngg,79.0,Unknown,table_p3_ri31_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2015.12.012,_dup_j.scitotenv.2015.12.012_Mean_(ng/g),SumDDT_ngg,56.1,Unknown,table_p3_ri31_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2015.12.012,_dup_j.scitotenv.2015.12.012_Median_(ng/g),SumDDT_ngg,9.0,Unknown,table_p3_ri31_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2015.12.012,_dup_j.scitotenv.2015.12.012_Max._(ng/g),SumDDT_ngg,3240.0,Unknown,table_p3_ri31_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2015.12.012,_dup_j.scitotenv.2015.12.012_Detection_rate_(%),SumOCP_ngg,100.0,Unknown,table_p3_ri32_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2015.12.012,_dup_j.scitotenv.2015.12.012_Mean_(ng/g),SumOCP_ngg,59.3,Unknown,table_p3_ri32_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2015.12.012,_dup_j.scitotenv.2015.12.012_Mean_(ng/g),OC_pct,59.3,Unknown,table_p3_ri32_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2015.12.012,_dup_j.scitotenv.2015.12.012_Median_(ng/g),SumOCP_ngg,13.2,Unknown,table_p3_ri32_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2015.12.012,_dup_j.scitotenv.2015.12.012_Median_(ng/g),OC_pct,13.2,Unknown,table_p3_ri32_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2015.12.012,_dup_j.scitotenv.2015.12.012_Min._(ng/g),SumOCP_ngg,1.0,Unknown,table_p3_ri32_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2015.12.012,_dup_j.scitotenv.2015.12.012_Min._(ng/g),OC_pct,1.0,Unknown,table_p3_ri32_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2015.12.012,_dup_j.scitotenv.2015.12.012_Max._(ng/g),SumOCP_ngg,3520.0,Unknown,table_p3_ri32_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2015.12.012,_dup_j.scitotenv.2015.12.012_Detection_rate_(%),SumPBDE_ngg,92.0,Unknown,table_p3_ri46_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2015.12.012,_dup_j.scitotenv.2015.12.012_Mean_(ng/g),SumPBDE_ngg,12.4,Unknown,table_p3_ri46_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2015.12.012,_dup_j.scitotenv.2015.12.012_Median_(ng/g),SumPBDE_ngg,4.02,Unknown,table_p3_ri46_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.scitotenv.2015.12.012,_dup_j.scitotenv.2015.12.012_Max._(ng/g),SumPBDE_ngg,382.0,Unknown,table_p3_ri46_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
