paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
ijerph-19-09516,ijerph-19-09516_Detection_Rate_(%),SumPAE_ngg,100.0,Unknown,table_p5_ri16_ci1,soil,,,phase14_batch2; matrix=score=276:high; conf=high; flag=,,
ijerph-19-09516,ijerph-19-09516_Mean_(mg/kg),SumPAE_ngg,1.329,Unknown,table_p5_ri16_ci2,soil,,,phase14_batch2; matrix=score=276:high; conf=high; flag=,,
ijerph-19-09516,ijerph-19-09516_Median_(mg/kg),SumPAE_ngg,1.182,Unknown,table_p5_ri16_ci3,soil,,,phase14_batch2; matrix=score=276:high; conf=high; flag=,,
ijerph-19-09516,ijerph-19-09516_Min_(mg/kg),SumPAE_ngg,0.239,Unknown,table_p5_ri16_ci4,soil,,,phase14_batch2; matrix=score=276:high; conf=high; flag=,,
ijerph-19-09516,ijerph-19-09516_Max_(mg/kg),SumPAE_ngg,3.495,Unknown,table_p5_ri16_ci5,soil,,,phase14_batch2; matrix=score=276:high; conf=high; flag=,,
ijerph-19-09516,ijerph-19-09516_Detection_Rate_(%),SumPAE_ngg,100.0,Unknown,table_p5_ri17_ci1,soil,,,phase14_batch2; matrix=score=276:high; conf=high; flag=,,
ijerph-19-09516,ijerph-19-09516_Mean_(mg/kg),SumPAE_ngg,1.582,Unknown,table_p5_ri17_ci2,soil,,,phase14_batch2; matrix=score=276:high; conf=high; flag=,,
ijerph-19-09516,ijerph-19-09516_Median_(mg/kg),SumPAE_ngg,1.272,Unknown,table_p5_ri17_ci3,soil,,,phase14_batch2; matrix=score=276:high; conf=high; flag=,,
ijerph-19-09516,ijerph-19-09516_Min_(mg/kg),SumPAE_ngg,0.445,Unknown,table_p5_ri17_ci4,soil,,,phase14_batch2; matrix=score=276:high; conf=high; flag=,,
ijerph-19-09516,ijerph-19-09516_Max_(mg/kg),SumPAE_ngg,4.437,Unknown,table_p5_ri17_ci5,soil,,,phase14_batch2; matrix=score=276:high; conf=high; flag=,,
ijerph-19-09516,ijerph-19-09516_Detection_Rate_(%),SumPAE_ngg,100.0,Unknown,table_p10_ri16_ci1,soil,,,phase14_batch2; matrix=score=276:high; conf=high; flag=,,
ijerph-19-09516,ijerph-19-09516_Mean_(mg/kg),SumPAE_ngg,7.087,Unknown,table_p10_ri16_ci2,soil,,,phase14_batch2; matrix=score=276:high; conf=high; flag=,,
ijerph-19-09516,ijerph-19-09516_Median_(mg/kg),SumPAE_ngg,4.985,Unknown,table_p10_ri16_ci3,soil,,,phase14_batch2; matrix=score=276:high; conf=high; flag=,,
ijerph-19-09516,ijerph-19-09516_Min_(mg/kg),SumPAE_ngg,1.329,Unknown,table_p10_ri16_ci4,soil,,,phase14_batch2; matrix=score=276:high; conf=high; flag=,,
ijerph-19-09516,ijerph-19-09516_Max_(mg/kg),SumPAE_ngg,28.685,Unknown,table_p10_ri16_ci5,soil,,,phase14_batch2; matrix=score=276:high; conf=high; flag=,,
ijerph-19-09516,ijerph-19-09516_Detection_Rate_(%),SumPAE_ngg,100.0,Unknown,table_p10_ri17_ci1,soil,,,phase14_batch2; matrix=score=276:high; conf=high; flag=,,
ijerph-19-09516,ijerph-19-09516_Mean_(mg/kg),SumPAE_ngg,8.712,Unknown,table_p10_ri17_ci2,soil,,,phase14_batch2; matrix=score=276:high; conf=high; flag=,,
ijerph-19-09516,ijerph-19-09516_Median_(mg/kg),SumPAE_ngg,6.505,Unknown,table_p10_ri17_ci3,soil,,,phase14_batch2; matrix=score=276:high; conf=high; flag=,,
ijerph-19-09516,ijerph-19-09516_Min_(mg/kg),SumPAE_ngg,2.176,Unknown,table_p10_ri17_ci4,soil,,,phase14_batch2; matrix=score=276:high; conf=high; flag=,,
ijerph-19-09516,ijerph-19-09516_Max_(mg/kg),SumPAE_ngg,30.276,Unknown,table_p10_ri17_ci5,soil,,,phase14_batch2; matrix=score=276:high; conf=high; flag=,,
