paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
_dup_clen.201500142,_dup_clen.201500142_WS_2,pH,2.47,Unknown,table_p2_ri1_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_clen.201500142,_dup_clen.201500142_WS_2,TotalPHC_mgkg,32.9,Unknown,table_p2_ri7_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_clen.201500142,_dup_clen.201500142_WS_2,OC_pct,37.5,Unknown,table_p2_ri8_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
