paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Sediment,Ant_ngg,0.89,Unknown,table_p6_ri6_ci4,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Air,Pyr_ngg,0.36,Unknown,table_p6_ri8_ci1,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Water,Pyr_ngg,0.45,Unknown,table_p6_ri8_ci2,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Soil,Pyr_ngg,0.88,Unknown,table_p6_ri8_ci3,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Sediment,Pyr_ngg,0.57,Unknown,table_p6_ri8_ci4,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Air,BaA_ngg,0.39,Unknown,table_p6_ri9_ci1,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Water,BaA_ngg,1.19,Unknown,table_p6_ri9_ci2,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Soil,BaA_ngg,0.75,Unknown,table_p6_ri9_ci3,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Sediment,BaA_ngg,0.9,Unknown,table_p6_ri9_ci4,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Water,Chr_ngg,0.32,Unknown,table_p6_ri10_ci2,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Soil,Chr_ngg,0.98,Unknown,table_p6_ri10_ci3,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Sediment,Chr_ngg,0.57,Unknown,table_p6_ri10_ci4,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Soil,BbF_ngg,0.93,Unknown,table_p6_ri11_ci3,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Sediment,BbF_ngg,0.82,Unknown,table_p6_ri11_ci4,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Air,BkF_ngg,0.62,Unknown,table_p6_ri12_ci1,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Water,BkF_ngg,0.62,Unknown,table_p6_ri12_ci2,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Soil,BkF_ngg,0.33,Unknown,table_p6_ri12_ci3,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Sediment,BkF_ngg,0.84,Unknown,table_p6_ri12_ci4,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Air,BaP_ngg,0.69,Unknown,table_p6_ri13_ci1,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Water,BaP_ngg,0.12,Unknown,table_p6_ri13_ci2,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Soil,BaP_ngg,0.77,Unknown,table_p6_ri13_ci3,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Sediment,BaP_ngg,0.97,Unknown,table_p6_ri13_ci4,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Water,Nap_ngg,0.08,Unknown,table_p9_ri1_ci2,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Soil,Nap_ngg,0.17,Unknown,table_p9_ri1_ci3,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Sediment,Nap_ngg,0.75,Unknown,table_p9_ri1_ci4,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Air,Flu_ngg,0.01,Unknown,table_p9_ri4_ci1,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
j.jhazmat.2013.08.009,j.jhazmat.2013.08.009_Water,Flu_ngg,0.08,Unknown,table_p9_ri4_ci2,soil,,,phase14_batch2; matrix=score=47:high; conf=high; flag=,,
