paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
10934529.2017.1356185,10934529.2017.1356185_Bank_soil__$(_n_^_{_\mathsf_{_a_}_}_=_7_)$,Ant_ngg,6.760000000000001,Unknown,table_p3_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
10934529.2017.1356185,10934529.2017.1356185_Bank_soil__$(_n_^_{_\mathsf_{_a_}_}_=_7_)$,BaA_ngg,6.760000000000001,Unknown,table_p3_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
10934529.2017.1356185,10934529.2017.1356185_Fluctuating_zone_soil_(n_=_6),Ant_ngg,21.82,Unknown,table_p3_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
10934529.2017.1356185,10934529.2017.1356185_Fluctuating_zone_soil_(n_=_6),BaA_ngg,21.82,Unknown,table_p3_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
10934529.2017.1356185,10934529.2017.1356185_Surface_sediment_(n_=_7),Ant_ngg,9.26,Unknown,table_p3_ri8_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
10934529.2017.1356185,10934529.2017.1356185_Surface_sediment_(n_=_7),BaA_ngg,9.26,Unknown,table_p3_ri8_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
10934529.2017.1356185,10934529.2017.1356185_Bank_soil__$(_n_^_{_\mathsf_{_a_}_}_=_7_)$,Chr_ngg,25.56,Unknown,table_p3_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
10934529.2017.1356185,10934529.2017.1356185_Fluctuating_zone_soil_(n_=_6),Chr_ngg,80.695,Unknown,table_p3_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
10934529.2017.1356185,10934529.2017.1356185_Surface_sediment_(n_=_7),Chr_ngg,24.34,Unknown,table_p3_ri9_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
10934529.2017.1356185,10934529.2017.1356185_Bank_soil__$(_n_^_{_\mathsf_{_a_}_}_=_7_)$,Flt_ngg,25.36,Unknown,table_p3_ri10_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
10934529.2017.1356185,10934529.2017.1356185_Fluctuating_zone_soil_(n_=_6),Flt_ngg,67.68,Unknown,table_p3_ri10_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
10934529.2017.1356185,10934529.2017.1356185_Surface_sediment_(n_=_7),Flt_ngg,30.25,Unknown,table_p3_ri10_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
10934529.2017.1356185,10934529.2017.1356185_Bank_soil__$(_n_^_{_\mathsf_{_a_}_}_=_7_)$,Flt_ngg,3.81,Unknown,table_p3_ri11_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
10934529.2017.1356185,10934529.2017.1356185_Fluctuating_zone_soil_(n_=_6),Flt_ngg,16.945,Unknown,table_p3_ri11_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
10934529.2017.1356185,10934529.2017.1356185_Surface_sediment_(n_=_7),Flt_ngg,5.625,Unknown,table_p3_ri11_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
10934529.2017.1356185,10934529.2017.1356185_Bank_soil__$(_n_^_{_\mathsf_{_a_}_}_=_7_)$,Pyr_ngg,6.885,Unknown,table_p3_ri12_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
10934529.2017.1356185,10934529.2017.1356185_Fluctuating_zone_soil_(n_=_6),Pyr_ngg,17.314999999999998,Unknown,table_p3_ri12_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
10934529.2017.1356185,10934529.2017.1356185_Surface_sediment_(n_=_7),Pyr_ngg,10.229999999999999,Unknown,table_p3_ri12_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
10934529.2017.1356185,10934529.2017.1356185_Bank_soil__$(_n_^_{_\mathsf_{_a_}_}_=_7_)$,Ant_ngg,5.785,Unknown,table_p3_ri14_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
10934529.2017.1356185,10934529.2017.1356185_Bank_soil__$(_n_^_{_\mathsf_{_a_}_}_=_7_)$,DahA_ngg,5.785,Unknown,table_p3_ri14_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
10934529.2017.1356185,10934529.2017.1356185_Fluctuating_zone_soil_(n_=_6),Ant_ngg,30.490000000000002,Unknown,table_p3_ri14_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
10934529.2017.1356185,10934529.2017.1356185_Fluctuating_zone_soil_(n_=_6),DahA_ngg,30.490000000000002,Unknown,table_p3_ri14_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
10934529.2017.1356185,10934529.2017.1356185_Surface_sediment_(n_=_7),Ant_ngg,5.930000000000001,Unknown,table_p3_ri14_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
10934529.2017.1356185,10934529.2017.1356185_Surface_sediment_(n_=_7),DahA_ngg,5.930000000000001,Unknown,table_p3_ri14_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
10934529.2017.1356185,10934529.2017.1356185_Bank_soil__$(_n_^_{_\mathsf_{_a_}_}_=_7_)$,Sum_PAH_ngg,77.45,Unknown,table_p3_ri16_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
10934529.2017.1356185,10934529.2017.1356185_Fluctuating_zone_soil_(n_=_6),Sum_PAH_ngg,217.02,Unknown,table_p3_ri16_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
10934529.2017.1356185,10934529.2017.1356185_Surface_sediment_(n_=_7),Sum_PAH_ngg,94.93,Unknown,table_p3_ri16_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
10934529.2017.1356185,10934529.2017.1356185_Bank_soil__$(_n_^_{_\mathsf_{_a_}_}_=_7_)$,Sum_PAH_ngg,276.35,Unknown,table_p3_ri17_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
10934529.2017.1356185,10934529.2017.1356185_Fluctuating_zone_soil_(n_=_6),Sum_PAH_ngg,707.9,Unknown,table_p3_ri17_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
10934529.2017.1356185,10934529.2017.1356185_Surface_sediment_(n_=_7),Sum_PAH_ngg,356.9,Unknown,table_p3_ri17_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
