paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
15320383.2021.1893645,15320383.2021.1893645_0-20cm,Nap_ngg,17.91,Unknown,table_p5_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_20-40cm,Nap_ngg,204.86,Unknown,table_p5_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_40-60cm,Nap_ngg,100.2,Unknown,table_p5_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_60-80cm,Nap_ngg,48.3,Unknown,table_p5_ri2_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_20-40cm,Acy_ngg,111.9,Unknown,table_p5_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_40-60cm,Acy_ngg,17.47,Unknown,table_p5_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_60-80cm,Acy_ngg,33.9,Unknown,table_p5_ri3_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_0-20cm,Ace_ngg,5.27,Unknown,table_p5_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_20-40cm,Ace_ngg,329.3,Unknown,table_p5_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_40-60cm,Ace_ngg,90.3,Unknown,table_p5_ri4_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2021.1893645,15320383.2021.1893645_60-80cm,Ace_ngg,81.9,Unknown,table_p5_ri4_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
