paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
_dup_s00128-011-0401-1,_dup_s00128-011-0401-1_R.T.,SumDDT_ngg,23.123,Unknown,table_p2_ri44_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_s00128-011-0401-1,_dup_s00128-011-0401-1_T.ion,SumDDT_ngg,235.0,Unknown,table_p2_ri44_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_s00128-011-0401-1,_dup_s00128-011-0401-1_Q.ions,SumDDT_ngg,165.0,Unknown,table_p2_ri44_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_s00128-011-0401-1,_dup_s00128-011-0401-1_LOD*,SumDDT_ngg,0.25,Unknown,table_p2_ri44_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_s00128-011-0401-1,_dup_s00128-011-0401-1_R.T.,SumDDT_ngg,22.031,Unknown,table_p2_ri39_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_s00128-011-0401-1,_dup_s00128-011-0401-1_T.ion,SumDDT_ngg,235.0,Unknown,table_p2_ri39_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_s00128-011-0401-1,_dup_s00128-011-0401-1_Q.ions,SumDDT_ngg,165.0,Unknown,table_p2_ri39_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_s00128-011-0401-1,_dup_s00128-011-0401-1_col4,SumDDT_ngg,237.0,Unknown,table_p2_ri39_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_s00128-011-0401-1,_dup_s00128-011-0401-1_LODa,SumDDT_ngg,0.44,Unknown,table_p2_ri39_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
