paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72348_jeq2011.0032,72348_jeq2011.0032_Min.,pH,7.8,Unknown,table_p4_ri1_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72348_jeq2011.0032,72348_jeq2011.0032_Max.,pH,9.1,Unknown,table_p4_ri1_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72348_jeq2011.0032,72348_jeq2011.0032_Geometric_mean,pH,8.3,Unknown,table_p4_ri1_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72348_jeq2011.0032,72348_jeq2011.0032_Min.,OC_pct,2.2,Unknown,table_p4_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72348_jeq2011.0032,72348_jeq2011.0032_Max.,OC_pct,6.9,Unknown,table_p4_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72348_jeq2011.0032,72348_jeq2011.0032_Geometric_mean,OC_pct,1.3,Unknown,table_p4_ri3_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72348_jeq2011.0032,72348_jeq2011.0032_Min.,SumPAE_ngg,1.94,Unknown,table_p4_ri10_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72348_jeq2011.0032,72348_jeq2011.0032_Max.,SumPAE_ngg,3141.7,Unknown,table_p4_ri10_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72348_jeq2011.0032,72348_jeq2011.0032_Geometric_mean,SumPAE_ngg,450.6,Unknown,table_p4_ri10_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72348_jeq2011.0032,72348_jeq2011.0032_Min.,SumPAE_ngg,673.05,Unknown,table_p7_ri3_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72348_jeq2011.0032,72348_jeq2011.0032_Max.,SumPAE_ngg,2414.5,Unknown,table_p7_ri4_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72348_jeq2011.0032,72348_jeq2011.0032_Geometric_mean,SumPAE_ngg,1213.3,Unknown,table_p7_ri5_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72348_jeq2011.0032,72348_jeq2011.0032_S8,SumPAE_ngg,38.81,Unknown,table_p7_ri8_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72348_jeq2011.0032,72348_jeq2011.0032_Max.,SumPAE_ngg,3141.7,Unknown,table_p7_ri9_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72348_jeq2011.0032,72348_jeq2011.0032_Geometric_mean,SumPAE_ngg,1038.9,Unknown,table_p7_ri10_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72348_jeq2011.0032,72348_jeq2011.0032_Min.,SumPAE_ngg,864.3,Unknown,table_p7_ri13_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72348_jeq2011.0032,72348_jeq2011.0032_Max.,SumPAE_ngg,2443.3,Unknown,table_p7_ri14_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72348_jeq2011.0032,72348_jeq2011.0032_Geometric_mean,SumPAE_ngg,1635.1,Unknown,table_p7_ri15_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72348_jeq2011.0032,72348_jeq2011.0032_Min.,SumPAE_ngg,1.94,Unknown,table_p7_ri18_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72348_jeq2011.0032,72348_jeq2011.0032_Max.,SumPAE_ngg,1363.1,Unknown,table_p7_ri19_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72348_jeq2011.0032,72348_jeq2011.0032_Geometric_mean,SumPAE_ngg,350.7,Unknown,table_p7_ri20_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72348_jeq2011.0032,72348_jeq2011.0032_Min.,SumPAE_ngg,1.94,Unknown,table_p7_ri23_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72348_jeq2011.0032,72348_jeq2011.0032_Max.,SumPAE_ngg,1782.1,Unknown,table_p7_ri24_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72348_jeq2011.0032,72348_jeq2011.0032_Geometric_mean,SumPAE_ngg,635.8,Unknown,table_p7_ri25_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72348_jeq2011.0032,72348_jeq2011.0032_Min.,SumPAE_ngg,1.94,Unknown,table_p7_ri28_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72348_jeq2011.0032,72348_jeq2011.0032_Max.,SumPAE_ngg,2635.5,Unknown,table_p7_ri29_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72348_jeq2011.0032,72348_jeq2011.0032_Geometric_mean,SumPAE_ngg,295.9,Unknown,table_p7_ri30_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
