paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
10807039.2017.1377595,10807039.2017.1377595_Ring,Nap_ngg,2.0,Unknown,table_p35_ri1_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1377595,10807039.2017.1377595_$\mathbf_{_D_}_\mathbf_{_F_}_^_{_\mathbf_{_b_}_}$,Nap_ngg,100.0,Unknown,table_p35_ri1_ci7,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1377595,10807039.2017.1377595_$\mathbf_{_D_}_\mathbf_{_F_}_^_{_\mathbf_{_b_}_}$,Acy_ngg,100.0,Unknown,table_p35_ri2_ci7,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1377595,10807039.2017.1377595_Ring,Ace_ngg,3.0,Unknown,table_p35_ri3_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1377595,10807039.2017.1377595_$\mathbf_{_D_}_\mathbf_{_F_}_^_{_\mathbf_{_b_}_}$,Ace_ngg,94.44,Unknown,table_p35_ri3_ci7,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1377595,10807039.2017.1377595_Ring,Phe_ngg,3.0,Unknown,table_p35_ri5_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1377595,10807039.2017.1377595_$\mathbf_{_D_}_\mathbf_{_F_}_^_{_\mathbf_{_b_}_}$,Phe_ngg,100.0,Unknown,table_p35_ri5_ci7,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1377595,10807039.2017.1377595_Ring,Ant_ngg,3.0,Unknown,table_p35_ri6_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1377595,10807039.2017.1377595_$\mathbf_{_D_}_\mathbf_{_F_}_^_{_\mathbf_{_b_}_}$,Ant_ngg,100.0,Unknown,table_p35_ri6_ci7,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1377595,10807039.2017.1377595_Ring,Flu_ngg,4.0,Unknown,table_p35_ri7_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1377595,10807039.2017.1377595_$\mathbf_{_D_}_\mathbf_{_F_}_^_{_\mathbf_{_b_}_}$,Flu_ngg,100.0,Unknown,table_p35_ri7_ci7,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1377595,10807039.2017.1377595_Ring,Pyr_ngg,4.0,Unknown,table_p35_ri8_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1377595,10807039.2017.1377595_$\mathbf_{_D_}_\mathbf_{_F_}_^_{_\mathbf_{_b_}_}$,Pyr_ngg,100.0,Unknown,table_p35_ri8_ci7,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1377595,10807039.2017.1377595_Ring,BaA_ngg,4.0,Unknown,table_p35_ri9_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1377595,10807039.2017.1377595_$\mathbf_{_D_}_\mathbf_{_F_}_^_{_\mathbf_{_b_}_}$,BaA_ngg,100.0,Unknown,table_p35_ri9_ci7,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1377595,10807039.2017.1377595_Ring,Chr_ngg,4.0,Unknown,table_p35_ri10_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1377595,10807039.2017.1377595_$\mathbf_{_D_}_\mathbf_{_F_}_^_{_\mathbf_{_b_}_}$,Chr_ngg,100.0,Unknown,table_p35_ri10_ci7,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1377595,10807039.2017.1377595_Ring,BbF_ngg,5.0,Unknown,table_p35_ri11_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1377595,10807039.2017.1377595_$\mathbf_{_D_}_\mathbf_{_F_}_^_{_\mathbf_{_b_}_}$,BbF_ngg,100.0,Unknown,table_p35_ri11_ci7,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1377595,10807039.2017.1377595_Ring,BkF_ngg,5.0,Unknown,table_p35_ri12_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1377595,10807039.2017.1377595_$\mathbf_{_D_}_\mathbf_{_F_}_^_{_\mathbf_{_b_}_}$,BkF_ngg,100.0,Unknown,table_p35_ri12_ci7,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1377595,10807039.2017.1377595_Ring,BaP_ngg,5.0,Unknown,table_p35_ri13_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1377595,10807039.2017.1377595_$\mathbf_{_D_}_\mathbf_{_F_}_^_{_\mathbf_{_b_}_}$,BaP_ngg,100.0,Unknown,table_p35_ri13_ci7,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1377595,10807039.2017.1377595_Poland,Sum_PAH_ngg,43.5,Unknown,table_p37_ri1_ci4,soil,other,,phase14_auto; confidence=high; flag=range_mean,,
10807039.2017.1377595,10807039.2017.1377595_India,Sum_PAH_ngg,416.5,Unknown,table_p37_ri2_ci4,soil,other,,phase14_auto; confidence=high; flag=range_mean,,
10807039.2017.1377595,10807039.2017.1377595_Korea,Sum_PAH_ngg,19.5,Unknown,table_p37_ri3_ci4,soil,other,,phase14_auto; confidence=high; flag=range_mean,,
10807039.2017.1377595,10807039.2017.1377595_Japan,Sum_PAH_ngg,24.0,Unknown,table_p37_ri4_ci4,soil,other,,phase14_auto; confidence=high; flag=range_mean,,
10807039.2017.1377595,10807039.2017.1377595_China,Sum_PAH_ngg,279.5,Unknown,table_p37_ri5_ci4,soil,other,,phase14_auto; confidence=high; flag=range_mean,,
10807039.2017.1377595,10807039.2017.1377595_S6,Sum_PAH_ngg,81.5,Unknown,table_p37_ri6_ci4,soil,other,,phase14_auto; confidence=high; flag=range_mean,,
10807039.2017.1377595,10807039.2017.1377595_S7,Sum_PAH_ngg,11.5,Unknown,table_p37_ri7_ci4,soil,other,,phase14_auto; confidence=high; flag=range_mean,,
10807039.2017.1377595,10807039.2017.1377595_S8,Sum_PAH_ngg,8.5,Unknown,table_p37_ri8_ci4,soil,other,,phase14_auto; confidence=high; flag=range_mean,,
10807039.2017.1377595,10807039.2017.1377595_S9,Sum_PAH_ngg,185.0,Unknown,table_p37_ri9_ci4,soil,other,,phase14_auto; confidence=high; flag=range_mean,,
10807039.2017.1377595,10807039.2017.1377595_Standard_limit_value_(μg/kg),Nap_ngg,15.0,Unknown,table_p38_ri1_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1377595,10807039.2017.1377595_TEF,Nap_ngg,0.001,Unknown,table_p38_ri1_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1377595,10807039.2017.1377595_Standard_limit_value_(μg/kg),Acy_ngg,1.0,Unknown,table_p38_ri2_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1377595,10807039.2017.1377595_TEF,Acy_ngg,0.001,Unknown,table_p38_ri2_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1377595,10807039.2017.1377595_TEF,Ace_ngg,0.001,Unknown,table_p38_ri3_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1377595,10807039.2017.1377595_TEF,Phe_ngg,0.001,Unknown,table_p38_ri5_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1377595,10807039.2017.1377595_Standard_limit_value_(μg/kg),Ant_ngg,50.0,Unknown,table_p38_ri6_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1377595,10807039.2017.1377595_TEF,Ant_ngg,0.01,Unknown,table_p38_ri6_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1377595,10807039.2017.1377595_Standard_limit_value_(μg/kg),Flu_ngg,15.0,Unknown,table_p38_ri7_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1377595,10807039.2017.1377595_TEF,Flu_ngg,0.001,Unknown,table_p38_ri7_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1377595,10807039.2017.1377595_TEF,Pyr_ngg,0.001,Unknown,table_p38_ri8_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1377595,10807039.2017.1377595_Standard_limit_value_(μg/kg),BaA_ngg,20.0,Unknown,table_p38_ri9_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1377595,10807039.2017.1377595_TEF,BaA_ngg,0.1,Unknown,table_p38_ri9_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1377595,10807039.2017.1377595_Standard_limit_value_(μg/kg),Chr_ngg,20.0,Unknown,table_p38_ri10_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1377595,10807039.2017.1377595_TEF,Chr_ngg,0.01,Unknown,table_p38_ri10_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1377595,10807039.2017.1377595_TEF,BbF_ngg,0.1,Unknown,table_p38_ri11_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1377595,10807039.2017.1377595_Standard_limit_value_(μg/kg),BkF_ngg,25.0,Unknown,table_p38_ri12_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1377595,10807039.2017.1377595_TEF,BkF_ngg,0.1,Unknown,table_p38_ri12_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1377595,10807039.2017.1377595_Standard_limit_value_(μg/kg),BaP_ngg,25.0,Unknown,table_p38_ri13_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
10807039.2017.1377595,10807039.2017.1377595_TEF,BaP_ngg,1.0,Unknown,table_p38_ri13_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
