"paper_id","sample_id","pollutant_std","value","unit","evidence_location","matrix","site_type","province","extract_notes"
"P09487","HD1","BBP_ngg","6250","ng/g","Table S2 SI-mmc1","soil","agricultural","Hubei","Table S2, Group:L, mg/kg to ng/g(x1000)"
"P09487","HD1","DBP_ngg","0","ng/g","Table S2 SI-mmc1","soil","agricultural","Hubei","Table S2, Group:L, mg/kg to ng/g(x1000)"
"P09487","HD1","DEHP_ngg","0","ng/g","Table S2 SI-mmc1","soil","agricultural","Hubei","Table S2, Group:L, mg/kg to ng/g(x1000)"
"P09487","HD1","DEP_ngg","740","ng/g","Table S2 SI-mmc1","soil","agricultural","Hubei","Table S2, Group:L, mg/kg to ng/g(x1000)"
"P09487","HD1","DMP_ngg","2430","ng/g","Table S2 SI-mmc1","soil","agricultural","Hubei","Table S2, Group:L, mg/kg to ng/g(x1000)"
"P09487","HD1","DNOP_ngg","0","ng/g","Table S2 SI-mmc1","soil","agricultural","Hubei","Table S2, Group:L, mg/kg to ng/g(x1000)"
"P09487","HD1","SumPAE_ngg","9420","ng/g","Table S2 SI-mmc1","soil","agricultural","Hubei","Table S2, Group:L, mg/kg to ng/g(x1000)"
"P09487","HD8","BBP_ngg","15320","ng/g","Table S2 SI-mmc1","soil","agricultural","Hubei","Table S2, Group:M, mg/kg to ng/g(x1000)"
"P09487","HD8","DBP_ngg","1480","ng/g","Table S2 SI-mmc1","soil","agricultural","Hubei","Table S2, Group:M, mg/kg to ng/g(x1000)"
"P09487","HD8","DEHP_ngg","51740","ng/g","Table S2 SI-mmc1","soil","agricultural","Hubei","Table S2, Group:M, mg/kg to ng/g(x1000)"
"P09487","HD8","DEP_ngg","1070","ng/g","Table S2 SI-mmc1","soil","agricultural","Hubei","Table S2, Group:M, mg/kg to ng/g(x1000)"
"P09487","HD8","DMP_ngg","2850","ng/g","Table S2 SI-mmc1","soil","agricultural","Hubei","Table S2, Group:M, mg/kg to ng/g(x1000)"
"P09487","HD8","DNOP_ngg","6390","ng/g","Table S2 SI-mmc1","soil","agricultural","Hubei","Table S2, Group:M, mg/kg to ng/g(x1000)"
"P09487","HD8","SumPAE_ngg","78850","ng/g","Table S2 SI-mmc1","soil","agricultural","Hubei","Table S2, Group:M, mg/kg to ng/g(x1000)"
"P09487","HD10","BBP_ngg","7710","ng/g","Table S2 SI-mmc1","soil","agricultural","Hubei","Table S2, Group:H, mg/kg to ng/g(x1000)"
"P09487","HD10","DBP_ngg","3020","ng/g","Table S2 SI-mmc1","soil","agricultural","Hubei","Table S2, Group:H, mg/kg to ng/g(x1000)"
"P09487","HD10","DEHP_ngg","84260","ng/g","Table S2 SI-mmc1","soil","agricultural","Hubei","Table S2, Group:H, mg/kg to ng/g(x1000)"
"P09487","HD10","DEP_ngg","1510","ng/g","Table S2 SI-mmc1","soil","agricultural","Hubei","Table S2, Group:H, mg/kg to ng/g(x1000)"
"P09487","HD10","DMP_ngg","3170","ng/g","Table S2 SI-mmc1","soil","agricultural","Hubei","Table S2, Group:H, mg/kg to ng/g(x1000)"
"P09487","HD10","DNOP_ngg","5570","ng/g","Table S2 SI-mmc1","soil","agricultural","Hubei","Table S2, Group:H, mg/kg to ng/g(x1000)"
"P09487","HD10","SumPAE_ngg","105240","ng/g","Table S2 SI-mmc1","soil","agricultural","Hubei","Table S2, Group:H, mg/kg to ng/g(x1000)"
"P09487","HD16","BBP_ngg","6100","ng/g","Table S2 SI-mmc1","soil","agricultural","Hubei","Table S2, Group:L, mg/kg to ng/g(x1000)"
"P09487","HD16","DBP_ngg","2340","ng/g","Table S2 SI-mmc1","soil","agricultural","Hubei","Table S2, Group:L, mg/kg to ng/g(x1000)"
"P09487","HD16","DEHP_ngg","0","ng/g","Table S2 SI-mmc1","soil","agricultural","Hubei","Table S2, Group:L, mg/kg to ng/g(x1000)"
"P09487","HD16","DEP_ngg","720","ng/g","Table S2 SI-mmc1","soil","agricultural","Hubei","Table S2, Group:L, mg/kg to ng/g(x1000)"
"P09487","HD16","DMP_ngg","2220","ng/g","Table S2 SI-mmc1","soil","agricultural","Hubei","Table S2, Group:L, mg/kg to ng/g(x1000)"
"P09487","HD16","DNOP_ngg","0","ng/g","Table S2 SI-mmc1","soil","agricultural","Hubei","Table S2, Group:L, mg/kg to ng/g(x1000)"
