paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
_dup_j.envint.2019.105136,_dup_j.envint.2019.105136_Aromatic_ring,BaP_ngg,5.0,Unknown,table_p3_ri14_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envint.2019.105136,_dup_j.envint.2019.105136_Guidelineª,BaP_ngg,0.5,Unknown,table_p3_ri14_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envint.2019.105136,_dup_j.envint.2019.105136_2016_(n_=_150),BaP_ngg,20.4,Unknown,table_p3_ri14_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envint.2019.105136,_dup_j.envint.2019.105136_Aromatic_ring,Ind_ngg,6.0,Unknown,table_p3_ri15_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envint.2019.105136,_dup_j.envint.2019.105136_Guidelineª,Ind_ngg,5.0,Unknown,table_p3_ri15_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envint.2019.105136,_dup_j.envint.2019.105136_2011_(n_=_129),Ind_ngg,234.05,Unknown,table_p3_ri15_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_j.envint.2019.105136,_dup_j.envint.2019.105136_2016_(n_=_150),Ind_ngg,128.5,Unknown,table_p3_ri15_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envint.2019.105136,_dup_j.envint.2019.105136_Aromatic_ring,BghiP_ngg,6.0,Unknown,table_p3_ri17_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envint.2019.105136,_dup_j.envint.2019.105136_Guidelineª,BghiP_ngg,30.0,Unknown,table_p3_ri17_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envint.2019.105136,_dup_j.envint.2019.105136_2016_(n_=_150),BghiP_ngg,67.2,Unknown,table_p3_ri17_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envint.2019.105136,_dup_j.envint.2019.105136_2011_(n_=_129),Sum_PAH_ngg,607.2,Unknown,table_p3_ri18_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_j.envint.2019.105136,_dup_j.envint.2019.105136_2016_(n_=_150),Sum_PAH_ngg,324.8,Unknown,table_p3_ri18_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envint.2019.105136,_dup_j.envint.2019.105136_2011_(n_=_129),Sum_PAH_ngg,166.89999999999998,Unknown,table_p3_ri19_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_j.envint.2019.105136,_dup_j.envint.2019.105136_2016_(n_=_150),Sum_PAH_ngg,103.5,Unknown,table_p3_ri19_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_j.envint.2019.105136,_dup_j.envint.2019.105136_2011_(n_=_129),Sum_PAH_ngg,870.3499999999999,Unknown,table_p3_ri20_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
_dup_j.envint.2019.105136,_dup_j.envint.2019.105136_2016_(n_=_150),Sum_PAH_ngg,486.9,Unknown,table_p3_ri20_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
