paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72410_jep.2011.210153,72410_jep.2011.210153_Chang-Zhu-Tan,Nap_ngg,459.0,Unknown,table_p4_ri2_ci1,dust,industrial,,phase14_auto; confidence=high; flag=,,
72410_jep.2011.210153,72410_jep.2011.210153_Changsha,Nap_ngg,2212.0,Unknown,table_p4_ri2_ci2,dust,industrial,,phase14_auto; confidence=high; flag=,,
72410_jep.2011.210153,72410_jep.2011.210153_Zhuzhou,Nap_ngg,249.0,Unknown,table_p4_ri2_ci3,dust,industrial,,phase14_auto; confidence=high; flag=,,
72410_jep.2011.210153,72410_jep.2011.210153_Xiangtan,Nap_ngg,418.0,Unknown,table_p4_ri2_ci4,dust,industrial,,phase14_auto; confidence=high; flag=,,
72410_jep.2011.210153,72410_jep.2011.210153_Shanghai,Nap_ngg,375.0,Unknown,table_p4_ri2_ci5,dust,industrial,,phase14_auto; confidence=high; flag=,,
72410_jep.2011.210153,72410_jep.2011.210153_Macao,Nap_ngg,973.0,Unknown,table_p4_ri2_ci6,dust,industrial,,phase14_auto; confidence=high; flag=,,
72410_jep.2011.210153,72410_jep.2011.210153_Berlin,Nap_ngg,825.0,Unknown,table_p4_ri2_ci7,dust,industrial,,phase14_auto; confidence=high; flag=,,
72410_jep.2011.210153,72410_jep.2011.210153_USA,Nap_ngg,2212.0,Unknown,table_p4_ri2_ci8,dust,industrial,,phase14_auto; confidence=high; flag=,,
72410_jep.2011.210153,72410_jep.2011.210153_Chang-Zhu-Tan,Acy_ngg,61.0,Unknown,table_p4_ri3_ci1,dust,industrial,,phase14_auto; confidence=high; flag=,,
72410_jep.2011.210153,72410_jep.2011.210153_Changsha,Acy_ngg,194.0,Unknown,table_p4_ri3_ci2,dust,industrial,,phase14_auto; confidence=high; flag=,,
72410_jep.2011.210153,72410_jep.2011.210153_Zhuzhou,Acy_ngg,51.0,Unknown,table_p4_ri3_ci3,dust,industrial,,phase14_auto; confidence=high; flag=,,
72410_jep.2011.210153,72410_jep.2011.210153_Xiangtan,Acy_ngg,170.0,Unknown,table_p4_ri3_ci4,dust,industrial,,phase14_auto; confidence=high; flag=,,
72410_jep.2011.210153,72410_jep.2011.210153_Shanghai,Acy_ngg,61.0,Unknown,table_p4_ri3_ci5,dust,industrial,,phase14_auto; confidence=high; flag=,,
72410_jep.2011.210153,72410_jep.2011.210153_Macao,Acy_ngg,194.0,Unknown,table_p4_ri3_ci6,dust,industrial,,phase14_auto; confidence=high; flag=,,
72410_jep.2011.210153,72410_jep.2011.210153_Berlin,Acy_ngg,72.0,Unknown,table_p4_ri3_ci7,dust,industrial,,phase14_auto; confidence=high; flag=,,
72410_jep.2011.210153,72410_jep.2011.210153_USA,Acy_ngg,100.0,Unknown,table_p4_ri3_ci8,dust,industrial,,phase14_auto; confidence=high; flag=,,
72410_jep.2011.210153,72410_jep.2011.210153_Chang-Zhu-Tan,Ace_ngg,45.0,Unknown,table_p4_ri4_ci1,dust,industrial,,phase14_auto; confidence=high; flag=,,
72410_jep.2011.210153,72410_jep.2011.210153_Changsha,Ace_ngg,190.0,Unknown,table_p4_ri4_ci2,dust,industrial,,phase14_auto; confidence=high; flag=,,
72410_jep.2011.210153,72410_jep.2011.210153_Zhuzhou,Ace_ngg,20.0,Unknown,table_p4_ri4_ci3,dust,industrial,,phase14_auto; confidence=high; flag=,,
72410_jep.2011.210153,72410_jep.2011.210153_Xiangtan,Ace_ngg,38.0,Unknown,table_p4_ri4_ci4,dust,industrial,,phase14_auto; confidence=high; flag=,,
72410_jep.2011.210153,72410_jep.2011.210153_Shanghai,Ace_ngg,49.0,Unknown,table_p4_ri4_ci5,dust,industrial,,phase14_auto; confidence=high; flag=,,
72410_jep.2011.210153,72410_jep.2011.210153_Macao,Ace_ngg,190.0,Unknown,table_p4_ri4_ci6,dust,industrial,,phase14_auto; confidence=high; flag=,,
72410_jep.2011.210153,72410_jep.2011.210153_Berlin,Ace_ngg,74.0,Unknown,table_p4_ri4_ci7,dust,industrial,,phase14_auto; confidence=high; flag=,,
72410_jep.2011.210153,72410_jep.2011.210153_USA,Ace_ngg,112.0,Unknown,table_p4_ri4_ci8,dust,industrial,,phase14_auto; confidence=high; flag=,,
72410_jep.2011.210153,72410_jep.2011.210153_Chang-Zhu-Tan,Phe_ngg,1380.0,Unknown,table_p4_ri6_ci1,dust,industrial,,phase14_auto; confidence=high; flag=,,
72410_jep.2011.210153,72410_jep.2011.210153_Changsha,Phe_ngg,4316.0,Unknown,table_p4_ri6_ci2,dust,industrial,,phase14_auto; confidence=high; flag=,,
72410_jep.2011.210153,72410_jep.2011.210153_Zhuzhou,Phe_ngg,1066.0,Unknown,table_p4_ri6_ci3,dust,industrial,,phase14_auto; confidence=high; flag=,,
72410_jep.2011.210153,72410_jep.2011.210153_Xiangtan,Phe_ngg,1917.0,Unknown,table_p4_ri6_ci4,dust,industrial,,phase14_auto; confidence=high; flag=,,
72410_jep.2011.210153,72410_jep.2011.210153_Shanghai,Phe_ngg,1468.0,Unknown,table_p4_ri6_ci5,dust,industrial,,phase14_auto; confidence=high; flag=,,
72410_jep.2011.210153,72410_jep.2011.210153_Macao,Phe_ngg,4316.0,Unknown,table_p4_ri6_ci6,dust,industrial,,phase14_auto; confidence=high; flag=,,
72410_jep.2011.210153,72410_jep.2011.210153_Berlin,Phe_ngg,1711.0,Unknown,table_p4_ri6_ci7,dust,industrial,,phase14_auto; confidence=high; flag=,,
72410_jep.2011.210153,72410_jep.2011.210153_USA,Phe_ngg,2260.0,Unknown,table_p4_ri6_ci8,dust,industrial,,phase14_auto; confidence=high; flag=,,
72410_jep.2011.210153,72410_jep.2011.210153_Chang-Zhu-Tan,Ant_ngg,125.0,Unknown,table_p4_ri7_ci1,dust,industrial,,phase14_auto; confidence=high; flag=,,
72410_jep.2011.210153,72410_jep.2011.210153_Changsha,Ant_ngg,534.0,Unknown,table_p4_ri7_ci2,dust,industrial,,phase14_auto; confidence=high; flag=,,
72410_jep.2011.210153,72410_jep.2011.210153_Zhuzhou,Ant_ngg,82.0,Unknown,table_p4_ri7_ci3,dust,industrial,,phase14_auto; confidence=high; flag=,,
72410_jep.2011.210153,72410_jep.2011.210153_Xiangtan,Ant_ngg,183.0,Unknown,table_p4_ri7_ci4,dust,industrial,,phase14_auto; confidence=high; flag=,,
72410_jep.2011.210153,72410_jep.2011.210153_Shanghai,Ant_ngg,137.0,Unknown,table_p4_ri7_ci5,dust,industrial,,phase14_auto; confidence=high; flag=,,
72410_jep.2011.210153,72410_jep.2011.210153_Macao,Ant_ngg,534.0,Unknown,table_p4_ri7_ci6,dust,industrial,,phase14_auto; confidence=high; flag=,,
72410_jep.2011.210153,72410_jep.2011.210153_Berlin,Ant_ngg,171.0,Unknown,table_p4_ri7_ci7,dust,industrial,,phase14_auto; confidence=high; flag=,,
72410_jep.2011.210153,72410_jep.2011.210153_USA,Ant_ngg,270.0,Unknown,table_p4_ri7_ci8,dust,industrial,,phase14_auto; confidence=high; flag=,,
72410_jep.2011.210153,72410_jep.2011.210153_Chang-Zhu-Tan,Flu_ngg,1541.0,Unknown,table_p4_ri8_ci1,dust,industrial,,phase14_auto; confidence=high; flag=,,
72410_jep.2011.210153,72410_jep.2011.210153_Changsha,Flu_ngg,3831.0,Unknown,table_p4_ri8_ci2,dust,industrial,,phase14_auto; confidence=high; flag=,,
72410_jep.2011.210153,72410_jep.2011.210153_Zhuzhou,Flu_ngg,1222.0,Unknown,table_p4_ri8_ci3,dust,industrial,,phase14_auto; confidence=high; flag=,,
