paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72288_j.chemosphere.2009.06.045,72288_j.chemosphere.2009.06.045_1,OC_pct,18.7,Unknown,table_p2_ri1_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72288_j.chemosphere.2009.06.045,72288_j.chemosphere.2009.06.045_1,SumPCB_ngg,155.0,Unknown,table_p2_ri1_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72288_j.chemosphere.2009.06.045,72288_j.chemosphere.2009.06.045_1,SumPBDE_ngg,10.5,Unknown,table_p2_ri1_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72288_j.chemosphere.2009.06.045,72288_j.chemosphere.2009.06.045_2,OC_pct,22.1,Unknown,table_p2_ri2_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72288_j.chemosphere.2009.06.045,72288_j.chemosphere.2009.06.045_2,SumPCB_ngg,371.0,Unknown,table_p2_ri2_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72288_j.chemosphere.2009.06.045,72288_j.chemosphere.2009.06.045_2,SumPBDE_ngg,34.9,Unknown,table_p2_ri2_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72288_j.chemosphere.2009.06.045,72288_j.chemosphere.2009.06.045_3,OC_pct,12.3,Unknown,table_p2_ri3_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72288_j.chemosphere.2009.06.045,72288_j.chemosphere.2009.06.045_3,SumPCB_ngg,423.0,Unknown,table_p2_ri3_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72288_j.chemosphere.2009.06.045,72288_j.chemosphere.2009.06.045_3,SumPBDE_ngg,13.5,Unknown,table_p2_ri3_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72288_j.chemosphere.2009.06.045,72288_j.chemosphere.2009.06.045_4,OC_pct,16.0,Unknown,table_p2_ri4_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72288_j.chemosphere.2009.06.045,72288_j.chemosphere.2009.06.045_4,SumPCB_ngg,236.0,Unknown,table_p2_ri4_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72288_j.chemosphere.2009.06.045,72288_j.chemosphere.2009.06.045_4,SumPBDE_ngg,9.4,Unknown,table_p2_ri4_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72288_j.chemosphere.2009.06.045,72288_j.chemosphere.2009.06.045_5,OC_pct,19.2,Unknown,table_p2_ri5_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72288_j.chemosphere.2009.06.045,72288_j.chemosphere.2009.06.045_5,SumPCB_ngg,236.0,Unknown,table_p2_ri5_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72288_j.chemosphere.2009.06.045,72288_j.chemosphere.2009.06.045_5,SumPBDE_ngg,9.3,Unknown,table_p2_ri5_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72288_j.chemosphere.2009.06.045,72288_j.chemosphere.2009.06.045_6,OC_pct,27.0,Unknown,table_p2_ri6_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72288_j.chemosphere.2009.06.045,72288_j.chemosphere.2009.06.045_6,SumPCB_ngg,176.0,Unknown,table_p2_ri6_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72288_j.chemosphere.2009.06.045,72288_j.chemosphere.2009.06.045_6,SumPBDE_ngg,19.9,Unknown,table_p2_ri6_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72288_j.chemosphere.2009.06.045,72288_j.chemosphere.2009.06.045_7,OC_pct,16.3,Unknown,table_p2_ri7_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72288_j.chemosphere.2009.06.045,72288_j.chemosphere.2009.06.045_7,SumPCB_ngg,127.0,Unknown,table_p2_ri7_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72288_j.chemosphere.2009.06.045,72288_j.chemosphere.2009.06.045_7,SumPBDE_ngg,7.7,Unknown,table_p2_ri7_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72288_j.chemosphere.2009.06.045,72288_j.chemosphere.2009.06.045_8,OC_pct,18.5,Unknown,table_p2_ri8_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72288_j.chemosphere.2009.06.045,72288_j.chemosphere.2009.06.045_8,SumPCB_ngg,339.0,Unknown,table_p2_ri8_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72288_j.chemosphere.2009.06.045,72288_j.chemosphere.2009.06.045_8,SumPBDE_ngg,8.9,Unknown,table_p2_ri8_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72288_j.chemosphere.2009.06.045,72288_j.chemosphere.2009.06.045_9_10,OC_pct,16.3,Unknown,table_p2_ri9_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72288_j.chemosphere.2009.06.045,72288_j.chemosphere.2009.06.045_9_10,SumPCB_ngg,139.0,Unknown,table_p2_ri9_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72288_j.chemosphere.2009.06.045,72288_j.chemosphere.2009.06.045_9_10,SumPBDE_ngg,4.3,Unknown,table_p2_ri9_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72288_j.chemosphere.2009.06.045,72288_j.chemosphere.2009.06.045_11,OC_pct,19.1,Unknown,table_p2_ri10_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72288_j.chemosphere.2009.06.045,72288_j.chemosphere.2009.06.045_11,SumPCB_ngg,162.0,Unknown,table_p2_ri10_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72288_j.chemosphere.2009.06.045,72288_j.chemosphere.2009.06.045_11,SumPBDE_ngg,6.3,Unknown,table_p2_ri10_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72288_j.chemosphere.2009.06.045,72288_j.chemosphere.2009.06.045_12,OC_pct,3.1,Unknown,table_p2_ri11_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72288_j.chemosphere.2009.06.045,72288_j.chemosphere.2009.06.045_12,SumPCB_ngg,70.0,Unknown,table_p2_ri11_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72288_j.chemosphere.2009.06.045,72288_j.chemosphere.2009.06.045_12,SumPBDE_ngg,5.9,Unknown,table_p2_ri11_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72288_j.chemosphere.2009.06.045,72288_j.chemosphere.2009.06.045_13,OC_pct,10.3,Unknown,table_p2_ri12_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72288_j.chemosphere.2009.06.045,72288_j.chemosphere.2009.06.045_13,SumPCB_ngg,147.0,Unknown,table_p2_ri12_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72288_j.chemosphere.2009.06.045,72288_j.chemosphere.2009.06.045_13,SumPBDE_ngg,10.1,Unknown,table_p2_ri12_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72288_j.chemosphere.2009.06.045,72288_j.chemosphere.2009.06.045_14,SumPCB_ngg,47.0,Unknown,table_p2_ri13_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72288_j.chemosphere.2009.06.045,72288_j.chemosphere.2009.06.045_14,SumPBDE_ngg,8.7,Unknown,table_p2_ri13_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72288_j.chemosphere.2009.06.045,72288_j.chemosphere.2009.06.045_15,SumPCB_ngg,80.0,Unknown,table_p2_ri14_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72288_j.chemosphere.2009.06.045,72288_j.chemosphere.2009.06.045_15,SumPBDE_ngg,6.0,Unknown,table_p2_ri14_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72288_j.chemosphere.2009.06.045,72288_j.chemosphere.2009.06.045_S15,OC_pct,2.0,Unknown,table_p2_ri15_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72288_j.chemosphere.2009.06.045,72288_j.chemosphere.2009.06.045_S15,SumPCB_ngg,78.0,Unknown,table_p2_ri15_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72288_j.chemosphere.2009.06.045,72288_j.chemosphere.2009.06.045_S15,SumPBDE_ngg,7.4,Unknown,table_p2_ri15_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72288_j.chemosphere.2009.06.045,72288_j.chemosphere.2009.06.045_log(POPs)_vs._log(TOC),SumPCB_ngg,0.397,Unknown,table_p3_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72288_j.chemosphere.2009.06.045,72288_j.chemosphere.2009.06.045_log(POPs/TOC)_vs._1/Ta,SumPCB_ngg,0.44,Unknown,table_p3_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72288_j.chemosphere.2009.06.045,72288_j.chemosphere.2009.06.045_$P___{_L_}_\left(_\mathrm_{_P_a_}_\right)_^_{_\mathrm_{_b_}_}$,SumPCB_ngg,3896.0,Unknown,table_p3_ri2_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
