paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
15320383.2020.1734535,15320383.2020.1734535_Composition_(%),Sum_PAH_ngg,46.19,Unknown,table_p6_ri19_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2020.1734535,15320383.2020.1734535_SDa_(ng/g),Sum_PAH_ngg,5.35,Unknown,table_p6_ri20_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2020.1734535,15320383.2020.1734535_MDL,Sum_PAH_ngg,159.42,Unknown,table_p6_ri20_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2020.1734535,15320383.2020.1734535_Composition_(%),Sum_PAH_ngg,25.3,Unknown,table_p6_ri20_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2020.1734535,15320383.2020.1734535_MDL,Sum_PAH_ngg,85.21,Unknown,table_p6_ri21_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2020.1734535,15320383.2020.1734535_Composition_(%),Sum_PAH_ngg,23.64,Unknown,table_p6_ri21_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2020.1734535,15320383.2020.1734535_MDL,Sum_PAH_ngg,114.94,Unknown,table_p6_ri22_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2020.1734535,15320383.2020.1734535_Composition_(%),Sum_PAH_ngg,103.31,Unknown,table_p6_ri22_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2020.1734535,15320383.2020.1734535_SDa_(ng/g),Sum_PAH_ngg,0.53,Unknown,table_p6_ri23_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2020.1734535,15320383.2020.1734535_MDL,Sum_PAH_ngg,246.11,Unknown,table_p6_ri23_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2020.1734535,15320383.2020.1734535_Composition_(%),Sum_PAH_ngg,38.25,Unknown,table_p6_ri23_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2020.1734535,15320383.2020.1734535_SDa_(ng/g),Sum_PAH_ngg,68.27,Unknown,table_p6_ri24_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2020.1734535,15320383.2020.1734535_MDL,Sum_PAH_ngg,503.08,Unknown,table_p6_ri24_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
15320383.2020.1734535,15320383.2020.1734535_Composition_(%),Sum_PAH_ngg,215.39,Unknown,table_p6_ri24_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
