paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
70638_10807039.2015.1107715,70638_10807039.2015.1107715_RV,SumHCH_ngg,0.05,Unknown,table_p5_ri9_ci7,soil,other,,phase14_auto; confidence=high; flag=,,
70638_10807039.2015.1107715,70638_10807039.2015.1107715_Detection_frequencies_(%),SumHCH_ngg,100.0,Unknown,table_p5_ri10_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
70638_10807039.2015.1107715,70638_10807039.2015.1107715_Minimum,SumHCH_ngg,2.19,Unknown,table_p5_ri10_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
70638_10807039.2015.1107715,70638_10807039.2015.1107715_Maximum,SumHCH_ngg,9.72,Unknown,table_p5_ri10_ci3,soil,other,,phase14_auto; confidence=high; flag=,,
70638_10807039.2015.1107715,70638_10807039.2015.1107715_CV_(%),SumHCH_ngg,37.93,Unknown,table_p5_ri10_ci6,soil,other,,phase14_auto; confidence=high; flag=,,
70638_10807039.2015.1107715,70638_10807039.2015.1107715_Minimum,SumHCH_ngg,4.37,Unknown,table_p5_ri11_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
70638_10807039.2015.1107715,70638_10807039.2015.1107715_Maximum,SumHCH_ngg,44.77,Unknown,table_p5_ri11_ci3,soil,other,,phase14_auto; confidence=high; flag=,,
70638_10807039.2015.1107715,70638_10807039.2015.1107715_CV_(%),SumHCH_ngg,68.42,Unknown,table_p5_ri11_ci6,soil,other,,phase14_auto; confidence=high; flag=,,
70638_10807039.2015.1107715,70638_10807039.2015.1107715_RV,SumHCH_ngg,10.0,Unknown,table_p5_ri11_ci7,soil,other,,phase14_auto; confidence=high; flag=,,
70638_10807039.2015.1107715,70638_10807039.2015.1107715_Minimum,SumOCP_ngg,12.1,Unknown,table_p5_ri18_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
70638_10807039.2015.1107715,70638_10807039.2015.1107715_Minimum,OC_pct,12.1,Unknown,table_p5_ri18_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
70638_10807039.2015.1107715,70638_10807039.2015.1107715_Maximum,SumOCP_ngg,72.51,Unknown,table_p5_ri18_ci3,soil,other,,phase14_auto; confidence=high; flag=,,
70638_10807039.2015.1107715,70638_10807039.2015.1107715_CV_(%),SumOCP_ngg,47.78,Unknown,table_p5_ri18_ci6,soil,other,,phase14_auto; confidence=high; flag=,,
70638_10807039.2015.1107715,70638_10807039.2015.1107715_CV_(%),OC_pct,47.78,Unknown,table_p5_ri18_ci6,soil,other,,phase14_auto; confidence=high; flag=,,
70638_10807039.2015.1107715,70638_10807039.2015.1107715_∑DDTs,SumDDT_ngg,1.0,Unknown,table_p7_ri2_ci2,soil,other,,phase14_auto; confidence=high; flag=,,
70638_10807039.2015.1107715,70638_10807039.2015.1107715_soc,SumHCH_ngg,0.154,Unknown,table_p7_ri3_ci1,soil,other,,phase14_auto; confidence=high; flag=,,
70638_10807039.2015.1107715,70638_10807039.2015.1107715_∑HCHs,SumHCH_ngg,1.0,Unknown,table_p7_ri3_ci3,soil,other,,phase14_auto; confidence=high; flag=,,
