paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
70664_10934529.2010.486336,70664_10934529.2010.486336_Maximun,Nap_ngg,300.8,Unknown,table_p4_ri1_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_Maximun,Acy_ngg,27.7,Unknown,table_p4_ri2_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_Maximun,Ace_ngg,74.7,Unknown,table_p4_ri3_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_Minimum,Flu_ngg,6.6,Unknown,table_p4_ri4_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_Maximun,Flu_ngg,105.9,Unknown,table_p4_ri4_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_Minimum,Phe_ngg,43.3,Unknown,table_p4_ri5_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_Maximun,Phe_ngg,636.9,Unknown,table_p4_ri5_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_Minimum,Ant_ngg,32.1,Unknown,table_p4_ri6_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_Maximun,Ant_ngg,439.3,Unknown,table_p4_ri6_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_Minimum,Flt_ngg,35.3,Unknown,table_p4_ri7_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_Maximun,Flt_ngg,550.4,Unknown,table_p4_ri7_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_Minimum,Pyr_ngg,20.6,Unknown,table_p4_ri8_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_Maximun,Pyr_ngg,467.8,Unknown,table_p4_ri8_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_Minimum,Sum_PAH_ngg,262.6,Unknown,table_p4_ri17_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_Maximun,Sum_PAH_ngg,3420.2,Unknown,table_p4_ri17_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_Minimum,Sum_PAH_ngg,70.5,Unknown,table_p4_ri18_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_Maximun,Sum_PAH_ngg,1254.1,Unknown,table_p4_ri18_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_col1,Nap_ngg,1550.0,Unknown,table_p5_ri2_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_col1,Phe_ngg,1550.0,Unknown,table_p5_ri2_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_col2,Nap_ngg,5457.0,Unknown,table_p5_ri2_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_col2,Phe_ngg,5457.0,Unknown,table_p5_ri2_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_col4,Nap_ngg,36.0,Unknown,table_p5_ri2_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_col4,Phe_ngg,36.0,Unknown,table_p5_ri2_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_col1,Ant_ngg,50.0,Unknown,table_p5_ri3_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_col2,Ant_ngg,57.0,Unknown,table_p5_ri3_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_col3,Ant_ngg,2922.0,Unknown,table_p5_ri3_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_col4,Ant_ngg,6.0,Unknown,table_p5_ri3_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_col1,Flt_ngg,15.0,Unknown,table_p5_ri4_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_col2,Flt_ngg,59.0,Unknown,table_p5_ri4_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_col3,Flt_ngg,2922.0,Unknown,table_p5_ri4_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_col4,Flt_ngg,8.0,Unknown,table_p5_ri4_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_col1,Chr_ngg,20.0,Unknown,table_p5_ri5_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_col2,Chr_ngg,57.0,Unknown,table_p5_ri5_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_col3,Chr_ngg,2922.0,Unknown,table_p5_ri5_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_col4,Chr_ngg,6.0,Unknown,table_p5_ri5_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_col1,BkF_ngg,25.0,Unknown,table_p5_ri6_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_col2,BkF_ngg,8.0,Unknown,table_p5_ri6_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_col3,BkF_ngg,53.0,Unknown,table_p5_ri6_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_col4,BkF_ngg,0.0,Unknown,table_p5_ri6_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_col1,BaP_ngg,25.0,Unknown,table_p5_ri7_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_col2,BaP_ngg,51.0,Unknown,table_p5_ri7_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_col3,BaP_ngg,2922.0,Unknown,table_p5_ri7_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_col4,BaP_ngg,0.0,Unknown,table_p5_ri7_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_col1,Ind_ngg,25.0,Unknown,table_p5_ri8_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_col2,Ind_ngg,7.0,Unknown,table_p5_ri8_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_col3,Ind_ngg,52.0,Unknown,table_p5_ri8_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_col4,Ind_ngg,0.0,Unknown,table_p5_ri8_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_col1,BghiP_ngg,20.0,Unknown,table_p5_ri9_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_col2,BghiP_ngg,10.0,Unknown,table_p5_ri9_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_col3,BghiP_ngg,73.0,Unknown,table_p5_ri9_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
70664_10934529.2010.486336,70664_10934529.2010.486336_col4,BghiP_ngg,0.0,Unknown,table_p5_ri9_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
