paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
_dup_srep33245,_dup_srep33245_Ring_number,Nap_ngg,2.0,Unknown,table_p2_ri1_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_srep33245,_dup_srep33245_All,Nap_ngg,14.0,Unknown,table_p2_ri1_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_srep33245,_dup_srep33245_Ring_number,Acy_ngg,2.0,Unknown,table_p2_ri2_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_srep33245,_dup_srep33245_Ring_number,Ace_ngg,2.0,Unknown,table_p2_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_srep33245,_dup_srep33245_Ring_number,Phe_ngg,3.0,Unknown,table_p2_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_srep33245,_dup_srep33245_Ring_number,Ant_ngg,3.0,Unknown,table_p2_ri6_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_srep33245,_dup_srep33245_Ring_number,Pyr_ngg,4.0,Unknown,table_p2_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_srep33245,_dup_srep33245_Ring_number,BaA_ngg,4.0,Unknown,table_p2_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_srep33245,_dup_srep33245_Ring_number,Chr_ngg,4.0,Unknown,table_p2_ri10_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_srep33245,_dup_srep33245_Ring_number,BbF_ngg,4.0,Unknown,table_p2_ri11_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_srep33245,_dup_srep33245_Ring_number,BkF_ngg,4.0,Unknown,table_p2_ri12_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_srep33245,_dup_srep33245_Ring_number,BaP_ngg,5.0,Unknown,table_p2_ri13_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_srep33245,_dup_srep33245_Ring_number,Ind_ngg,5.0,Unknown,table_p2_ri14_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_srep33245,_dup_srep33245_Ring_number,DahA_ngg,5.0,Unknown,table_p2_ri15_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_srep33245,_dup_srep33245_Ring_number,BghiP_ngg,6.0,Unknown,table_p2_ri16_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_srep33245,_dup_srep33245_Ring_number,Sum_PAH_ngg,4.0,Unknown,table_p2_ri17_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
