paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Traffic_volume,Acy_ngg,0.197,Unknown,table_p3_ri3_ci1,soil,,,phase14_batch2; matrix=score=188:high; conf=high; flag=,,
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Average_vehicle_speed,Acy_ngg,0.188,Unknown,table_p3_ri3_ci2,soil,,,phase14_batch2; matrix=score=188:high; conf=high; flag=,,
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Operation_time,Acy_ngg,0.147,Unknown,table_p3_ri3_ci3,soil,,,phase14_batch2; matrix=score=188:high; conf=high; flag=,,
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Distance_from_roadbed_to_farmland,Acy_ngg,0.131,Unknown,table_p3_ri3_ci4,soil,,,phase14_batch2; matrix=score=188:high; conf=high; flag=,,
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Traffic_volume,Ace_ngg,0.289,Unknown,table_p3_ri4_ci1,soil,,,phase14_batch2; matrix=score=188:high; conf=high; flag=,,
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Average_vehicle_speed,Ace_ngg,0.228,Unknown,table_p3_ri4_ci2,soil,,,phase14_batch2; matrix=score=188:high; conf=high; flag=,,
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Operation_time,Ace_ngg,0.219,Unknown,table_p3_ri4_ci3,soil,,,phase14_batch2; matrix=score=188:high; conf=high; flag=,,
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Distance_from_roadbed_to_farmland,Ace_ngg,0.156,Unknown,table_p3_ri4_ci4,soil,,,phase14_batch2; matrix=score=188:high; conf=high; flag=,,
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Traffic_volume,Phe_ngg,0.147,Unknown,table_p3_ri6_ci1,soil,,,phase14_batch2; matrix=score=188:high; conf=high; flag=,,
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Average_vehicle_speed,Phe_ngg,0.124,Unknown,table_p3_ri6_ci2,soil,,,phase14_batch2; matrix=score=188:high; conf=high; flag=,,
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Operation_time,Phe_ngg,0.084,Unknown,table_p3_ri6_ci3,soil,,,phase14_batch2; matrix=score=188:high; conf=high; flag=,,
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Distance_from_roadbed_to_farmland,Phe_ngg,0.089,Unknown,table_p3_ri6_ci4,soil,,,phase14_batch2; matrix=score=188:high; conf=high; flag=,,
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Traffic_volume,Ant_ngg,0.215,Unknown,table_p3_ri7_ci1,soil,,,phase14_batch2; matrix=score=188:high; conf=high; flag=,,
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Average_vehicle_speed,Ant_ngg,0.192,Unknown,table_p3_ri7_ci2,soil,,,phase14_batch2; matrix=score=188:high; conf=high; flag=,,
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Operation_time,Ant_ngg,0.141,Unknown,table_p3_ri7_ci3,soil,,,phase14_batch2; matrix=score=188:high; conf=high; flag=,,
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Distance_from_roadbed_to_farmland,Ant_ngg,0.144,Unknown,table_p3_ri7_ci4,soil,,,phase14_batch2; matrix=score=188:high; conf=high; flag=,,
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Traffic_volume,Flu_ngg,0.226,Unknown,table_p3_ri8_ci1,soil,,,phase14_batch2; matrix=score=188:high; conf=high; flag=,,
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Average_vehicle_speed,Flu_ngg,0.237,Unknown,table_p3_ri8_ci2,soil,,,phase14_batch2; matrix=score=188:high; conf=high; flag=,,
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Operation_time,Flu_ngg,0.195,Unknown,table_p3_ri8_ci3,soil,,,phase14_batch2; matrix=score=188:high; conf=high; flag=,,
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Distance_from_roadbed_to_farmland,Flu_ngg,0.15,Unknown,table_p3_ri8_ci4,soil,,,phase14_batch2; matrix=score=188:high; conf=high; flag=,,
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Traffic_volume,Pyr_ngg,0.225,Unknown,table_p3_ri9_ci1,soil,,,phase14_batch2; matrix=score=188:high; conf=high; flag=,,
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Average_vehicle_speed,Pyr_ngg,0.241,Unknown,table_p3_ri9_ci2,soil,,,phase14_batch2; matrix=score=188:high; conf=high; flag=,,
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Operation_time,Pyr_ngg,0.193,Unknown,table_p3_ri9_ci3,soil,,,phase14_batch2; matrix=score=188:high; conf=high; flag=,,
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Distance_from_roadbed_to_farmland,Pyr_ngg,0.156,Unknown,table_p3_ri9_ci4,soil,,,phase14_batch2; matrix=score=188:high; conf=high; flag=,,
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Traffic_volume,BaA_ngg,0.265,Unknown,table_p3_ri10_ci1,soil,,,phase14_batch2; matrix=score=188:high; conf=high; flag=,,
j.jhazmat.2020.123592,j.jhazmat.2020.123592_Average_vehicle_speed,BaA_ngg,0.294,Unknown,table_p3_ri10_ci2,soil,,,phase14_batch2; matrix=score=188:high; conf=high; flag=,,
