paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
j.ecoenv.2014.05.034,j.ecoenv.2014.05.034_Aromatic_ring,Nap_ngg,2.0,Unknown,table_p3_ri1_ci1,soil,,,phase14_batch2; matrix=score=170:high; conf=high; flag=,,
j.ecoenv.2014.05.034,j.ecoenv.2014.05.034_Max__$(_\mathrm_{_n_g_}_\mathrm_{_g_}_^_{_-_1_}_)$,Nap_ngg,285.0,Unknown,table_p3_ri1_ci3,soil,,,phase14_batch2; matrix=score=170:high; conf=high; flag=,,
j.ecoenv.2014.05.034,j.ecoenv.2014.05.034_Mean__$(_\mathrm_{_n_g_}_\mathrm_{_g_}_^_{_-_1_}_)$,Nap_ngg,27.0,Unknown,table_p3_ri1_ci4,soil,,,phase14_batch2; matrix=score=170:high; conf=high; flag=,,
j.ecoenv.2014.05.034,j.ecoenv.2014.05.034_Median__$(_\mathrm_{_n_g_}_\mathrm_{_g_}_^_{_-_1_}_)$,Nap_ngg,19.0,Unknown,table_p3_ri1_ci5,soil,,,phase14_batch2; matrix=score=170:high; conf=high; flag=,,
j.ecoenv.2014.05.034,j.ecoenv.2014.05.034_DRª_(percent),Nap_ngg,86.0,Unknown,table_p3_ri1_ci6,soil,,,phase14_batch2; matrix=score=170:high; conf=high; flag=,,
j.ecoenv.2014.05.034,j.ecoenv.2014.05.034_Aromatic_ring,Acy_ngg,3.0,Unknown,table_p3_ri2_ci1,soil,,,phase14_batch2; matrix=score=170:high; conf=high; flag=,,
j.ecoenv.2014.05.034,j.ecoenv.2014.05.034_Max__$(_\mathrm_{_n_g_}_\mathrm_{_g_}_^_{_-_1_}_)$,Acy_ngg,303.0,Unknown,table_p3_ri2_ci3,soil,,,phase14_batch2; matrix=score=170:high; conf=high; flag=,,
j.ecoenv.2014.05.034,j.ecoenv.2014.05.034_Mean__$(_\mathrm_{_n_g_}_\mathrm_{_g_}_^_{_-_1_}_)$,Acy_ngg,43.0,Unknown,table_p3_ri2_ci4,soil,,,phase14_batch2; matrix=score=170:high; conf=high; flag=,,
j.ecoenv.2014.05.034,j.ecoenv.2014.05.034_Median__$(_\mathrm_{_n_g_}_\mathrm_{_g_}_^_{_-_1_}_)$,Acy_ngg,31.0,Unknown,table_p3_ri2_ci5,soil,,,phase14_batch2; matrix=score=170:high; conf=high; flag=,,
j.ecoenv.2014.05.034,j.ecoenv.2014.05.034_DRª_(percent),Acy_ngg,92.0,Unknown,table_p3_ri2_ci6,soil,,,phase14_batch2; matrix=score=170:high; conf=high; flag=,,
j.ecoenv.2014.05.034,j.ecoenv.2014.05.034_Aromatic_ring,Ace_ngg,3.0,Unknown,table_p3_ri3_ci1,soil,,,phase14_batch2; matrix=score=170:high; conf=high; flag=,,
