paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Northern_China,SumDDT_ngg,80.1,Unknown,table_p3_ri8_ci1,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=,,
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Northern_China,SumHCH_ngg,3.6,Unknown,table_p3_ri8_ci2,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=,,
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Eastern_China,SumDDT_ngg,21.4,Unknown,table_p3_ri9_ci1,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=,,
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Eastern_China,SumHCH_ngg,2.41,Unknown,table_p3_ri9_ci2,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=,,
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Central_China,SumDDT_ngg,152.0,Unknown,table_p3_ri10_ci1,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=,,
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Central_China,SumHCH_ngg,15.4,Unknown,table_p3_ri10_ci2,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=,,
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_India,SumDDT_ngg,903.0,Unknown,table_p3_ri11_ci1,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=,,
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_India,SumHCH_ngg,825.0,Unknown,table_p3_ri11_ci2,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=,,
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_Southern_United_States,SumDDT_ngg,211.0,Unknown,table_p3_ri12_ci1,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=,,
j.chemosphere.2016.01.120,j.chemosphere.2016.01.120_North-western_Spain,SumHCH_ngg,200.0,Unknown,table_p3_ri13_ci2,soil,,,phase14_batch2; matrix=score=219:high; conf=high; flag=,,
