paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72127_s10661-014-3960-x,72127_s10661-014-3960-x_10,ENRO_ngg,10.0,Unknown,table_p3_ri13_ci0,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72127_s10661-014-3960-x,72127_s10661-014-3960-x_10,SDZ_ngg,10.0,Unknown,table_p3_ri13_ci0,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72127_s10661-014-3960-x,72127_s10661-014-3960-x_11,SMZ_ngg,11.0,Unknown,table_p3_ri14_ci0,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72127_s10661-014-3960-x,72127_s10661-014-3960-x_11,CTC_ngg,11.0,Unknown,table_p3_ri14_ci0,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72127_s10661-014-3960-x,72127_s10661-014-3960-x_11,OTC_ngg,11.0,Unknown,table_p3_ri14_ci0,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72127_s10661-014-3960-x,72127_s10661-014-3960-x_11,ENRO_ngg,11.0,Unknown,table_p3_ri14_ci0,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72127_s10661-014-3960-x,72127_s10661-014-3960-x_11,SDZ_ngg,11.0,Unknown,table_p3_ri14_ci0,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72127_s10661-014-3960-x,72127_s10661-014-3960-x_12,SMZ_ngg,12.0,Unknown,table_p3_ri15_ci0,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72127_s10661-014-3960-x,72127_s10661-014-3960-x_12,CTC_ngg,12.0,Unknown,table_p3_ri15_ci0,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72127_s10661-014-3960-x,72127_s10661-014-3960-x_12,OTC_ngg,12.0,Unknown,table_p3_ri15_ci0,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72127_s10661-014-3960-x,72127_s10661-014-3960-x_12,ENRO_ngg,12.0,Unknown,table_p3_ri15_ci0,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72127_s10661-014-3960-x,72127_s10661-014-3960-x_12,SDZ_ngg,12.0,Unknown,table_p3_ri15_ci0,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72127_s10661-014-3960-x,72127_s10661-014-3960-x_13,SMZ_ngg,13.0,Unknown,table_p3_ri16_ci0,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72127_s10661-014-3960-x,72127_s10661-014-3960-x_13,CTC_ngg,13.0,Unknown,table_p3_ri16_ci0,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72127_s10661-014-3960-x,72127_s10661-014-3960-x_13,OTC_ngg,13.0,Unknown,table_p3_ri16_ci0,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72127_s10661-014-3960-x,72127_s10661-014-3960-x_13,ENRO_ngg,13.0,Unknown,table_p3_ri16_ci0,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72127_s10661-014-3960-x,72127_s10661-014-3960-x_13,SDZ_ngg,13.0,Unknown,table_p3_ri16_ci0,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72127_s10661-014-3960-x,72127_s10661-014-3960-x_14,SMZ_ngg,14.0,Unknown,table_p3_ri17_ci0,soil,agricultural,,phase14_auto; confidence=high; flag=,,
72127_s10661-014-3960-x,72127_s10661-014-3960-x_14,CTC_ngg,14.0,Unknown,table_p3_ri17_ci0,soil,agricultural,,phase14_auto; confidence=high; flag=,,
