paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
70606_c3em00450c,70606_c3em00450c_$R_^_{_2_}$,SumHCH_ngg,0.329,Unknown,table_p4_ri1_ci2,soil,mining,,phase14_auto; confidence=high; flag=,,
70606_c3em00450c,70606_c3em00450c_Sig._(P),SumHCH_ngg,0.005,Unknown,table_p4_ri1_ci3,soil,mining,,phase14_auto; confidence=high; flag=,,
70606_c3em00450c,70606_c3em00450c_$R_^_{_2_}$,SumHCH_ngg,0.608,Unknown,table_p4_ri2_ci2,soil,mining,,phase14_auto; confidence=high; flag=,,
70606_c3em00450c,70606_c3em00450c_Sig._(P),SumHCH_ngg,0.0,Unknown,table_p4_ri2_ci3,soil,mining,,phase14_auto; confidence=high; flag=,,
70606_c3em00450c,70606_c3em00450c_$R_^_{_2_}$,SumDDT_ngg,0.475,Unknown,table_p4_ri4_ci2,soil,mining,,phase14_auto; confidence=high; flag=,,
70606_c3em00450c,70606_c3em00450c_Sig._(P),SumDDT_ngg,0.0,Unknown,table_p4_ri4_ci3,soil,mining,,phase14_auto; confidence=high; flag=,,
70606_c3em00450c,70606_c3em00450c_$R_^_{_2_}$,SumHCH_ngg,0.291,Unknown,table_p5_ri1_ci2,soil,mining,,phase14_auto; confidence=high; flag=,,
70606_c3em00450c,70606_c3em00450c_Sig._(P),SumHCH_ngg,0.1,Unknown,table_p5_ri1_ci3,soil,mining,,phase14_auto; confidence=high; flag=,,
70606_c3em00450c,70606_c3em00450c_$R_^_{_2_}$,SumHCH_ngg,0.543,Unknown,table_p5_ri2_ci2,soil,mining,,phase14_auto; confidence=high; flag=,,
70606_c3em00450c,70606_c3em00450c_Sig._(P),SumHCH_ngg,0.0,Unknown,table_p5_ri2_ci3,soil,mining,,phase14_auto; confidence=high; flag=,,
70606_c3em00450c,70606_c3em00450c_$R_^_{_2_}$,SumDDT_ngg,0.453,Unknown,table_p5_ri4_ci2,soil,mining,,phase14_auto; confidence=high; flag=,,
70606_c3em00450c,70606_c3em00450c_Sig._(P),SumDDT_ngg,0.001,Unknown,table_p5_ri4_ci3,soil,mining,,phase14_auto; confidence=high; flag=,,
