paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72272_es9038775,72272_es9038775_col5,SumPCB_ngg,0.0,Unknown,table_p3_ri16_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col1,SumPCB_ngg,41.0,Unknown,table_p3_ri17_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col2,SumPCB_ngg,0.0,Unknown,table_p3_ri17_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col4,SumPCB_ngg,0.0,Unknown,table_p3_ri17_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col5,SumPCB_ngg,0.0,Unknown,table_p3_ri17_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col1,SumPCB_ngg,43.0,Unknown,table_p3_ri18_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col2,SumPCB_ngg,0.0,Unknown,table_p3_ri18_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col4,SumPCB_ngg,0.0,Unknown,table_p3_ri18_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col5,SumPCB_ngg,0.0,Unknown,table_p3_ri18_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col1,SumPCB_ngg,52.0,Unknown,table_p3_ri19_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col2,SumPCB_ngg,0.63,Unknown,table_p3_ri19_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col4,SumPCB_ngg,2.15,Unknown,table_p3_ri19_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col5,SumPCB_ngg,0.01,Unknown,table_p3_ri19_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col1,SumPCB_ngg,65.0,Unknown,table_p3_ri20_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col2,SumPCB_ngg,0.0,Unknown,table_p3_ri20_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col4,SumPCB_ngg,0.0,Unknown,table_p3_ri20_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col5,SumPCB_ngg,0.0,Unknown,table_p3_ri20_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col1,SumPCB_ngg,67.0,Unknown,table_p3_ri21_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col2,SumPCB_ngg,0.0,Unknown,table_p3_ri21_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col1,SumPCB_ngg,72.0,Unknown,table_p3_ri22_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col2,SumPCB_ngg,0.0,Unknown,table_p3_ri22_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col1,SumPCB_ngg,74.0,Unknown,table_p3_ri23_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col2,SumPCB_ngg,61.01,Unknown,table_p3_ri23_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col4,SumPCB_ngg,53.51,Unknown,table_p3_ri23_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col5,SumPCB_ngg,1.3,Unknown,table_p3_ri23_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col1,SumPCB_ngg,77.0,Unknown,table_p3_ri24_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col2,SumPCB_ngg,0.0,Unknown,table_p3_ri24_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col3,SumPCB_ngg,0.0,Unknown,table_p3_ri24_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col4,SumPCB_ngg,0.0,Unknown,table_p3_ri24_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col1,SumPCB_ngg,83.0,Unknown,table_p3_ri25_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col2,SumPCB_ngg,0.0,Unknown,table_p3_ri25_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col1,SumPCB_ngg,84.0,Unknown,table_p3_ri26_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col2,SumPCB_ngg,19.5,Unknown,table_p3_ri26_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col1,SumPCB_ngg,87.0,Unknown,table_p3_ri28_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col2,SumPCB_ngg,0.0,Unknown,table_p3_ri28_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col4,SumPCB_ngg,0.0,Unknown,table_p3_ri28_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col5,SumPCB_ngg,0.0,Unknown,table_p3_ri28_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col8,SumPCB_ngg,0.0,Unknown,table_p3_ri28_ci8,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col1,SumPCB_ngg,92.0,Unknown,table_p3_ri29_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col2,SumPCB_ngg,0.0,Unknown,table_p3_ri29_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col4,SumPCB_ngg,0.0,Unknown,table_p3_ri29_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col5,SumPCB_ngg,0.0,Unknown,table_p3_ri29_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col7,SumPCB_ngg,0.0,Unknown,table_p3_ri29_ci7,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col8,SumPCB_ngg,0.0,Unknown,table_p3_ri29_ci8,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col9,SumPCB_ngg,0.0,Unknown,table_p3_ri29_ci9,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col1,SumPCB_ngg,95.0,Unknown,table_p3_ri30_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col2,SumPCB_ngg,0.0,Unknown,table_p3_ri30_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col4,SumPCB_ngg,0.0,Unknown,table_p3_ri30_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col5,SumPCB_ngg,0.0,Unknown,table_p3_ri30_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col7,SumPCB_ngg,0.0,Unknown,table_p3_ri30_ci7,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col8,SumPCB_ngg,0.0,Unknown,table_p3_ri30_ci8,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col9,SumPCB_ngg,0.0,Unknown,table_p3_ri30_ci9,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col1,SumPCB_ngg,99.0,Unknown,table_p3_ri31_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72272_es9038775,72272_es9038775_col2,SumPCB_ngg,0.0,Unknown,table_p3_ri31_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
