paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_G1_(n_=_9),Flu_ngg,138.5,Unknown,table_p4_ri5_ci5,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_S3_(n_=_10),Flu_ngg,1.4,Unknown,table_p4_ri5_ci6,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_UG1_(n_=_2),Flu_ngg,678.2,Unknown,table_p4_ri5_ci7,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_S2_(n_=_7),Flu_ngg,6.8,Unknown,table_p4_ri5_ci8,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_S1_(n_=_2),Flu_ngg,229.6,Unknown,table_p4_ri5_ci9,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_NCs,Phe_ngg,3.0,Unknown,table_p4_ri6_ci1,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_MPCs,Phe_ngg,300.0,Unknown,table_p4_ri6_ci2,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_UG2_(n_=_12),Phe_ngg,146.8,Unknown,table_p4_ri6_ci3,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_G2_(n_=_10),Phe_ngg,1.5,Unknown,table_p4_ri6_ci4,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_G1_(n_=_9),Phe_ngg,40.6,Unknown,table_p4_ri6_ci5,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_S3_(n_=_10),Phe_ngg,0.4,Unknown,table_p4_ri6_ci6,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
Ecological-Risk-Assessmen,Ecological-Risk-Assessmen_UG1_(n_=_2),Phe_ngg,305.6,Unknown,table_p4_ri6_ci7,water,,,phase14_batch2; matrix=score=117:high; conf=high; flag=,,
