paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
Yan Zha 等 - 2023 - Occurrence and ecological risk ,Yan Zha 等 - 2023 - Occurrence and ecological risk _Abbreviation,CTC_ngg,59.5,Unknown,table_p3_ri11_ci2,soil,,,phase14_batch2; matrix=score=224:high; conf=high; flag=range_mean,,
Yan Zha 等 - 2023 - Occurrence and ecological risk ,Yan Zha 等 - 2023 - Occurrence and ecological risk _CAS,CTC_ngg,0.219,Unknown,table_p3_ri11_ci3,soil,,,phase14_batch2; matrix=score=224:high; conf=high; flag=,,
Yan Zha 等 - 2023 - Occurrence and ecological risk ,Yan Zha 等 - 2023 - Occurrence and ecological risk _ECso/mg·L-1,CTC_ngg,0.219,Unknown,table_p3_ri11_ci4,soil,,,phase14_batch2; matrix=score=224:high; conf=high; flag=,,
Yan Zha 等 - 2023 - Occurrence and ecological risk ,Yan Zha 等 - 2023 - Occurrence and ecological risk _PENCwater/μg.L-1,CTC_ngg,1280.0,Unknown,table_p3_ri11_ci5,soil,,,phase14_batch2; matrix=score=224:high; conf=high; flag=,,
Yan Zha 等 - 2023 - Occurrence and ecological risk ,Yan Zha 等 - 2023 - Occurrence and ecological risk _Kd/L·kg-1,CTC_ngg,280.32,Unknown,table_p3_ri11_ci6,soil,,,phase14_batch2; matrix=score=224:high; conf=high; flag=,,
Yan Zha 等 - 2023 - Occurrence and ecological risk ,Yan Zha 等 - 2023 - Occurrence and ecological risk _Abbreviation,ENRO_ngg,46583.0,Unknown,table_p3_ri14_ci2,soil,,,phase14_batch2; matrix=score=224:high; conf=high; flag=range_mean,,
Yan Zha 等 - 2023 - Occurrence and ecological risk ,Yan Zha 等 - 2023 - Occurrence and ecological risk _CAS,ENRO_ngg,0.049,Unknown,table_p3_ri14_ci3,soil,,,phase14_batch2; matrix=score=224:high; conf=high; flag=,,
Yan Zha 等 - 2023 - Occurrence and ecological risk ,Yan Zha 等 - 2023 - Occurrence and ecological risk _ECso/mg·L-1,ENRO_ngg,0.049,Unknown,table_p3_ri14_ci4,soil,,,phase14_batch2; matrix=score=224:high; conf=high; flag=,,
Yan Zha 等 - 2023 - Occurrence and ecological risk ,Yan Zha 等 - 2023 - Occurrence and ecological risk _PENCwater/μg.L-1,ENRO_ngg,260.0,Unknown,table_p3_ri14_ci5,soil,,,phase14_batch2; matrix=score=224:high; conf=high; flag=,,
Yan Zha 等 - 2023 - Occurrence and ecological risk ,Yan Zha 等 - 2023 - Occurrence and ecological risk _Kd/L·kg-1,ENRO_ngg,12.74,Unknown,table_p3_ri14_ci6,soil,,,phase14_batch2; matrix=score=224:high; conf=high; flag=,,
Yan Zha 等 - 2023 - Occurrence and ecological risk ,Yan Zha 等 - 2023 - Occurrence and ecological risk _Chicken_manure,OTC_ngg,100.0,Unknown,table_p5_ri9_ci1,soil,,,phase14_batch2; matrix=score=224:high; conf=high; flag=,,
Yan Zha 等 - 2023 - Occurrence and ecological risk ,Yan Zha 等 - 2023 - Occurrence and ecological risk _Near_soil,OTC_ngg,6.67,Unknown,table_p5_ri9_ci2,soil,,,phase14_batch2; matrix=score=224:high; conf=high; flag=,,
Yan Zha 等 - 2023 - Occurrence and ecological risk ,Yan Zha 等 - 2023 - Occurrence and ecological risk _Far_soil,OTC_ngg,0.49,Unknown,table_p5_ri9_ci3,soil,,,phase14_batch2; matrix=score=224:high; conf=high; flag=,,
Yan Zha 等 - 2023 - Occurrence and ecological risk ,Yan Zha 等 - 2023 - Occurrence and ecological risk _Chicken_manure,CTC_ngg,100.0,Unknown,table_p5_ri10_ci1,soil,,,phase14_batch2; matrix=score=224:high; conf=high; flag=,,
Yan Zha 等 - 2023 - Occurrence and ecological risk ,Yan Zha 等 - 2023 - Occurrence and ecological risk _Near_soil,CTC_ngg,3.2,Unknown,table_p5_ri10_ci2,soil,,,phase14_batch2; matrix=score=224:high; conf=high; flag=,,
Yan Zha 等 - 2023 - Occurrence and ecological risk ,Yan Zha 等 - 2023 - Occurrence and ecological risk _Far_soil,CTC_ngg,1.79,Unknown,table_p5_ri10_ci3,soil,,,phase14_batch2; matrix=score=224:high; conf=high; flag=,,
