paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W9,BaP_ngg,605.0,Unknown,table_p3_ri13_ci9,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W10,BaP_ngg,38.0,Unknown,table_p3_ri13_ci10,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W2,Sum_PAH_ngg,499.0,Unknown,table_p3_ri17_ci2,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W4,Sum_PAH_ngg,165.0,Unknown,table_p3_ri17_ci4,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W9,Sum_PAH_ngg,10000.0,Unknown,table_p3_ri17_ci9,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W1,Nap_ngg,310.0,Unknown,table_p3_ri18_ci1,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W2,Nap_ngg,113.0,Unknown,table_p3_ri18_ci2,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W4,Nap_ngg,39.0,Unknown,table_p3_ri18_ci4,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W8,Nap_ngg,660.0,Unknown,table_p3_ri18_ci8,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W9,Nap_ngg,414.0,Unknown,table_p3_ri18_ci9,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W10,Nap_ngg,103.0,Unknown,table_p3_ri18_ci10,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W1,Nap_ngg,715.0,Unknown,table_p3_ri19_ci1,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W2,Nap_ngg,217.0,Unknown,table_p3_ri19_ci2,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W4,Nap_ngg,49.0,Unknown,table_p3_ri19_ci4,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W9,Nap_ngg,949.0,Unknown,table_p3_ri19_ci9,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W10,Nap_ngg,195.0,Unknown,table_p3_ri19_ci10,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W1,Nap_ngg,515.0,Unknown,table_p3_ri20_ci1,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W2,Nap_ngg,105.0,Unknown,table_p3_ri20_ci2,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W9,Nap_ngg,531.0,Unknown,table_p3_ri20_ci9,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W10,Nap_ngg,127.0,Unknown,table_p3_ri20_ci10,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W1,Nap_ngg,86.0,Unknown,table_p3_ri21_ci1,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W3,Nap_ngg,575.0,Unknown,table_p3_ri21_ci3,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W5,Nap_ngg,639.0,Unknown,table_p3_ri21_ci5,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W6,Nap_ngg,255.0,Unknown,table_p3_ri21_ci6,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W7,Nap_ngg,870.0,Unknown,table_p3_ri21_ci7,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W8,Nap_ngg,225.0,Unknown,table_p3_ri21_ci8,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W9,Nap_ngg,128.0,Unknown,table_p3_ri21_ci9,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W2,Nap_ngg,434.0,Unknown,table_p3_ri23_ci2,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
geac_a_2140411_sm7192,geac_a_2140411_sm7192_W3,Nap_ngg,10386.0,Unknown,table_p3_ri23_ci3,soil,,,phase14_batch2; matrix=score=22:high; conf=high; flag=,,
