paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
"Wei Zhao 等 - 2022 - Occurrences, potential sources","Wei Zhao 等 - 2022 - Occurrences, potential sources_Statistical_parameters_(ng/g)",SumHCH_ngg,0.33,Unknown,table_p6_ri2_ci1,soil,,,phase14_batch2; matrix=score=224:high; conf=high; flag=,,
"Wei Zhao 等 - 2022 - Occurrences, potential sources","Wei Zhao 等 - 2022 - Occurrences, potential sources_MDLs_(ng/g)",SumHCH_ngg,1.38,Unknown,table_p6_ri2_ci3,soil,,,phase14_batch2; matrix=score=224:high; conf=high; flag=,,
"Wei Zhao 等 - 2022 - Occurrences, potential sources","Wei Zhao 等 - 2022 - Occurrences, potential sources_DF",SumHCH_ngg,1.0,Unknown,table_p6_ri2_ci4,soil,,,phase14_batch2; matrix=score=224:high; conf=high; flag=,,
"Wei Zhao 等 - 2022 - Occurrences, potential sources","Wei Zhao 等 - 2022 - Occurrences, potential sources_MDLs_(ng/g)",SumHCH_ngg,4.94,Unknown,table_p6_ri3_ci3,soil,,,phase14_batch2; matrix=score=224:high; conf=high; flag=,,
"Wei Zhao 等 - 2022 - Occurrences, potential sources","Wei Zhao 等 - 2022 - Occurrences, potential sources_DF",SumHCH_ngg,3.23,Unknown,table_p6_ri3_ci4,soil,,,phase14_batch2; matrix=score=224:high; conf=high; flag=,,
"Wei Zhao 等 - 2022 - Occurrences, potential sources","Wei Zhao 等 - 2022 - Occurrences, potential sources_Statistical_parameters_(ng/g)",SumHCH_ngg,1.54,Unknown,table_p6_ri4_ci1,soil,,,phase14_batch2; matrix=score=224:high; conf=high; flag=,,
"Wei Zhao 等 - 2022 - Occurrences, potential sources","Wei Zhao 等 - 2022 - Occurrences, potential sources_MDLs_(ng/g)",SumHCH_ngg,7.24,Unknown,table_p6_ri4_ci3,soil,,,phase14_batch2; matrix=score=224:high; conf=high; flag=,,
"Wei Zhao 等 - 2022 - Occurrences, potential sources","Wei Zhao 等 - 2022 - Occurrences, potential sources_DF",SumHCH_ngg,6.42,Unknown,table_p6_ri4_ci4,soil,,,phase14_batch2; matrix=score=224:high; conf=high; flag=,,
"Wei Zhao 等 - 2022 - Occurrences, potential sources","Wei Zhao 等 - 2022 - Occurrences, potential sources_Statistical_parameters_(ng/g)",SumHCH_ngg,0.15,Unknown,table_p6_ri5_ci1,soil,,,phase14_batch2; matrix=score=224:high; conf=high; flag=,,
"Wei Zhao 等 - 2022 - Occurrences, potential sources","Wei Zhao 等 - 2022 - Occurrences, potential sources_MDLs_(ng/g)",SumHCH_ngg,2.11,Unknown,table_p6_ri5_ci3,soil,,,phase14_batch2; matrix=score=224:high; conf=high; flag=,,
"Wei Zhao 等 - 2022 - Occurrences, potential sources","Wei Zhao 等 - 2022 - Occurrences, potential sources_DF",SumHCH_ngg,1.58,Unknown,table_p6_ri5_ci4,soil,,,phase14_batch2; matrix=score=224:high; conf=high; flag=,,
"Wei Zhao 等 - 2022 - Occurrences, potential sources","Wei Zhao 等 - 2022 - Occurrences, potential sources_MDLs_(ng/g)",SumDDT_ngg,2.29,Unknown,table_p6_ri8_ci3,soil,,,phase14_batch2; matrix=score=224:high; conf=high; flag=,,
"Wei Zhao 等 - 2022 - Occurrences, potential sources","Wei Zhao 等 - 2022 - Occurrences, potential sources_DF",SumDDT_ngg,1.59,Unknown,table_p6_ri8_ci4,soil,,,phase14_batch2; matrix=score=224:high; conf=high; flag=,,
"Wei Zhao 等 - 2022 - Occurrences, potential sources","Wei Zhao 等 - 2022 - Occurrences, potential sources_MDLs_(ng/g)",SumDDT_ngg,4.21,Unknown,table_p6_ri9_ci3,soil,,,phase14_batch2; matrix=score=224:high; conf=high; flag=,,
"Wei Zhao 等 - 2022 - Occurrences, potential sources","Wei Zhao 等 - 2022 - Occurrences, potential sources_DF",SumDDT_ngg,2.99,Unknown,table_p6_ri9_ci4,soil,,,phase14_batch2; matrix=score=224:high; conf=high; flag=,,
"Wei Zhao 等 - 2022 - Occurrences, potential sources","Wei Zhao 等 - 2022 - Occurrences, potential sources_Statistical_parameters_(ng/g)",SumHCH_ngg,2.62,Unknown,table_p6_ri20_ci1,soil,,,phase14_batch2; matrix=score=224:high; conf=high; flag=,,
