paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
70706_ees.2011.0221,70706_ees.2011.0221_Soils_in_west_midlands_of_the_United_Kingdom,SumPCB_ngg,183.5,Unknown,table_p3_ri3_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
70706_ees.2011.0221,70706_ees.2011.0221_Soils_in_west_midlands_of_the_United_Kingdom,SumPCB_ngg,509.05,Unknown,table_p3_ri3_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
70706_ees.2011.0221,70706_ees.2011.0221_Lake_Ontario_sediment_(U.S.),SumPCB_ngg,970.0,Unknown,table_p3_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
70706_ees.2011.0221,70706_ees.2011.0221_Lake_Ontario_sediment_(U.S.),SumPCB_ngg,3305.0,Unknown,table_p3_ri5_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
70706_ees.2011.0221,70706_ees.2011.0221_South_Africa_soils,SumPCB_ngg,5645.0,Unknown,table_p3_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
70706_ees.2011.0221,70706_ees.2011.0221_South_Africa_soils,SumPCB_ngg,1155.0,Unknown,table_p3_ri6_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
70706_ees.2011.0221,70706_ees.2011.0221_Jinan_soils,SumPCB_ngg,64.0,Unknown,table_p3_ri7_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=range_mean,,
