paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col3,Nap_ngg,2.1999999999999997,Unknown,table_p6_ri3_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col11,Nap_ngg,0.1,Unknown,table_p6_ri3_ci11,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col1,Ace_ngg,0.7,Unknown,table_p6_ri7_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col2,Ace_ngg,0.2,Unknown,table_p6_ri7_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col7,Ace_ngg,0.2,Unknown,table_p6_ri7_ci7,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col9,Ace_ngg,0.2,Unknown,table_p6_ri7_ci9,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col10,Ace_ngg,0.1,Unknown,table_p6_ri7_ci10,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col11,Ace_ngg,0.2,Unknown,table_p6_ri7_ci11,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col7,Flu_ngg,0.2,Unknown,table_p6_ri9_ci7,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col9,Flu_ngg,0.3,Unknown,table_p6_ri9_ci9,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col10,Flu_ngg,0.1,Unknown,table_p6_ri9_ci10,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col11,Flu_ngg,0.2,Unknown,table_p6_ri9_ci11,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col1,Pyr_ngg,5.9,Unknown,table_p6_ri17_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col2,Pyr_ngg,23.8,Unknown,table_p6_ri17_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col3,Pyr_ngg,2.8,Unknown,table_p6_ri17_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
72157_s11270-012-1265-7,72157_s11270-012-1265-7_col4,Pyr_ngg,0.7,Unknown,table_p6_ri17_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
