paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
_dup_ijerph120605775,_dup_ijerph120605775_Nisbet_And_LaGoy,Ace_ngg,0.001,Unknown,table_p12_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph120605775,_dup_ijerph120605775_This_Study,Ace_ngg,0.001,Unknown,table_p12_ri2_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph120605775,_dup_ijerph120605775_USEPA,Flu_ngg,0.0,Unknown,table_p12_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph120605775,_dup_ijerph120605775_Nisbet_And_LaGoy,Flu_ngg,0.001,Unknown,table_p12_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph120605775,_dup_ijerph120605775_This_Study,Flu_ngg,0.001,Unknown,table_p12_ri4_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph120605775,_dup_ijerph120605775_USEPA,Phe_ngg,0.0,Unknown,table_p12_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph120605775,_dup_ijerph120605775_Nisbet_And_LaGoy,Phe_ngg,0.001,Unknown,table_p12_ri5_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph120605775,_dup_ijerph120605775_This_Study,Phe_ngg,0.001,Unknown,table_p12_ri5_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph120605775,_dup_ijerph120605775_USEPA,Ant_ngg,0.0,Unknown,table_p12_ri6_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph120605775,_dup_ijerph120605775_Nisbet_And_LaGoy,Ant_ngg,0.01,Unknown,table_p12_ri6_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph120605775,_dup_ijerph120605775_This_Study,Ant_ngg,0.01,Unknown,table_p12_ri6_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph120605775,_dup_ijerph120605775_USEPA,Pyr_ngg,0.0,Unknown,table_p12_ri8_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph120605775,_dup_ijerph120605775_Nisbet_And_LaGoy,Pyr_ngg,0.001,Unknown,table_p12_ri8_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph120605775,_dup_ijerph120605775_This_Study,Pyr_ngg,0.001,Unknown,table_p12_ri8_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph120605775,_dup_ijerph120605775_USEPA,BaA_ngg,1.0,Unknown,table_p12_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph120605775,_dup_ijerph120605775_Nisbet_And_LaGoy,BaA_ngg,0.1,Unknown,table_p12_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph120605775,_dup_ijerph120605775_This_Study,BaA_ngg,1.0,Unknown,table_p12_ri9_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph120605775,_dup_ijerph120605775_USEPA,Chr_ngg,1.0,Unknown,table_p12_ri10_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph120605775,_dup_ijerph120605775_Nisbet_And_LaGoy,Chr_ngg,0.01,Unknown,table_p12_ri10_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph120605775,_dup_ijerph120605775_This_Study,Chr_ngg,1.0,Unknown,table_p12_ri10_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph120605775,_dup_ijerph120605775_USEPA,BbF_ngg,1.0,Unknown,table_p12_ri11_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph120605775,_dup_ijerph120605775_Nisbet_And_LaGoy,BbF_ngg,0.1,Unknown,table_p12_ri11_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph120605775,_dup_ijerph120605775_This_Study,BbF_ngg,0.1,Unknown,table_p12_ri11_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph120605775,_dup_ijerph120605775_USEPA,BkF_ngg,1.0,Unknown,table_p12_ri12_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph120605775,_dup_ijerph120605775_Nisbet_And_LaGoy,BkF_ngg,0.1,Unknown,table_p12_ri12_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph120605775,_dup_ijerph120605775_This_Study,BkF_ngg,1.0,Unknown,table_p12_ri12_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph120605775,_dup_ijerph120605775_USEPA,BaP_ngg,1.0,Unknown,table_p12_ri13_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph120605775,_dup_ijerph120605775_Nisbet_And_LaGoy,BaP_ngg,1.0,Unknown,table_p12_ri13_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph120605775,_dup_ijerph120605775_This_Study,BaP_ngg,1.0,Unknown,table_p12_ri13_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph120605775,_dup_ijerph120605775_USEPA,DahA_ngg,1.0,Unknown,table_p12_ri14_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph120605775,_dup_ijerph120605775_Nisbet_And_LaGoy,DahA_ngg,1.0,Unknown,table_p12_ri14_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph120605775,_dup_ijerph120605775_This_Study,DahA_ngg,1.0,Unknown,table_p12_ri14_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph120605775,_dup_ijerph120605775_USEPA,BghiP_ngg,0.0,Unknown,table_p12_ri15_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph120605775,_dup_ijerph120605775_Nisbet_And_LaGoy,BghiP_ngg,0.01,Unknown,table_p12_ri15_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_ijerph120605775,_dup_ijerph120605775_This_Study,BghiP_ngg,0.01,Unknown,table_p12_ri15_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
