paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_Fuzhou_(n=7),OTC_ngg,100.0,Unknown,table_p3_ri4_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_Putian_(n=7),OTC_ngg,11.3,Unknown,table_p3_ri4_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_Quanzhou_(n=7),OTC_ngg,23.5,Unknown,table_p3_ri4_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_Xiamen_(n=7),OTC_ngg,79.5,Unknown,table_p3_ri4_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_All_samples_(n=28),OTC_ngg,100.0,Unknown,table_p3_ri4_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_Fuzhou_(n=7),CTC_ngg,71.4,Unknown,table_p3_ri5_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_Quanzhou_(n=7),CTC_ngg,29.7,Unknown,table_p3_ri5_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_Xiamen_(n=7),CTC_ngg,58.8,Unknown,table_p3_ri5_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_col3,OTC_ngg,23.34,Unknown,table_p5_ri4_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_col4,OTC_ngg,11.72,Unknown,table_p5_ri4_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_s11356-013-1905-5,_dup_s11356-013-1905-5_col5,OTC_ngg,6.61,Unknown,table_p5_ri4_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
