paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
_dup_2012%252F628216,_dup_2012%252F628216_Year,SumHCH_ngg,2003.0,Unknown,table_p2_ri1_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_2012%252F628216,_dup_2012%252F628216_Average,SumHCH_ngg,1.35,Unknown,table_p2_ri1_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_2012%252F628216,_dup_2012%252F628216_Minimum,SumHCH_ngg,0.25,Unknown,table_p2_ri1_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
_dup_2012%252F628216,_dup_2012%252F628216_Maximum,SumHCH_ngg,3.35,Unknown,table_p2_ri1_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
