paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
72385_j.chemosphere.2007.01.017,72385_j.chemosphere.2007.01.017_Suburban,Chr_ngg,52.0,Unknown,table_p3_ri9_ci4,soil,industrial,,phase14_auto; confidence=high; flag=,,
72385_j.chemosphere.2007.01.017,72385_j.chemosphere.2007.01.017_Rural,Chr_ngg,38.0,Unknown,table_p3_ri9_ci5,soil,industrial,,phase14_auto; confidence=high; flag=,,
72385_j.chemosphere.2007.01.017,72385_j.chemosphere.2007.01.017_Rings,BbF_ngg,5.0,Unknown,table_p3_ri10_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
72385_j.chemosphere.2007.01.017,72385_j.chemosphere.2007.01.017_Traffic,BbF_ngg,557.0,Unknown,table_p3_ri10_ci2,soil,industrial,,phase14_auto; confidence=high; flag=,,
72385_j.chemosphere.2007.01.017,72385_j.chemosphere.2007.01.017_Park/residential,BbF_ngg,1522.0,Unknown,table_p3_ri10_ci3,soil,industrial,,phase14_auto; confidence=high; flag=,,
72385_j.chemosphere.2007.01.017,72385_j.chemosphere.2007.01.017_Suburban,BbF_ngg,112.0,Unknown,table_p3_ri10_ci4,soil,industrial,,phase14_auto; confidence=high; flag=,,
72385_j.chemosphere.2007.01.017,72385_j.chemosphere.2007.01.017_Rural,BbF_ngg,71.0,Unknown,table_p3_ri10_ci5,soil,industrial,,phase14_auto; confidence=high; flag=,,
72385_j.chemosphere.2007.01.017,72385_j.chemosphere.2007.01.017_Rings,BkF_ngg,5.0,Unknown,table_p3_ri11_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
72385_j.chemosphere.2007.01.017,72385_j.chemosphere.2007.01.017_Traffic,BkF_ngg,281.0,Unknown,table_p3_ri11_ci2,soil,industrial,,phase14_auto; confidence=high; flag=,,
72385_j.chemosphere.2007.01.017,72385_j.chemosphere.2007.01.017_Park/residential,BkF_ngg,658.0,Unknown,table_p3_ri11_ci3,soil,industrial,,phase14_auto; confidence=high; flag=,,
72385_j.chemosphere.2007.01.017,72385_j.chemosphere.2007.01.017_Suburban,BkF_ngg,52.0,Unknown,table_p3_ri11_ci4,soil,industrial,,phase14_auto; confidence=high; flag=,,
72385_j.chemosphere.2007.01.017,72385_j.chemosphere.2007.01.017_Rural,BkF_ngg,30.0,Unknown,table_p3_ri11_ci5,soil,industrial,,phase14_auto; confidence=high; flag=,,
72385_j.chemosphere.2007.01.017,72385_j.chemosphere.2007.01.017_Rings,BaP_ngg,5.0,Unknown,table_p3_ri12_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
72385_j.chemosphere.2007.01.017,72385_j.chemosphere.2007.01.017_Traffic,BaP_ngg,553.0,Unknown,table_p3_ri12_ci2,soil,industrial,,phase14_auto; confidence=high; flag=,,
72385_j.chemosphere.2007.01.017,72385_j.chemosphere.2007.01.017_Park/residential,BaP_ngg,1414.0,Unknown,table_p3_ri12_ci3,soil,industrial,,phase14_auto; confidence=high; flag=,,
72385_j.chemosphere.2007.01.017,72385_j.chemosphere.2007.01.017_Suburban,BaP_ngg,96.0,Unknown,table_p3_ri12_ci4,soil,industrial,,phase14_auto; confidence=high; flag=,,
72385_j.chemosphere.2007.01.017,72385_j.chemosphere.2007.01.017_Rural,BaP_ngg,53.0,Unknown,table_p3_ri12_ci5,soil,industrial,,phase14_auto; confidence=high; flag=,,
72385_j.chemosphere.2007.01.017,72385_j.chemosphere.2007.01.017_Rings,BghiP_ngg,6.0,Unknown,table_p3_ri14_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
72385_j.chemosphere.2007.01.017,72385_j.chemosphere.2007.01.017_Traffic,BghiP_ngg,414.0,Unknown,table_p3_ri14_ci2,soil,industrial,,phase14_auto; confidence=high; flag=,,
72385_j.chemosphere.2007.01.017,72385_j.chemosphere.2007.01.017_Park/residential,BghiP_ngg,1169.0,Unknown,table_p3_ri14_ci3,soil,industrial,,phase14_auto; confidence=high; flag=,,
72385_j.chemosphere.2007.01.017,72385_j.chemosphere.2007.01.017_Suburban,BghiP_ngg,66.0,Unknown,table_p3_ri14_ci4,soil,industrial,,phase14_auto; confidence=high; flag=,,
72385_j.chemosphere.2007.01.017,72385_j.chemosphere.2007.01.017_Rural,BghiP_ngg,35.0,Unknown,table_p3_ri14_ci5,soil,industrial,,phase14_auto; confidence=high; flag=,,
72385_j.chemosphere.2007.01.017,72385_j.chemosphere.2007.01.017_Coefficient_of_determination,Phe_ngg,0.97,Unknown,table_p4_ri4_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
72385_j.chemosphere.2007.01.017,72385_j.chemosphere.2007.01.017_Coefficient_of_determination,Flu_ngg,0.98,Unknown,table_p4_ri6_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
72385_j.chemosphere.2007.01.017,72385_j.chemosphere.2007.01.017_Coefficient_of_determination,Pyr_ngg,0.984,Unknown,table_p4_ri7_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
72385_j.chemosphere.2007.01.017,72385_j.chemosphere.2007.01.017_Coefficient_of_determination,BaA_ngg,0.993,Unknown,table_p4_ri8_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
72385_j.chemosphere.2007.01.017,72385_j.chemosphere.2007.01.017_Coefficient_of_determination,Chr_ngg,0.953,Unknown,table_p4_ri9_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
72385_j.chemosphere.2007.01.017,72385_j.chemosphere.2007.01.017_Coefficient_of_determination,BbF_ngg,0.911,Unknown,table_p4_ri10_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
72385_j.chemosphere.2007.01.017,72385_j.chemosphere.2007.01.017_Coefficient_of_determination,BkF_ngg,0.967,Unknown,table_p4_ri11_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
72385_j.chemosphere.2007.01.017,72385_j.chemosphere.2007.01.017_Coefficient_of_determination,BaP_ngg,0.985,Unknown,table_p4_ri12_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
72385_j.chemosphere.2007.01.017,72385_j.chemosphere.2007.01.017_Coefficient_of_determination,BghiP_ngg,0.932,Unknown,table_p4_ri14_ci1,soil,industrial,,phase14_auto; confidence=high; flag=,,
