SoilpH,OC_pct,CEC_cmolkg,Sand_pct,Silt_pct,Clay_pct,SoilBD_gcm3,Elevation_m,MAP_mm,EC_mScm,TN_gkg,gee_ndvi,gee_precip_annual_mm,gee_temp_mean_c,gee_elevation_m,gee_slope_deg,gee_aspect_deg,gee_soil_pH,gee_soc_g_kg,gee_cec_cmol_kg,gee_clay_pct,gee_sand_pct,gee_silt_pct,gee_bulk_density_g_cm3,gee_nitrogen_g_kg,SoilpH__missing,OC_pct__missing,CEC_cmolkg__missing,Sand_pct__missing,Silt_pct__missing,Clay_pct__missing,SoilBD_gcm3__missing,Elevation_m__missing,MAP_mm__missing,EC_mScm__missing,TN_gkg__missing,gee_ndvi__missing,gee_precip_annual_mm__missing,gee_temp_mean_c__missing,gee_elevation_m__missing,gee_slope_deg__missing,gee_aspect_deg__missing,gee_soil_pH__missing,gee_soc_g_kg__missing,gee_cec_cmol_kg__missing,gee_clay_pct__missing,gee_sand_pct__missing,gee_silt_pct__missing,gee_bulk_density_g_cm3__missing,gee_nitrogen_g_kg__missing
6.81,1.143,12.0,40.0,37.0,21.0,1.28,540.0,600.0,0.3915,1.14,0.512704347826087,732.0,0.800000011920929,4315.0,31.295808792114254,284.4563903808594,6.5,961.0,254.0,14.0,47.400001525878906,38.59999847412109,1.0299999713897705,6402.0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.81,1.143,12.0,40.0,37.0,21.0,1.28,540.0,600.0,0.3915,1.14,0.353295652173913,444.0,10.600000381469728,751.0,0.1460932493209839,270.0,7.800000190734863,94.0,233.0,19.399999618530277,35.5,45.09999847412109,1.3300000429153442,1737.0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.81,1.143,12.0,40.0,37.0,21.0,1.28,540.0,600.0,0.3915,1.14,0.0864739130434782,175.0,-2.0999999046325684,4051.0,7.723840236663818,265.7220153808594,7.900000095367432,195.0,185.0,16.100000381469727,51.09999847412109,32.79999923706055,1.2400000095367432,1748.0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.81,1.143,12.0,40.0,37.0,21.0,1.28,540.0,600.0,0.3915,1.14,0.3781782608695652,477.0,13.100000381469728,64.0,0.2747125923633575,327.5702209472656,8.0,75.0,189.0,20.100000381469727,42.29999923706055,37.59999847412109,1.3300000429153442,1429.0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.81,1.143,12.0,40.0,37.0,21.0,1.28,540.0,600.0,0.3915,1.14,0.1342043478260869,181.0,3.900000095367432,2993.0,1.0248512029647827,205.18963623046875,8.300000190734863,74.0,183.0,14.600000381469728,56.400001525878906,28.899999618530277,1.399999976158142,1810.0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.81,1.143,12.0,40.0,37.0,21.0,1.28,540.0,600.0,0.3915,1.14,0.602613043478261,1134.0,14.699999809265137,895.0,3.932792186737061,90.0,6.300000190734863,436.0,218.0,26.200000762939453,28.600000381469727,45.29999923706055,1.25,4570.0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.81,1.143,12.0,40.0,37.0,21.0,1.28,540.0,600.0,0.3915,1.14,0.4512130434782609,664.0,0.0,4069.0,24.17318344116211,107.58021545410156,6.800000190734863,866.0,298.0,17.200000762939453,37.59999847412109,45.20000076293945,1.059999942779541,5686.0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.81,1.143,12.0,40.0,37.0,21.0,1.28,540.0,600.0,0.3915,1.14,0.722004347826087,730.0,8.699999809265137,2918.0,25.666379928588867,257.8460388183594,5.900000095367432,857.0,236.0,22.600000381469727,29.299999237060547,48.09999847412109,1.1299999952316284,7641.0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.81,1.143,12.0,40.0,37.0,21.0,1.28,540.0,600.0,0.3915,1.14,0.4478695652173913,514.0,2.799999952316284,3968.0,15.051414489746094,320.8088684082031,7.199999809265137,803.0,264.0,16.200000762939453,35.79999923706055,48.0,1.1200000047683716,4595.0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.81,1.143,12.0,40.0,37.0,21.0,1.28,540.0,600.0,0.3915,1.14,0.4689434782608696,500.0,5.599999904632568,3791.0,25.68172836303711,243.77935791015625,6.699999809265137,482.0,249.0,19.600000381469727,34.79999923706055,45.59999847412109,1.2000000476837158,4514.0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.81,1.143,12.0,40.0,37.0,21.0,1.28,540.0,600.0,0.3915,1.14,0.0783826086956521,153.0,-3.5999999046325684,3842.0,1.9991167783737185,201.9478912353516,7.900000095367432,214.0,217.0,20.899999618530277,49.59999847412109,29.5,1.309999942779541,1919.0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.81,1.143,12.0,40.0,37.0,21.0,1.28,540.0,600.0,0.3915,1.14,0.666608695652174,1089.0,15.399999618530272,741.0,14.55345058441162,276.7139587402344,6.400000095367432,374.0,212.0,24.899999618530277,26.600000381469727,48.5,1.2300000190734863,4426.0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.81,1.143,12.0,40.0,37.0,21.0,1.28,540.0,600.0,0.3915,1.14,0.6949347826086957,729.0,14.100000381469728,1103.0,6.196165561676025,351.0458984375,6.0,429.0,211.0,21.399999618530277,30.0,48.59999847412109,1.1799999475479126,5444.0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.81,1.143,12.0,40.0,37.0,21.0,1.28,540.0,600.0,0.3915,1.14,0.3508739130434782,519.0,9.5,1047.0,4.244050025939941,220.22738647460935,8.199999809265137,235.0,229.0,13.100000381469728,41.79999923706055,45.09999847412109,1.2599999904632568,2344.0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.81,1.143,12.0,40.0,37.0,21.0,1.28,540.0,600.0,0.3915,1.14,0.2186913043478261,367.0,7.199999809265137,1578.0,3.618704319000244,75.16929626464844,8.199999809265137,134.0,203.0,17.299999237060547,47.09999847412109,35.599998474121094,1.2200000286102295,2113.0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.81,1.143,12.0,40.0,37.0,21.0,1.28,540.0,600.0,0.3915,1.14,0.1766434782608695,224.0,-7.599999904632568,4573.0,17.265766143798828,123.15231323242188,7.400000095367432,602.0,283.0,23.600000381469727,43.900001525878906,32.5,1.1399999856948853,4050.0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.81,1.143,12.0,40.0,37.0,21.0,1.28,540.0,600.0,0.3915,1.14,0.2657173913043478,445.0,10.5,758.0,0.1159362122416496,180.0,8.0,80.0,233.0,16.799999237060547,36.79999923706055,46.5,1.3300000429153442,1626.0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.81,1.143,12.0,40.0,37.0,21.0,1.28,540.0,600.0,0.3915,1.14,0.3944217391304348,429.0,7.900000095367432,1758.0,1.081591010093689,138.61160278320312,7.900000095367432,325.0,163.0,20.600000381469727,36.79999923706055,42.59999847412109,1.2799999713897705,3253.0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.81,1.143,12.0,40.0,37.0,21.0,1.28,540.0,600.0,0.3915,1.14,0.3370043478260869,500.0,9.5,883.0,8.991402626037598,155.2244110107422,8.100000381469727,176.0,203.0,16.399999618530273,40.59999847412109,43.0,1.2200000286102295,2177.0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.81,1.143,12.0,40.0,37.0,21.0,1.28,540.0,600.0,0.3915,1.14,0.2261260869565217,488.0,-3.200000047683716,4607.0,12.407845497131348,44.16082763671875,7.0,567.0,315.0,17.600000381469727,42.09999847412109,40.29999923706055,1.0299999713897705,4935.0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.81,1.143,12.0,40.0,37.0,21.0,1.28,540.0,600.0,0.3915,1.14,0.1963304347826087,327.0,-2.799999952316284,4221.0,0.2715699970722198,328.6292419433594,7.900000095367432,258.0,266.0,12.899999618530272,57.5,29.600000381469727,1.2599999904632568,2359.0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.81,1.143,12.0,40.0,37.0,21.0,1.28,540.0,600.0,0.3915,1.14,0.5791173913043478,888.0,15.399999618530272,55.0,0.1159362122416496,0.0,7.099999904632568,211.0,217.0,30.799999237060547,16.5,52.59999847412109,1.340000033378601,2063.0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.81,1.143,12.0,40.0,37.0,21.0,1.28,540.0,600.0,0.3915,1.14,0.1276608695652174,274.0,-5.400000095367432,4203.0,1.9920262098312376,8.504182815551758,7.599999904632568,328.0,254.0,20.700000762939453,39.09999847412109,40.20000076293945,1.2300000190734863,2340.0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.81,1.143,12.0,40.0,37.0,21.0,1.28,540.0,600.0,0.3915,1.14,0.495704347826087,599.0,14.0,288.0,3.9718306064605713,47.910831451416016,8.100000381469727,188.0,217.0,25.700000762939453,26.0,48.29999923706055,1.2899999618530271,1555.0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.81,1.143,12.0,40.0,37.0,21.0,1.28,540.0,600.0,0.3915,1.14,0.0882608695652173,213.0,3.0999999046325684,3111.0,3.8881192207336426,10.738840103149414,8.100000381469727,114.0,151.0,15.699999809265137,51.400001525878906,33.0,1.2999999523162842,1569.0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.81,1.143,12.0,40.0,37.0,21.0,1.28,540.0,600.0,0.3915,1.14,0.3307434782608695,535.0,1.100000023841858,4464.0,5.314987659454346,54.03694534301758,6.5,847.0,310.0,15.800000190734863,49.29999923706055,34.900001525878906,1.0199999809265137,5016.0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.81,1.143,12.0,40.0,37.0,21.0,1.28,540.0,600.0,0.3915,1.14,0.2959478260869565,459.0,8.0,1043.0,6.228765487670898,148.52027893066406,8.199999809265137,181.0,201.0,14.5,51.900001525878906,33.599998474121094,1.2300000190734863,1984.0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.81,1.143,12.0,40.0,37.0,21.0,1.28,540.0,600.0,0.3915,1.14,0.4806826086956522,501.0,3.700000047683716,1630.0,22.521961212158203,59.82654571533203,6.900000095367432,421.0,211.0,17.0,46.0,37.0,1.159999966621399,4562.0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.81,1.143,12.0,40.0,37.0,21.0,1.28,540.0,600.0,0.3915,1.14,0.4804,602.0,14.600000381469728,105.0,0.1159362122416496,0.0,8.199999809265137,137.0,199.0,27.899999618530277,22.100000381469727,50.0,1.350000023841858,1157.0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.81,1.143,12.0,40.0,37.0,21.0,1.28,540.0,600.0,0.3915,1.14,0.3394173913043478,558.0,1.5,4553.0,7.703696250915527,142.44874572753906,6.5,702.0,316.0,18.899999618530277,42.0,39.09999847412109,1.1299999952316284,4934.0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.81,1.143,12.0,40.0,37.0,21.0,1.28,540.0,600.0,0.3915,1.14,0.6144478260869565,541.0,7.199999809265137,1736.0,22.340085983276367,133.57855224609375,6.800000190734863,434.0,182.0,16.799999237060547,38.5,44.70000076293945,1.100000023841858,3995.0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.81,1.143,12.0,40.0,37.0,21.0,1.28,540.0,600.0,0.3915,1.14,0.5179478260869566,878.0,16.100000381469727,112.0,0.982801616191864,256.3548889160156,7.199999809265137,223.0,193.0,29.5,28.600000381469727,42.0,1.2899999618530271,2578.0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.81,1.143,12.0,40.0,37.0,21.0,1.28,540.0,600.0,0.3915,1.14,0.514804347826087,641.0,14.5,65.0,0.7169315814971924,323.9513244628906,8.5,118.0,231.0,19.799999237060547,36.20000076293945,44.0,1.3200000524520874,1164.0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.81,1.143,12.0,40.0,37.0,21.0,1.28,540.0,600.0,0.3915,1.14,0.6223217391304348,962.0,16.799999237060547,430.0,6.237441062927246,217.2418212890625,7.5,331.0,296.0,23.700000762939453,27.600000381469727,48.70000076293945,1.2899999618530271,4303.0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
