id_DOI,id_Source
10.1038/s41597-020-00666-2,Jian et al. 2020 - Soil health database (SoilHealthDB) for global soil health assessment
10.1038/s41597-020-00666-2,Jian et al. 2020 - Soil health database (SoilHealthDB) for global soil health assessment
10.1038/s41597-020-00666-2,Jian et al. 2020 - Soil health database (SoilHealthDB) for global soil health assessment
10.1038/s41597-020-00666-2,Jian et al. 2020 - Soil health database (SoilHealthDB) for global soil health assessment
10.1038/s41597-020-00666-2,Jian et al. 2020 - Soil health database (SoilHealthDB) for global soil health assessment
10.1038/s41597-020-00666-2,Jian et al. 2020 - Soil health database (SoilHealthDB) for global soil health assessment
10.1038/s41597-020-00666-2,Jian et al. 2020 - Soil health database (SoilHealthDB) for global soil health assessment
10.1038/s41597-020-00666-2,Jian et al. 2020 - Soil health database (SoilHealthDB) for global soil health assessment
10.1038/s41597-020-00666-2,Jian et al. 2020 - Soil health database (SoilHealthDB) for global soil health assessment
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1038/s41598-025-05989-9,s41598-025_Shangzhou
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
10.1371/journal.pone.0267829,pone.0267829_Tianshan
