paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption,matrix,site_type,province,latitude,longitude,source_pool
Arch Insect Biochem Physiol - 2025 - Wang - Effect,Arch Insect Biochem Physiol - 2025 - Wang - Effect_col1,col1,Pyr_ngg,0.0361,Unknown,,medium,table_p11_ri5_ci1,TABLE 4 | Dietary intake risk of passion fruit.,,,,,,phase14
Arch Insect Biochem Physiol - 2025 - Wang - Effect,Arch Insect Biochem Physiol - 2025 - Wang - Effect_ADI_(mg/_kg,ADI (mg/ kg,Pyr_ngg,0.03,Unknown,,medium,table_p11_ri5_ci2,TABLE 4 | Dietary intake risk of passion fruit.,,,,,,phase14
Arch Insect Biochem Physiol - 2025 - Wang - Effect,Arch Insect Biochem Physiol - 2025 - Wang - Effect_NEDI,NEDI,Pyr_ngg,0.0004,Unknown,,medium,table_p11_ri5_ci3,TABLE 4 | Dietary intake risk of passion fruit.,,,,,,phase14
Arch Insect Biochem Physiol - 2025 - Wang - Effect,Arch Insect Biochem Physiol - 2025 - Wang - Effect_col4,col4,Pyr_ngg,0.0122,Unknown,,medium,table_p11_ri5_ci4,TABLE 4 | Dietary intake risk of passion fruit.,,,,,,phase14
