column_name,coverage_count,coverage_pct,column_group,mapped_status,match_type,action,mapped_factor_name
DOI,0,0.0,metadata,unmapped,,exclude_metadata,
Source,0,0.0,metadata,unmapped,,exclude_metadata,
Year,12227,45.2333,metadata,unmapped,,exclude_metadata,
Journal,0,0.0,metadata,unmapped,,exclude_metadata,
Country,0,0.0,metadata,unmapped,,exclude_metadata,
Province,0,0.0,metadata,unmapped,,exclude_metadata,
City,0,0.0,metadata,unmapped,,exclude_metadata,
SiteDescription,0,0.0,metadata,unmapped,,exclude_metadata,
SamplingYear,6296,23.2918,metadata,unmapped,,exclude_metadata,
SamplingDepth,4,0.0148,metadata,unmapped,,exclude_metadata,
LandUseType,99,0.3662,metadata,unmapped,,exclude_metadata,
LandUse,0,0.0,metadata,unmapped,,exclude_metadata,
Pollution_Type,0,0.0,metadata,unmapped,,exclude_metadata,
SampleID,306,1.132,metadata,unmapped,,exclude_metadata,
SoilpH,7346,27.1762,soil_chemical,classified,coalesce_candidate,model_covariate,pH
pH,3329,12.3155,soil_chemical,classified,coalesce_candidate,model_covariate,pH
pH_merged,7980,29.5217,metadata,mapped,coalesced,exclude_metadata,
OC_pct,9377,34.6898,soil_chemical,mapped,exact,formal_diagnosis,
SoilBD_gcm3,624,2.3085,soil_chemical,mapped,exact,formal_diagnosis,
CEC_cmolkg,7657,28.3267,soil_chemical,mapped,exact,formal_diagnosis,
Sand_pct,4269,15.793,soil_physical,classified,measured_covariate,model_covariate,质地
Silt_pct,4137,15.3047,soil_physical,classified,measured_covariate,model_covariate,质地
Clay_pct,4038,14.9384,soil_physical,classified,measured_covariate,model_covariate,质地
SoilTexture,0,0.0,metadata,unmapped,,exclude_metadata,
SoilType,0,0.0,metadata,unmapped,,exclude_metadata,
Cd_mgkg,14872,55.0183,metal,mapped,exact,formal_diagnosis,
Pb_mgkg,15113,55.9099,metal,mapped,exact,formal_diagnosis,
As_mgkg,10899,40.3204,metal,mapped,exact,formal_diagnosis,
Cu_mgkg,13136,48.5961,metal,mapped,exact,formal_diagnosis,
Zn_mgkg,13049,48.2742,metal,mapped,exact,formal_diagnosis,
Ni_mgkg,7869,29.111,metal,mapped,exact,formal_diagnosis,
Cr_mgkg,12515,46.2987,metal,mapped,exact,formal_diagnosis,
Hg_mgkg,6834,25.2821,metal,mapped,exact,formal_diagnosis,
A_HCH_ngg,58,0.2146,OCP_single,classified,compound_alias_member,supplementary_screening,α-六六六
Ace_mgkg,91,0.3367,PAH_single,classified,unit_variant,model_covariate,Ace_ngg
Ace_ngg,704,2.6044,PAH_single,classified,compound_alias_member,supplementary_screening,苊
Acy_mgkg,67,0.2479,PAH_single,classified,unit_variant,model_covariate,Acy_ngg
Acy_ngg,137,0.5068,PAH_single,classified,compound_alias_member,supplementary_screening,苊烯
Al_mgkg,296,1.095,metal,classified,metal_covariate,model_covariate,铝
Altitude_m,477,1.7646,covariate,classified,coalesce_candidate,model_covariate,Elevation_m
Ant_mgkg,111,0.4106,PAH_single,classified,unit_variant,model_covariate,Ant_ngg
Ant_ngg,204,0.7547,PAH_single,classified,compound_alias_member,supplementary_screening,蒽
AntiDP_ngg,7,0.0259,metal,unmapped,,exclude_empty,
BDE209_ngg,80,0.296,PBDE_single,classified,family_member,supplementary_screening,PBDEs_total
B_HCH_ngg,52,0.1924,OCP_single,classified,compound_alias_member,supplementary_screening,β-六六六
BaA_mgkg,106,0.3921,PAH_single,classified,unit_variant,model_covariate,BaA_ngg
BaA_ngg,165,0.6104,PAH_single,mapped,compound_alias,formal_diagnosis,
BaP_mgkg,118,0.4365,PAH_single,classified,unit_variant,model_covariate,BaP_ngg
BaP_ngg,1002,3.7069,PAH_single,mapped,exact,supplementary_screening,
BaPeq_ngg,83,0.3071,metal,classified,derived,model_covariate,BaP等效
Ba_mgkg,108,0.3995,metal,classified,metal_covariate,model_covariate,钡
BbF_mgkg,96,0.3551,PAH_single,classified,unit_variant,model_covariate,BbF_ngg
BbF_ngg,177,0.6548,PAH_single,mapped,compound_alias,formal_diagnosis,
BghiP_mgkg,106,0.3921,PAH_single,classified,unit_variant,model_covariate,BghiP_ngg
BghiP_ngg,131,0.4846,PAH_single,classified,compound_alias_member,supplementary_screening,苯并[ghi]苝
BkF_mgkg,97,0.3588,PAH_single,classified,unit_variant,model_covariate,BkF_ngg
BkF_ngg,164,0.6067,PAH_single,mapped,compound_alias,formal_diagnosis,
Ca_mgkg,322,1.1912,metal,classified,metal_covariate,model_covariate,钙
Chr_mgkg,106,0.3921,PAH_single,classified,unit_variant,model_covariate,Chr_ngg
Chr_ngg,203,0.751,PAH_single,mapped,compound_alias,formal_diagnosis,
Co_mgkg,447,1.6537,metal,mapped,alias,formal_diagnosis,
Comments,0,0.0,empty_or_irrelevant,unmapped,,exclude_empty,
DBDPE_ngg,7,0.0259,metal,unmapped,,exclude_empty,
D_HCH_ngg,47,0.1739,OCP_single,classified,compound_alias_member,supplementary_screening,δ-六六六
DahA_mgkg,88,0.3256,PAH_single,classified,unit_variant,model_covariate,DahA_ngg
DahA_ngg,135,0.4994,PAH_single,mapped,compound_alias,formal_diagnosis,
EC_mScm,731,2.7043,soil_chemical,mapped,exact,formal_diagnosis,
Elevation_m,5299,19.6034,covariate,classified,coalesce_candidate,model_covariate,Elevation_m
Fe_mgkg,1204,4.4541,metal,classified,metal_covariate,model_covariate,铁
Flt_mgkg,112,0.4143,PAH_single,classified,unit_variant,model_covariate,Flt_ngg
Flt_ngg,190,0.7029,PAH_single,classified,compound_alias_member,supplementary_screening,荧蒽
Flu_mgkg,99,0.3662,PAH_single,classified,unit_variant,model_covariate,Flu_ngg
Flu_ngg,724,2.6784,PAH_single,classified,compound_alias_member,supplementary_screening,芴
G_HCH_ngg,59,0.2183,OCP_single,classified,compound_alias_member,supplementary_screening,γ-六六六
Ga_mgkg,11,0.0407,metal,unmapped,,exclude_empty,
Glucosinolate_umol_g,0,0.0,metadata,unmapped,,exclude_metadata,
HBB_ngg,5,0.0185,metal,unmapped,,exclude_empty,
HMWPAH_ngg,55,0.2035,metal,classified,family_subgroup,supplementary_screening,高分子量PAH
Ind_mgkg,98,0.3625,PAH_single,classified,unit_variant,model_covariate,Ind_ngg
Ind_ngg,122,0.4513,PAH_single,mapped,compound_alias,formal_diagnosis,
