SoilpH,pH,OC_pct,Cd_mgkg,Pb_mgkg,As_mgkg,Cr_mgkg,Hg_mgkg,Cu_mgkg,Zn_mgkg,Ni_mgkg,Sum_PAH_ngg,BaP_ngg,SumOCP_ngg,SumDDTs_ngg,SumPCB_ngg,SumHCHs_ngg,SumPAE_ugkg,SumPBDE_ngg,SumPFAS_ngg,TPH_ngg,HMWPAH_ngg,LMWPAH_ngg,标签,pH__missing,Cd_mgkg__missing,Pb_mgkg__missing,As_mgkg__missing,Cr_mgkg__missing,Hg_mgkg__missing,Cu_mgkg__missing,Zn_mgkg__missing,Ni_mgkg__missing,Sum_PAH_ngg__missing,BaP_ngg__missing,SumOCP_ngg__missing,SumDDTs_ngg__missing,SumPCB_ngg__missing,SumHCHs_ngg__missing,SumPAE_ugkg__missing,SumPBDE_ngg__missing,SumPFAS_ngg__missing,TPH_ngg__missing,HMWPAH_ngg__missing,LMWPAH_ngg__missing
,8.0,41.886587142944336,1.6499711694755113,65.35157665801106,23.311381013898675,69.02844589166581,0.7620078303568593,42.743234965706954,130.5259086474742,32.14657524227372,967.5538446749651,10.002157423709711,77.2,20.0,96.99923190632734,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,8.0,28.08459758758545,0.959287722002897,51.30730903140685,21.392433867683778,68.31443671087484,0.7616665677080499,40.03315121948042,124.95397036428172,32.14657524227372,1003.47084091051,14.530892712623473,77.2,20.0,96.99923190632734,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,8.0,17.170090436935425,1.6499711694755113,65.35157665801106,23.311381013898675,69.02844589166581,0.7574517799366911,42.743234965706954,130.5259086474742,32.14657524227372,967.5538446749651,9.821417963296192,77.2,20.0,96.99923190632734,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,8.0,27.96712875366211,0.9592335342923708,48.6236532343054,21.392433867683778,68.31443671087484,0.7807507343747165,39.16755661254844,124.95397036428172,32.14657524227372,1003.47084091051,19.986682840939267,77.2,20.0,96.99923190632734,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,8.0,25.015448570251465,0.959287722002897,51.30730903140685,21.392433867683778,68.31443671087484,0.7616665677080499,40.03315121948042,124.95397036428172,32.14657524227372,1003.47084091051,14.231864308480471,77.2,20.0,96.99923190632734,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,8.0,12.673405170440674,1.6732628361421782,65.35157665801106,23.62560422818439,69.02844589166581,0.7371171073176435,42.743234965706954,130.5259086474742,32.14657524227372,967.5538446749651,5.160029544970821,77.2,20.0,96.99923190632734,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,8.0,28.97359848022461,1.6499711694755113,65.35157665801106,23.311381013898675,69.02844589166581,0.7574517799366911,42.743234965706954,130.5259086474742,32.14657524227372,967.5538446749651,9.452790925109596,77.2,20.0,96.99923190632734,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,8.0,7.400262117385864,1.6952315117374162,65.35157665801106,23.62560422818439,69.02844589166581,0.7336171073176435,42.743234965706954,130.5259086474742,32.14657524227372,967.5538446749651,3.012258714162619,77.2,20.0,96.99923190632734,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,8.0,3.571417450904846,3.856210067432573,141.8521766990737,27.97563471080244,123.3957095158901,1.7490465239137325,69.29739134173391,306.76074474371194,55.5525392990019,888.3604768952995,1.2532430864500017,77.2,20.0,79.64575864854905,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,8.0,4.343012094497681,3.856210067432573,141.8521766990737,27.97563471080244,123.3957095158901,1.7490465239137325,69.29739134173391,306.76074474371194,55.5525392990019,888.3604768952995,1.065255971317178,77.2,20.0,79.64575864854905,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,8.0,6.948652744293213,3.856210067432573,141.8521766990737,26.998040943742275,148.27863835161963,1.7490465239137325,166.6449959571519,285.3579472530892,71.52824314554827,888.3604768952995,1.7251748869944437,77.2,20.0,79.64575864854905,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,8.0,3.222737669944763,7.193323045126459,139.99690472684227,32.28727575452345,135.11943835161966,4.649286461371961,192.1842970049069,477.67675799122645,69.44028315050859,888.3604768952995,0.8507005850329198,77.2,20.0,191.38241924615355,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,8.0,6.31030011177063,3.970920820637702,156.15710695890888,27.259505774114125,120.58330444070216,1.2367146709725556,50.84190001247988,264.93882582509235,36.93181654434689,888.3604768952995,2.0467740354374904,77.2,20.0,79.64575864854905,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,8.0,37.28255653381348,1.6732628361421782,65.35157665801106,23.62560422818439,69.02844589166581,0.7336171073176435,42.743234965706954,130.5259086474742,32.14657524227372,967.5538446749651,3.293994922831331,77.2,20.0,96.99923190632734,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,8.0,32.6507625579834,3.856210067432573,141.8521766990737,26.998040943742275,148.27863835161963,1.7490465239137325,166.6449959571519,285.3579472530892,71.52824314554827,888.3604768952995,1.820342740213326,77.2,20.0,79.64575864854905,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,8.0,11.584070682525637,3.856210067432573,141.8521766990737,26.998040943742275,148.27863835161963,1.7490465239137325,166.6449959571519,285.3579472530892,71.52824314554827,888.3604768952995,1.6867896933127964,77.2,20.0,79.64575864854905,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,8.0,42.117393493652344,3.9676559007659074,160.13452447144022,28.395601945650924,129.48328094446154,1.7490465239137325,70.4851888625187,278.67315434988143,55.56054656148783,888.3604768952995,0.9369670340750188,77.2,20.0,79.64575864854905,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,8.0,39.30778694152832,1.6732628361421782,65.35157665801106,23.62560422818439,69.02844589166581,0.7371171073176435,42.743234965706954,130.5259086474742,32.14657524227372,967.5538446749651,5.01187764690814,77.2,20.0,96.99923190632734,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,8.0,24.700450897216797,0.959287722002897,51.30730903140685,21.392433867683778,68.31443671087484,0.7616665677080499,40.03315121948042,124.95397036428172,32.14657524227372,1003.47084091051,12.609474333053225,77.2,20.0,96.99923190632734,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,8.0,42.79267692565918,0.9592335342923708,48.6236532343054,21.392433867683778,68.31443671087484,0.7807507343747165,39.16755661254844,124.95397036428172,32.14657524227372,1003.47084091051,22.534553096400497,77.2,20.0,96.99923190632734,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,8.0,28.09895420074463,0.9592335342923708,48.6236532343054,21.392433867683778,68.31443671087484,0.7807507343747165,39.16755661254844,124.95397036428172,32.14657524227372,1003.47084091051,24.364772668641148,77.2,20.0,96.99923190632734,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,8.0,33.11587333679199,1.6499711694755113,65.35157665801106,23.311381013898675,69.02844589166581,0.7574517799366911,42.743234965706954,130.5259086474742,32.14657524227372,967.5538446749651,9.552270633439663,77.2,20.0,96.99923190632734,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,8.0,29.57033348083496,0.9592335342923708,48.6236532343054,21.392433867683778,68.31443671087484,0.7807507343747165,39.16755661254844,124.95397036428172,32.14657524227372,1003.47084091051,20.87401995799994,77.2,20.0,96.99923190632734,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,8.0,25.277749061584473,1.6732628361421782,65.35157665801106,23.62560422818439,69.02844589166581,0.7336171073176435,42.743234965706954,130.5259086474742,32.14657524227372,967.5538446749651,3.432563430298033,77.2,20.0,96.99923190632734,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,8.0,30.13501262664795,1.6732628361421782,65.35157665801106,23.62560422818439,69.02844589166581,0.7371171073176435,42.743234965706954,130.5259086474742,32.14657524227372,967.5538446749651,5.3807076101710285,77.2,20.0,96.99923190632734,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,8.0,25.943413734436035,3.970920820637702,156.15710695890888,27.259505774114125,120.58330444070216,1.2367146709725556,50.84190001247988,270.78389840573755,36.93181654434689,888.3604768952995,2.3032667439848953,77.2,20.0,79.64575864854905,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,8.0,9.503305435180664,3.856210067432573,141.8521766990737,27.97563471080244,123.3957095158901,1.7490465239137325,69.29739134173391,306.76074474371194,55.5525392990019,888.3604768952995,1.0193631274418995,77.2,20.0,79.64575864854905,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,8.0,31.241416931152344,1.6732628361421782,65.35157665801106,23.62560422818439,69.02844589166581,0.7371171073176435,42.743234965706954,130.5259086474742,32.14657524227372,967.5538446749651,5.250293739763063,77.2,20.0,96.99923190632734,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,8.0,6.335536956787109,7.193323045126459,139.99690472684227,32.01448319202345,136.37016256157636,4.649286461371961,171.10219700490688,604.8107003145326,69.44028315050859,888.3604768952995,0.4595235250414046,77.2,20.0,117.59888747347902,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,8.0,26.676735877990723,1.6732628361421782,65.35157665801106,23.62560422818439,69.02844589166581,0.7336171073176435,42.743234965706954,130.5259086474742,32.14657524227372,967.5538446749651,3.251531412016213,77.2,20.0,96.99923190632734,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,8.0,3.5711525678634644,3.970920820637702,156.15710695890888,27.259505774114125,120.58330444070216,1.2367146709725556,50.84190001247988,264.93882582509235,36.93181654434689,888.3604768952995,2.078222916997803,77.2,20.0,79.64575864854905,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,8.0,24.182852745056152,0.959287722002897,51.30730903140685,21.392433867683778,68.31443671087484,0.7616665677080499,40.03315121948042,124.95397036428172,32.14657524227372,1003.47084091051,14.909222804188142,77.2,20.0,96.99923190632734,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,8.0,17.317130088806152,1.6732628361421782,65.35157665801106,23.62560422818439,69.02844589166581,0.7336171073176435,42.743234965706954,130.5259086474742,32.14657524227372,967.5538446749651,3.3633786546729016,77.2,20.0,96.99923190632734,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,8.0,36.3618049621582,1.000257925168925,60.42347682013066,22.103787725908887,68.5726398805177,0.2684971186140729,42.60004826037533,127.29308402619203,32.14657524227372,1047.8127451502037,45.032268081671496,77.2,20.0,5569.962335227272,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,8.0,15.96159553527832,3.970920820637702,156.15710695890888,27.259505774114125,120.58330444070216,1.2367146709725556,50.84190001247988,270.78389840573755,36.93181654434689,888.3604768952995,2.438942473972307,77.2,20.0,79.64575864854905,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,8.0,8.379902362823486,3.856210067432573,141.8521766990737,26.998040943742275,148.27863835161963,1.7490465239137325,166.6449959571519,285.3579472530892,71.52824314554827,888.3604768952995,1.6942218585213251,77.2,20.0,79.64575864854905,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,8.0,21.141716815531257,3.970920820637702,156.15710695890888,27.259505774114125,120.58330444070216,1.2367146709725556,50.84190001247988,264.93882582509235,36.93181654434689,888.3604768952995,1.9363765255902128,77.2,20.0,79.64575864854905,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,8.0,29.651397705078125,1.6732628361421782,65.35157665801106,23.62560422818439,69.02844589166581,0.7371171073176435,42.743234965706954,130.5259086474742,32.14657524227372,967.5538446749651,4.34337225490437,77.2,20.0,96.99923190632734,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,8.0,37.17579078674317,1.6732628361421782,65.35157665801106,23.311381013898675,69.02844589166581,0.7539517799366912,42.743234965706954,130.5259086474742,32.14657524227372,967.5538446749651,6.837929878361897,77.2,20.0,96.99923190632734,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,8.0,10.86256504058838,1.6732628361421782,65.35157665801106,23.62560422818439,69.02844589166581,0.7371171073176435,42.743234965706954,130.5259086474742,32.14657524227372,967.5538446749651,4.388522846171662,77.2,20.0,96.99923190632734,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,8.0,44.610948944091795,1.6732628361421782,65.35157665801106,23.62560422818439,69.02844589166581,0.7371171073176435,42.743234965706954,130.5259086474742,32.14657524227372,967.5538446749651,5.1920239935910795,77.2,20.0,96.99923190632734,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,8.0,17.16531467437744,0.9592335342923708,48.6236532343054,21.392433867683778,68.31443671087484,0.7807507343747165,39.16755661254844,124.95397036428172,32.14657524227372,1040.254240452851,25.588230851906097,77.2,20.0,96.99923190632734,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,8.0,38.14200973510742,0.9782892495736868,59.961456101710496,20.923449251882907,67.65604369750704,0.2843153686140729,43.24671492704199,127.29308402619203,31.21569094702071,1047.8127451502037,49.32576488118908,77.2,20.0,1413.363281525317,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,8.0,43.64612579345703,0.9592335342923708,48.6236532343054,21.392433867683778,68.31443671087484,0.7807507343747165,39.16755661254844,124.95397036428172,32.14657524227372,1003.47084091051,22.360972331081303,77.2,20.0,96.99923190632734,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,8.0,44.237430572509766,7.193323045126459,139.99690472684227,32.01448319202345,136.37016256157636,4.649286461371961,171.10219700490688,604.8107003145326,69.44028315050859,888.3604768952995,0.5521273042602107,77.2,20.0,117.59888747347902,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,8.0,2.39222800731659,7.193323045126459,139.99690472684227,32.01448319202345,136.37016256157636,4.649286461371961,171.10219700490688,604.8107003145326,69.44028315050859,888.3604768952995,0.4818040371392019,77.2,20.0,117.59888747347902,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,8.0,3.994364857673645,7.193323045126459,139.99690472684227,32.28727575452345,135.11943835161966,4.649286461371961,192.1842970049069,477.67675799122645,69.44028315050859,888.3604768952995,0.848622951081479,77.2,20.0,191.38241924615355,6.07,1880.0,1080.0,12.3,0.006225,376.91,317.8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
