source_id,sample_id,matrix,2+3rings,4rings,5+6rings,ACY,ANT,Ace,Acy,Ant,As,BaA,BaP,BbF,BgP,BghiP,BkF,CHR,Cd,Chr,Cr,Cu,DbA,DhA,FLA,FLO,Flu,Flua,IcP,InP,NAP,NaP,Ni,PHE,PYR,Pb,Phe,Pyr,SumPAH,Zn,∑TEQs
coal_mining_east_china_pah_si,CS1,soil,125.08,73.11,20.06,,,2.87,10.15,2.59,,4.73,0.53,5.15,,3.43,0.68,,,60.78,,,4.09,,,,2.46,3.52,,6.17,,2.94,,,,,104.08,4.08,218.25,,7.09
coal_mining_east_china_pah_si,CS10,soil,167.12,155.56,127.96,,,5.55,10.54,8.76,,11.84,30.43,26.33,,15.68,16.55,,,88.98,,,25.82,,,,17.43,29.52,,13.15,,13.41,,,,,111.44,25.22,450.64,,64.38
coal_mining_east_china_pah_si,CS11,soil,221.15,302.03,256.79,,,6.61,12.18,15.8,,30.32,97.95,46.22,,17.59,34.52,,,135.42,,,37.43,,,,17.24,81.62,,23.07,,22.31,,,,,147.02,54.67,779.97,,150.82
coal_mining_east_china_pah_si,CS12,soil,192.78,280.0,261.51,,,6.66,12.58,10.2,,44.57,72.39,51.55,,22.48,42.12,,,122.46,,,41.94,,,,20.51,59.61,,31.02,,14.09,,,,,128.73,53.36,734.29,,133.1
coal_mining_east_china_pah_si,CS13,soil,398.77,90.27,29.3,,,9.52,12.09,13.89,,8.4,1.53,7.23,,5.43,1.24,,,22.86,,,6.25,,,,39.82,36.29,,7.61,,18.46,,,,,304.99,22.72,518.34,,11.09
coal_mining_east_china_pah_si,CS14,soil,299.02,251.14,99.53,,,8.02,12.5,14.35,,18.37,20.03,25.52,,9.25,13.08,,,93.81,,,18.64,,,,13.82,63.98,,13.0,,22.15,,,,,228.18,74.98,649.69,,47.26
coal_mining_east_china_pah_si,CS15,soil,510.27,498.44,335.63,,,10.08,11.59,15.99,,42.22,75.5,77.79,,42.92,36.28,,,307.99,,,75.67,,,,49.96,74.55,,27.47,,94.1,,,,,328.54,73.7,1344.34,,173.86
coal_mining_east_china_pah_si,CS16,soil,309.08,238.07,151.44,,,7.37,12.02,16.86,,19.6,27.35,43.28,,18.38,17.38,,,108.63,,,25.93,,,,24.29,61.87,,19.11,,37.7,,,,,210.83,47.98,698.59,,65.06
coal_mining_east_china_pah_si,CS17,soil,231.48,17.55,10.7,,,3.49,12.44,3.57,,6.48,3.93,6.22,,0.0,0.54,,,1.44,,,0.0,,,,3.27,4.4,,0.0,,3.73,,,,,205.0,5.22,259.72,,5.54
coal_mining_east_china_pah_si,CS2,soil,161.19,52.17,10.95,,,5.52,10.21,7.67,,6.26,0.0,6.07,,0.0,0.73,,,9.11,,,4.16,,,,13.68,21.44,,0.0,,8.89,,,,,115.23,15.36,224.32,,5.82
coal_mining_east_china_pah_si,CS3,soil,123.89,324.15,322.65,,,5.55,12.8,9.69,,55.38,98.17,67.52,,27.38,41.46,,,135.83,,,51.19,,,,9.04,82.03,,36.93,,16.47,,,,,70.33,50.91,770.68,,171.47
coal_mining_east_china_pah_si,CS4,soil,208.84,170.51,126.52,,,6.52,12.05,9.55,,16.34,28.62,24.05,,17.44,14.15,,,87.98,,,29.33,,,,18.74,34.21,,12.94,,30.23,,,,,131.74,31.98,505.87,,66.11
coal_mining_east_china_pah_si,CS5,soil,417.58,685.35,428.09,,,10.25,18.7,29.43,,84.22,20.96,128.83,,46.1,82.84,,,299.55,,,87.17,,,,40.04,166.91,,62.19,,36.34,,,,,282.81,134.66,1531.02,,148.38
coal_mining_east_china_pah_si,CS6,soil,230.76,103.07,55.15,,,7.81,11.53,12.25,,10.43,8.1,15.27,,7.19,5.84,,,30.0,,,9.12,,,,21.28,36.84,,9.63,,12.78,,,,,165.11,25.81,388.99,,22.11
coal_mining_east_china_pah_si,CS7,soil,310.78,585.03,432.61,,,7.33,12.97,21.94,,82.51,135.63,98.26,,38.11,35.93,,,228.11,,,73.89,,,,23.8,131.08,,50.79,,20.43,,,,,224.31,143.33,1328.42,,239.71
coal_mining_east_china_pah_si,CS8,soil,291.79,517.25,306.98,,,7.87,13.08,16.79,,53.13,75.74,60.3,,27.97,51.08,,,241.41,,,53.05,,,,17.66,140.14,,38.84,,41.08,,,,,195.33,82.56,1116.02,,152.48
coal_mining_east_china_pah_si,CS9,soil,721.72,548.27,278.11,,,8.57,12.54,12.67,,13.45,165.51,16.8,,4.24,10.82,,,370.65,,,70.71,,,,22.28,89.45,,10.03,,56.64,,,,,609.02,74.72,1548.1,,246.08
coal_mining_east_china_pah_si,US1,soil,202.7,75.67,25.28,,,6.98,11.78,9.91,,7.7,4.76,7.31,,0.0,0.39,,,13.21,,,5.67,,,,16.03,34.19,,7.15,,10.58,,,,,147.4,20.57,303.61,,13.16
coal_mining_east_china_pah_si,US10,soil,130.77,54.71,33.58,,,5.34,11.79,6.04,,6.75,5.87,8.23,,4.13,1.45,,,9.29,,,6.34,,,,11.04,22.49,,7.56,,9.46,,,,,87.1,16.18,219.06,,14.97
coal_mining_east_china_pah_si,US2,soil,288.7,75.07,30.33,,,8.0,10.68,12.94,,6.66,5.56,7.84,,3.5,1.39,,,12.93,,,5.17,,,,27.62,33.81,,6.86,,11.73,,,,,217.7,21.67,394.05,,13.63
coal_mining_east_china_pah_si,US3,soil,148.8,87.15,26.69,,,6.32,10.54,6.62,,6.37,2.9,7.85,,3.56,0.33,,,14.58,,,5.49,,,,11.25,26.7,,6.56,,9.3,,,,,104.8,39.51,262.66,,10.96
coal_mining_east_china_pah_si,US4,soil,144.6,84.84,27.03,,,5.0,10.57,6.62,,6.88,2.9,8.19,,3.56,0.48,,,15.48,,,5.49,,,,12.01,26.59,,6.4,,8.68,,,,,101.7,35.89,256.45,,11.04
coal_mining_east_china_pah_si,US5,soil,194.3,81.04,22.74,,,2.96,11.22,9.1,,8.71,0.96,5.53,,0.0,0.93,,,23.5,,,6.55,,,,16.63,28.93,,8.76,,11.61,,,,,142.8,19.89,298.11,,10.46
coal_mining_east_china_pah_si,US6,soil,220.28,116.89,76.71,,,7.55,12.94,13.91,,11.06,14.25,17.78,,15.78,6.57,,,36.79,,,10.28,,,,16.08,39.84,,12.06,,14.81,,,,,154.9,29.19,413.88,,30.22
coal_mining_east_china_pah_si,US7,soil,188.8,122.76,60.05,,,6.43,11.47,8.76,,10.63,15.09,16.45,,4.21,8.3,,,42.46,,,6.9,,,,15.0,42.63,,9.1,,12.7,,,,,134.4,27.05,371.61,,27.24
