sample_id,source_id,paper_id,province,city_or_region,latitude,longitude,matrix,x_measured_SumPFAS_ngg,audit_flag
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_22,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Shanxi,Datong,40.04805556,113.8908333,soil,0.4746768387855412,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_23,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Shanxi,Lvliang,37.44027778,111.4491667,soil,0.24730368173867306,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_24,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Shanxi,Suzhou,38.97777778,112.7408333,soil,0.6002465269574736,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_25,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Shanxi,Taiyuan,38.15694444,112.7125,soil,0.34509529425558894,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_26,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Qinghai,Xining,36.018602,101.468887,soil,0.5675026764435583,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_27,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Jilin,Siping,43.24333333,124.5166667,soil,0.34710602634423837,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_28,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Jilin,Songyuan,44.93194444,126.0752778,soil,0.22870126962818693,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_29,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Jilin,Tonghua,41.55638889,125.5694444,soil,0.6569850195589159,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_30,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Jilin,Jilin,43.61722222,127.7438889,soil,0.41502508621309375,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_31,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Jilin,Baishan,42.27,126.9197222,soil,1.3494274449485117,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_32,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Jilin,Changchun,43.69055556,125.1277778,soil,0.7299137569470154,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_33,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Yunnan,Dali,25.56083333,100.2938889,soil,0.3025662537107506,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_34,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Yunnan,Chuxiong,25.09916667,101.6536111,soil,0.3513676350138405,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_35,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Yunnan,Wenshan,23.72472222,105.06,soil,0.3289028250078883,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_36,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Yunnan,Qujing,26.565,100.8336111,soil,0.05025659446388367,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_37,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Yunnan,Kunming,24.70861111,103.2566667,soil,0.22048087830217086,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_38,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Tibet,Shannan,29.205,91.7625,soil,0.3721002727537893,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_39,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Xinjiang,Bortala,43.8575,80.9954,soil,0.06455891071348734,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_40,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Xinjiang,Kelamayi,43.8709,80.7661,soil,0.0688385394295607,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_41,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Ningxia,Zhongwei,37.4675,105.6963889,soil,0.3786909389247923,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_42,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Ningxia,Wuzhong,37.80527778,107.3766667,soil,1.5120138853170673,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_43,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Ningxia,Yinchuan,38.08777778,106.6308333,soil,1.9996463150456942,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_44,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Hainan,Qionghai,19.228181,110.499747,soil,0.3078120041139129,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_45,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Hainan,Baisha,19.34722222,109.2238889,soil,3.6292666666666666,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_46,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Hainan,Haikou,19.88583333,110.6211111,soil,0.2789404926326112,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_47,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Henan,Pingdingshan,33.73694444,113.4886111,soil,0.46323309865430035,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_48,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Henan,Kaifeng,34.84833333,114.3005556,soil,0.36484616621371957,si_native_table_verified
