column,detected_unit,canonical,conflict
Sr_mgkg,mgkg,mgkg,False
SumAntibiotics_ugkg,ugkg,ugkg,False
SumDDTs_ngg,ngg,ngg,False
SumHCHs_ngg,ngg,ngg,False
SumOCP_ngg,ngg,ngg,False
SumPAE_ugkg,ugkg,ugkg,False
SumPBDE_ngg,ngg,ngg,False
SumPCB_ngg,ngg,ngg,False
SumPFAS_ngg,ngg,ngg,False
Sum_PAH_mgkg,mgkg,mgkg,False
Sum_PAH_ngg,ngg,ngg,False
SynDP_ngg,ngg,ngg,False
TBB_ngg,ngg,ngg,False
TBE_ngg,ngg,ngg,False
TBPH_ngg,ngg,ngg,False
TPH_ngg,ngg,ngg,False
TotalPHC_mgkg,mgkg,mgkg,False
V_mgkg,mgkg,mgkg,False
o_p_DDT_ngg,ngg,ngg,False
p_p_DDD_ngg,ngg,ngg,False
p_p_DDE_ngg,ngg,ngg,False
p_p_DDT_ngg,ngg,ngg,False
Sum_PAH_range_mgkg,mgkg,mgkg,False
AOX_mgkg,mgkg,mgkg,False
BGP_ngg,ngg,ngg,False
Benz_a_anthracene_ngg,ngg,ngg,False
Benz_a_pyrene_ngg,ngg,ngg,False
Benz_b_fluoranthene_ngg,ngg,ngg,False
Benz_e_pyrene_ngg,ngg,ngg,False
Benz_ghi_perylene_ngg,ngg,ngg,False
Benz_k_fluoranthene_ngg,ngg,ngg,False
DEHP_mgkg,mgkg,mgkg,False
ICP_ngg,ngg,ngg,False
LAS_mgkg,mgkg,mgkg,False
Mo_mgkg,mgkg,mgkg,False
NPE_mgkg,mgkg,mgkg,False
PAH_mgkg,mgkg,mgkg,False
PCB_mgkg,mgkg,mgkg,False
Perylene_ngg,ngg,ngg,False
SumOPAH_ngg,ngg,ngg,False
TPHs_mgkg,mgkg,mgkg,False
TotalPCB_ngg,ngg,ngg,False
Sum16PAH_ngg,ngg,ngg,False
PCB28_ngg,ngg,ngg,False
PCB52_ngg,ngg,ngg,False
PCB101_ngg,ngg,ngg,False
PCB118_ngg,ngg,ngg,False
PCB153_ngg,ngg,ngg,False
PCB138_ngg,ngg,ngg,False
PCB180_ngg,ngg,ngg,False
SumPCNs_ngg,ngg,ngg,False
Sum7PAH_ngg,ngg,ngg,False
Cd_spiked_mgkg,mgkg,mgkg,False
Spiked_Phe_mgkg,mgkg,mgkg,False
PAHs_mgkg,mgkg,mgkg,False
C10C40_TPH_mgkg,mgkg,mgkg,False
C5C10_TPH_mgkg,mgkg,mgkg,False
S_mgkg,mgkg,mgkg,False
Na_mgkg,mgkg,mgkg,False
DMP_ugkg,ugkg,ugkg,False
DEP_ugkg,ugkg,ugkg,False
DBP_ugkg,ugkg,ugkg,False
BBP_ugkg,ugkg,ugkg,False
DEHP_ugkg,ugkg,ugkg,False
DNOP_ugkg,ugkg,ugkg,False
DiBP_ugkg,ugkg,ugkg,False
BMPP_ugkg,ugkg,ugkg,False
DEEP_ugkg,ugkg,ugkg,False
DHXP_ugkg,ugkg,ugkg,False
DBEP_ugkg,ugkg,ugkg,False
Sum6PAE_ugkg,ugkg,ugkg,False
BDE28_ngg,ngg,ngg,False
BDE47_ngg,ngg,ngg,False
BDE99_ngg,ngg,ngg,False
BDE100_ngg,ngg,ngg,False
BDE153_ngg,ngg,ngg,False
BDE154_ngg,ngg,ngg,False
BDE138_ngg,ngg,ngg,False
BDE183_ngg,ngg,ngg,False
BDE190_ngg,ngg,ngg,False
BDE206_ngg,ngg,ngg,False
BDE207_ngg,ngg,ngg,False
BDE208_ngg,ngg,ngg,False
Olsen_P_mgkg,mgkg,mgkg,False
NH4OAc_K_mgkg,mgkg,mgkg,False
Alk_hydrolyzable_N_mgkg,mgkg,mgkg,False
DTPA_Fe_mgkg,mgkg,mgkg,False
DTPA_Mn_mgkg,mgkg,mgkg,False
DTPA_Cu_mgkg,mgkg,mgkg,False
HCB_ngg,ngg,ngg,False
N_mgkg,mgkg,mgkg,False
Ti_mgkg,mgkg,mgkg,False
SumPCB_mgkg,mgkg,mgkg,False
BDE209_mgkg,mgkg,mgkg,False
SumPBDE_mgkg,mgkg,mgkg,False
Si_mgkg,mgkg,mgkg,False
Cl_mgkg,mgkg,mgkg,False
Zr_mgkg,mgkg,mgkg,False
Nb_mgkg,mgkg,mgkg,False
Ag_mgkg,mgkg,mgkg,False
Ta_mgkg,mgkg,mgkg,False
Rb_mgkg,mgkg,mgkg,False
Be_mgkg,mgkg,mgkg,False
DIBP_ugkg,ugkg,ugkg,False
NO3_N_mgkg,mgkg,mgkg,False
o_p_DDE_ngg,ngg,ngg,False
o_p_DDD_ngg,ngg,ngg,False
AK_mgkg,mgkg,mgkg,False
AN_mgkg,mgkg,mgkg,False
Ce_mgkg,mgkg,mgkg,False
La_mgkg,mgkg,mgkg,False
Li_mgkg,mgkg,mgkg,False
Sc_mgkg,mgkg,mgkg,False
Th_mgkg,mgkg,mgkg,False
Sum_PCB_mgkg,mgkg,mgkg,False
Tl_mgkg,mgkg,mgkg,False
Cd_treatment_mgkg,mgkg,mgkg,False
Bi_mgkg,mgkg,mgkg,False
U_mgkg,mgkg,mgkg,False
AcPy_ngg,ngg,ngg,False
Acp_ngg,ngg,ngg,False
B_mgkg,mgkg,mgkg,False
Sum16PAH_mgkg,mgkg,mgkg,False
Sum15PAH_ngg,ngg,ngg,False
ChloroalkanesC10_13_ngg,ngg,ngg,False
PAH4_mgkg,mgkg,mgkg,False
Sum_PAH_range_ngg,ngg,ngg,False
Methomyl_mgkg,mgkg,mgkg,False
Triazophos_mgkg,mgkg,mgkg,False
Aldrin_mgkg,mgkg,mgkg,False
Dieldrin_mgkg,mgkg,mgkg,False
Endrinketone_mgkg,mgkg,mgkg,False
ExtractableK_mgkg,mgkg,mgkg,False
ExtractableCa_mgkg,mgkg,mgkg,False
ExtractableMg_mgkg,mgkg,mgkg,False
Heptachlor_ngg,ngg,ngg,False
EndrinCHO_ngg,ngg,ngg,False
EndosulfanII_ngg,ngg,ngg,False
NH4_N_mgkg,mgkg,mgkg,False
P2O5_mgkg,mgkg,mgkg,False
Heptachlor_mgkg,mgkg,mgkg,False
Endrin_mgkg,mgkg,mgkg,False
EndosulfanII_mgkg,mgkg,mgkg,False
TotalOCP_mgkg,mgkg,mgkg,False
D_BHC_mgkg,mgkg,mgkg,False
Isopropylamine_mgkg,mgkg,mgkg,False
HCB_mgkg,mgkg,mgkg,False
Endosulfan_mgkg,mgkg,mgkg,False
DDT_mgkg,mgkg,mgkg,False
t-nonachlor_mgkg,mgkg,mgkg,False
Carbofuran_mgkg,mgkg,mgkg,False
Dichlorvos_mgkg,mgkg,mgkg,False
g-chlordane_mgkg,mgkg,mgkg,False
Lindane_mgkg,mgkg,mgkg,False
DichloroBiphenyl_mgkg,mgkg,mgkg,False
Chlorpyrifos_mgkg,mgkg,mgkg,False
Profenofos_mgkg,mgkg,mgkg,False
Ptot_mgkg,mgkg,mgkg,False
Ntot_mgkg,mgkg,mgkg,False
PCB77_ngg,ngg,ngg,False
PCB81_ngg,ngg,ngg,False
PCB105_ngg,ngg,ngg,False
PCB114_ngg,ngg,ngg,False
