factor_name,track,功能层,功能层权重,指标层权重,全局权重,standard_priority,weight_version,lambda_weight,W_normalized
有效土层厚度,production,土壤质量,0.2524,0.4047,0.1021,0.5,v0.1_课题二表13,0.33808,0.04440568258238063
pH,production,土壤质量,0.2524,0.203,0.0512,0.5,v0.1_课题二表13,0.2574,0.03380863315400135
土壤容重,production,土壤质量,0.2524,0.1184,0.0299,0.5,v0.1_课题二表13,0.22356000000000004,0.02936386180228649
生物多样性,production,土壤质量,0.2524,0.087,0.022,0.5,v0.1_课题二表13,0.21100000000000002,0.02771414761264291
盐渍化程度,production,土壤质量,0.2524,0.0594,0.015,0.5,v0.1_课题二表13,0.19996000000000003,0.026264080363147282
全氮,production,土壤质量,0.2524,0.0492,0.0124,0.5,v0.1_课题二表13,0.19588,0.025728185944855413
有效磷,production,土壤质量,0.2524,0.031,0.0078,0.5,v0.1_课题二表13,0.1886,0.02477198217888366
速效钾,production,土壤质量,0.2524,0.0261,0.0066,0.5,v0.1_课题二表13,0.18664000000000003,0.024514542703429728
阳离子交换量,production,土壤质量,0.2524,0.0214,0.0054,0.5,v0.1_课题二表13,0.18476000000000004,0.024267610961667792
汞,production,修复潜力,0.5664,0.2838,0.1607,0.5,v0.1_课题二表13,0.44672,0.058675184936112984
砷,production,修复潜力,0.5664,0.1858,0.1052,0.5,v0.1_课题二表13,0.40752,0.0535263954270343
镉,production,修复潜力,0.5664,0.1244,0.0705,0.5,v0.1_课题二表13,0.38296,0.05030052118359113
六价铬,production,修复潜力,0.5664,0.0858,0.0486,0.5,v0.1_课题二表13,0.36752,0.048272528581035645
苯并[a]芘,production,修复潜力,0.5664,0.0925,0.0524,0.5,v0.1_课题二表13,0.3702,0.04862453765971755
铅,production,修复潜力,0.5664,0.0617,0.0349,0.5,v0.1_课题二表13,0.35788,0.047006346671149966
滴滴涕,production,修复潜力,0.5664,0.0588,0.0333,0.5,v0.1_课题二表13,0.35672,0.046853984532616
六六六,production,修复潜力,0.5664,0.0458,0.0259,0.5,v0.1_课题二表13,0.35152,0.04617098184263618
镍,production,修复潜力,0.5664,0.0272,0.0154,0.5,v0.1_课题二表13,0.34408,0.04519376260928043
铜,production,修复潜力,0.5664,0.0195,0.011,0.5,v0.1_课题二表13,0.34099999999999997,0.04478921486213853
锌,production,修复潜力,0.5664,0.0146,0.0083,0.5,v0.1_课题二表13,0.33904,0.044531775386684604
光温/气候生产潜力,production,功能利用潜力,0.0808,0.6411,0.0518,0.5,v0.1_课题二表13,0.34684,0.045556279421654335
灌排能力,production,功能利用潜力,0.0808,0.18,0.0145,0.5,v0.1_课题二表13,0.1624,0.02133069939475454
地下水埋深,production,功能利用潜力,0.0808,0.1107,0.0089,0.5,v0.1_课题二表13,0.13468000000000002,0.017689769670477473
地形坡度,production,功能利用潜力,0.0808,0.0682,0.0055,0.5,v0.1_课题二表13,0.11767999999999999,0.015456876260928043
表土质地,production,固碳减排潜力,0.1004,0.4274,0.0429,0.5,v0.1_课题二表13,0.27116,0.035615963349024886
有机碳含量,production,固碳减排潜力,0.1004,0.2293,0.023,0.5,v0.1_课题二表13,0.19192000000000004,0.025208053127101553
剖面构型,production,固碳减排潜力,0.1004,0.114,0.0114,0.5,v0.1_课题二表13,0.14579999999999999,0.019150344653665097
C库变化因子,production,固碳减排潜力,0.1004,0.2293,0.023,0.5,v0.1_课题二表13,0.19192000000000004,0.025208053127101553
有效土层厚度,ecology,土壤质量,0.4967,0.1805,0.0897,0.5,v0.1_课题二表14,0.37055,0.07161950338914584
土壤容重,ecology,土壤质量,0.4967,0.1658,0.0824,0.5,v0.1_课题二表14,0.36467,0.0704830233461606
土壤入渗率,ecology,土壤质量,0.4967,0.1125,0.0559,0.5,v0.1_课题二表14,0.34335,0.06636231679574477
含盐量,ecology,土壤质量,0.4967,0.0788,0.0391,0.5,v0.1_课题二表14,0.32987,0.06375691696930924
阳离子交换量,ecology,土壤质量,0.4967,0.0788,0.0391,0.5,v0.1_课题二表14,0.32987,0.06375691696930924
pH,ecology,土壤质量,0.4967,0.0537,0.0267,0.5,v0.1_课题二表14,0.31983,0.061816396623803845
可溶性氯,ecology,土壤质量,0.4967,0.0788,0.0391,0.5,v0.1_课题二表14,0.32987,0.06375691696930924
水解性氮,ecology,土壤质量,0.4967,0.0363,0.018,0.5,v0.1_课题二表14,0.31287,0.06047117534843357
有效磷,ecology,土壤质量,0.4967,0.0363,0.018,0.5,v0.1_课题二表14,0.31287,0.06047117534843357
速效钾,ecology,土壤质量,0.4967,0.0363,0.018,0.5,v0.1_课题二表14,0.31287,0.06047117534843357
汞,ecology,修复潜力,0.3135,0.4202,0.1317,0.5,v0.1_课题二表14,0.37483,0.07244673716193101
铬(VI),ecology,修复潜力,0.3135,0.2452,0.0769,0.5,v0.1_课题二表14,0.30483,0.05891721284067825
镉,ecology,修复潜力,0.3135,0.1383,0.0434,0.5,v0.1_课题二表14,0.26207,0.050652606269581575
砷,ecology,修复潜力,0.3135,0.0786,0.0246,0.5,v0.1_课题二表14,0.23819,0.04603710568684563
铅,ecology,修复潜力,0.3135,0.0578,0.0181,0.5,v0.1_课题二表14,0.22987000000000002,0.04442902508180531
铜,ecology,修复潜力,0.3135,0.0378,0.0119,0.5,v0.1_课题二表14,0.22187,0.04288279373080499
镍,ecology,修复潜力,0.3135,0.0221,0.0069,0.5,v0.1_课题二表14,0.21559,0.04166900212026974
