column,missing_pct
C10C40_TPH_mgkg,100.0
C5C10_TPH_mgkg,100.0
SampleCount,99.99
S_mgkg,99.97
Na_mgkg,99.96
DMP_ugkg,99.67
DEP_ugkg,99.66
DBP_ugkg,99.63
BBP_ugkg,99.72
DEHP_ugkg,99.59
DNOP_ugkg,99.69
DiBP_ugkg,99.95
BMPP_ugkg,99.97
DEEP_ugkg,99.97
DHXP_ugkg,99.97
DBEP_ugkg,99.99
Sum6PAE_ugkg,99.99
BDE28_ngg,99.99
BDE47_ngg,99.99
BDE99_ngg,99.99
BDE100_ngg,99.99
BDE153_ngg,99.99
BDE154_ngg,99.99
BDE138_ngg,99.99
BDE183_ngg,99.99
BDE190_ngg,99.99
BDE206_ngg,99.99
BDE207_ngg,99.99
BDE208_ngg,99.99
Org_Matter_gkg,100.0
Olsen_P_mgkg,100.0
NH4OAc_K_mgkg,100.0
Alk_hydrolyzable_N_mgkg,100.0
DTPA_Fe_mgkg,100.0
DTPA_Mn_mgkg,100.0
DTPA_Cu_mgkg,100.0
HCB_ngg,99.98
SamplingDate,100.0
N_mgkg,100.0
SampingDepth,100.0
Ti_mgkg,99.88
Comment_SamplingID,100.0
Comment_DataRepresentation,100.0
pH_in_Results,100.0
SumPCB_mgkg,100.0
BDE209_mgkg,100.0
SumPBDE_mgkg,100.0
Extraction_Notes_Additional,100.0
Si_mgkg,99.98
Cl_mgkg,99.97
Zr_mgkg,99.93
Nb_mgkg,99.98
Ag_mgkg,99.97
Ta_mgkg,99.98
Rb_mgkg,99.93
Be_mgkg,99.98
DIBP_ugkg,99.96
extraction_note,99.96
PCDD/Fs_pg_TEQ_g,100.0
SOC_pct,100.0
NO3_N_mgkg,100.0
Fe_gkg,100.0
o_p_DDE_ngg,99.98
o_p_DDD_ngg,99.98
extraction_notes_row,100.0
ExtractionNote_AP,100.0
ExtractionNote_DTPA_Cd,100.0
WaterContent_pct,99.98
TK_gkg,99.99
SOC_gkg,99.99
AK_mgkg,99.99
AN_mgkg,99.99
Ce_mgkg,99.99
La_mgkg,99.99
Li_mgkg,99.99
Sc_mgkg,99.99
Th_mgkg,99.99
Sum_PCB_mgkg,99.99
Tl_mgkg,99.99
Cd_treatment_mgkg,99.99
O3_treatment,99.99
Bi_mgkg,100.0
U_mgkg,100.0
AcPy_ngg,100.0
Acp_ngg,100.0
SiteID,100.0
B_mgkg,100.0
Sum16PAH_mgkg,99.96
ParticlePorosity_pct,100.0
C_N_ratio,100.0
Sum15PAH_ngg,100.0
ChloroalkanesC10_13_ngg,100.0
PAH4_mgkg,99.99
SoilOrganicMatter_mgg,100.0
Sum_PAH_range_ngg,100.0
TotalDioxins_TEQ_ngkg,100.0
Cl_pct,100.0
S_pct,100.0
Si_pct,100.0
Br_pct,100.0
P_pct,100.0
Sn_pct,100.0
PeCBz_ngkg,100.0
HxCBz_ngkg,100.0
Methomyl_mgkg,100.0
Triazophos_mgkg,100.0
Aldrin_mgkg,100.0
Dieldrin_mgkg,100.0
Endrinketone_mgkg,100.0
ExtractableK_mgkg,100.0
ExtractableCa_mgkg,100.0
ExtractableMg_mgkg,100.0
OlsenP_ugg,100.0
SulphateS_mgg,100.0
WaterSolubleAs_mgL,100.0
Heptachlor_ngg,100.0
EndrinCHO_ngg,100.0
EndosulfanII_ngg,100.0
NH4_N_mgkg,100.0
P2O5_mgkg,100.0
Heptachlor_mgkg,100.0
Endrin_mgkg,100.0
EndosulfanII_mgkg,100.0
TotalOCP_mgkg,100.0
D_BHC_mgkg,100.0
Moisture_pct,100.0
SoilRespiration_mgCO2g,100.0
Chloride_mgL,100.0
TotalHardness_mgL,100.0
Isopropylamine_mgkg,100.0
HCB_mgkg,100.0
Endosulfan_mgkg,100.0
DDT_mgkg,100.0
t-nonachlor_mgkg,100.0
Carbofuran_mgkg,100.0
Dichlorvos_mgkg,100.0
g-chlordane_mgkg,100.0
Lindane_mgkg,100.0
DichloroBiphenyl_mgkg,100.0
Chlorpyrifos_mgkg,100.0
Profenofos_mgkg,100.0
Gravel_pct,99.99
TOC_pct,99.99
Ptot_mgkg,99.99
Ntot_mgkg,99.99
Region_category,99.99
Is_China,21.21
Region_Flag,21.21
PCB77_ngg,100.0
PCB81_ngg,100.0
PCB105_ngg,100.0
PCB114_ngg,100.0
PCB123_ngg,100.0
PCB126_ngg,100.0
PCB156_ngg,100.0
PCB157_ngg,100.0
PCB167_ngg,100.0
PCB169_ngg,100.0
PCB189_ngg,100.0
SumPAE_ngg,100.0
SumPBB_ngg,100.0
PBDE209_ngg,100.0
PCDD_Fs_Total_pg_g,99.98
PCNs_Total_pg_g,99.98
Sum47PAH_ngg,100.0
Sum26alkylPAH_ngg,100.0
DMEP_ugkg,99.99
DPP_ugkg,99.99
DPHP_ugkg,99.98
DNP_ugkg,99.98
DCHP_ugkg,99.99
PFBA_ngg,100.0
PFPeA_ngg,100.0
PFHxA_ngg,100.0
PFHpA_ngg,100.0
PFOA_ngg,99.87
PFNA_ngg,100.0
PFDA_ngg,100.0
PFBS_ngg,100.0
PFHxS_ngg,100.0
PFOS_ngg,99.99
RAP_mgkg,99.97
SOM_gkg,99.97
BAF,100.0
c_HCH_ngg,100.0
In_mgkg,100.0
Cs_mgkg,100.0
DOP_ugkg,99.99
A_HCH_pct_total,100.0
D_HCH_pct_total,100.0
Province_City,100.0
BgP_ngg,100.0
InP_ngg,100.0
HCBD_ngg,100.0
CaO_pct,100.0
SiO2_pct,100.0
Al2O3_pct,100.0
Fe2O3_pct,100.0
MgO_pct,100.0
K2O_pct,100.0
Na2O_pct,100.0
DiBP_mgkg,99.99
DnBP_mgkg,99.99
DEP_mgkg,99.99
BBP_mgkg,99.99
DMP_mgkg,99.99
DnOP_mgkg,99.99
TownOrTownship,99.99
Self_defined_SoilDensity_gcm3,100.0
Self_defined_WC_pct,100.0
Self_defined_TVN_pct,100.0
Self_defined_SOM_gkg,100.0
Self_defined_TK_pct,100.0
Self_defined_AN_mgkg,100.0
Self_defined_AP_mgkg,100.0
Number_of_Samples,100.0
PBT_ngg,100.0
TTHQ,100.0
ExtractionNote,99.99
Mineral,100.0
SumPFAAs_ngg,100.0
SumAlternatives_ngg,100.0
SumPFAS_max_ngg,100.0
PFUnDA_ngg,100.0
PFDoDA_ngg,100.0
HFPO_DA_ngg,100.0
F53B_ngg,100.0
6_2FTS_ngg,100.0
3-ClFlu_ngg,100.0
8-ClFlu_ngg,100.0
1-ClPyr_ngg,100.0
7-ClBaA_ngg,100.0
6-ClBaP_ngg,100.0
"3,9-Cl2Phe_ngg",100.0
9-ClPhe_ngg,100.0
"9,10-Cl2Phe_ngg",100.0
"9,10-Cl2Ant_1,9-Cl2Phe_ngg",100.0
9-ClAnt_ngg,100.0
p_p_DDE_min,100.0
p_p_DDE_max,100.0
