factor_name_norm,data_column,coverage_pct,track
SoilBD_gcm3,SoilBD_gcm3,2.31,production
Cr_mgkg,Cr_mgkg,46.3,production
Pb_mgkg,Pb_mgkg,55.91,production
As_mgkg,As_mgkg,40.32,production
Cd_mgkg,Cd_mgkg,55.02,production
Hg_mgkg,Hg_mgkg,25.28,production
Ni_mgkg,Ni_mgkg,29.11,production
Zn_mgkg,Zn_mgkg,48.27,production
Cu_mgkg,Cu_mgkg,48.6,production
OC_pct,OC_pct,34.69,production
TN_gkg,TN_gkg,3.66,production
SumHCHs_ngg,SumHCHs_ngg,2.22,production
SumDDTs_ngg,SumDDTs_ngg,2.42,production
TPH_ngg,TPH_ngg,0.07,production
BaP_ngg,BaP_ngg,3.71,production
pH,pH,12.32,production
EC_mScm,EC_mScm,2.7,production
CEC_cmolkg,CEC_cmolkg,28.33,production
