indicator_code,indicator_name,scope,crop,region,year,unit,value,direction,source_name,source_url,source_document,table_or_page,is_proxy,version,effective_date,derivation
D18,劳动力成本,production,rice,CN,2015,元/亩·年,508.59,negative,全国农产品成本收益资料汇编2021,https://www.zgtjcbs.com/data/attachement/pdf/site2/20211111/1636611914406.pdf,全国农产品成本收益资料汇编2021,表1-2-1/1-2-2 第13-14页,true,v1.1,2026-07-20,稻谷每亩人工成本
D18,劳动力成本,production,rice,CN,2016,元/亩·年,495.34,negative,全国农产品成本收益资料汇编2021,https://www.zgtjcbs.com/data/attachement/pdf/site2/20211111/1636611914406.pdf,全国农产品成本收益资料汇编2021,表1-2-1/1-2-2 第13-14页,true,v1.1,2026-07-20,稻谷每亩人工成本
D18,劳动力成本,production,rice,CN,2017,元/亩·年,482.93,negative,全国农产品成本收益资料汇编2021,https://www.zgtjcbs.com/data/attachement/pdf/site2/20211111/1636611914406.pdf,全国农产品成本收益资料汇编2021,表1-2-1/1-2-2 第13-14页,true,v1.1,2026-07-20,稻谷每亩人工成本
D18,劳动力成本,production,rice,CN,2018,元/亩·年,473.85,negative,全国农产品成本收益资料汇编2021,https://www.zgtjcbs.com/data/attachement/pdf/site2/20211111/1636611914406.pdf,全国农产品成本收益资料汇编2021,表1-2-1/1-2-2 第13-14页,true,v1.1,2026-07-20,稻谷每亩人工成本
D18,劳动力成本,production,rice,CN,2019,元/亩·年,474.20,negative,全国农产品成本收益资料汇编2021,https://www.zgtjcbs.com/data/attachement/pdf/site2/20211111/1636611914406.pdf,全国农产品成本收益资料汇编2021,表1-2-1/1-2-2 第13-14页,true,v1.1,2026-07-20,稻谷每亩人工成本
D18,劳动力成本,production,rice,CN,2020,元/亩·年,467.41,negative,全国农产品成本收益资料汇编2021,https://www.zgtjcbs.com/data/attachement/pdf/site2/20211111/1636611914406.pdf,全国农产品成本收益资料汇编2021,表1-2-1/1-2-2 第13-14页,true,v1.1,2026-07-20,稻谷每亩人工成本
D19,机械作业及服务成本,production,rice,CN,2015,元/亩·年,175.68,negative,全国农产品成本收益资料汇编2021,https://www.zgtjcbs.com/data/attachement/pdf/site2/20211111/1636611914406.pdf,全国农产品成本收益资料汇编2021,表1-2-2 第14页,true,v1.1,2026-07-20,稻谷每亩机械作业费
D19,机械作业及服务成本,production,rice,CN,2016,元/亩·年,180.78,negative,全国农产品成本收益资料汇编2021,https://www.zgtjcbs.com/data/attachement/pdf/site2/20211111/1636611914406.pdf,全国农产品成本收益资料汇编2021,表1-2-2 第14页,true,v1.1,2026-07-20,稻谷每亩机械作业费
D19,机械作业及服务成本,production,rice,CN,2017,元/亩·年,184.69,negative,全国农产品成本收益资料汇编2021,https://www.zgtjcbs.com/data/attachement/pdf/site2/20211111/1636611914406.pdf,全国农产品成本收益资料汇编2021,表1-2-2 第14页,true,v1.1,2026-07-20,稻谷每亩机械作业费
D19,机械作业及服务成本,production,rice,CN,2018,元/亩·年,190.86,negative,全国农产品成本收益资料汇编2021,https://www.zgtjcbs.com/data/attachement/pdf/site2/20211111/1636611914406.pdf,全国农产品成本收益资料汇编2021,表1-2-2 第14页,true,v1.1,2026-07-20,稻谷每亩机械作业费
D19,机械作业及服务成本,production,rice,CN,2019,元/亩·年,194.21,negative,全国农产品成本收益资料汇编2021,https://www.zgtjcbs.com/data/attachement/pdf/site2/20211111/1636611914406.pdf,全国农产品成本收益资料汇编2021,表1-2-2 第14页,true,v1.1,2026-07-20,稻谷每亩机械作业费
D19,机械作业及服务成本,production,rice,CN,2020,元/亩·年,200.54,negative,全国农产品成本收益资料汇编2021,https://www.zgtjcbs.com/data/attachement/pdf/site2/20211111/1636611914406.pdf,全国农产品成本收益资料汇编2021,表1-2-2 第14页,true,v1.1,2026-07-20,稻谷每亩机械作业费
D20,土地成本,production,rice,CN,2015,元/亩·年,214.84,negative,全国农产品成本收益资料汇编2021,https://www.zgtjcbs.com/data/attachement/pdf/site2/20211111/1636611914406.pdf,全国农产品成本收益资料汇编2021,表1-2-1 第13页,true,v1.1,2026-07-20,稻谷每亩土地成本
D20,土地成本,production,rice,CN,2016,元/亩·年,221.94,negative,全国农产品成本收益资料汇编2021,https://www.zgtjcbs.com/data/attachement/pdf/site2/20211111/1636611914406.pdf,全国农产品成本收益资料汇编2021,表1-2-1 第13页,true,v1.1,2026-07-20,稻谷每亩土地成本
D20,土地成本,production,rice,CN,2017,元/亩·年,229.31,negative,全国农产品成本收益资料汇编2021,https://www.zgtjcbs.com/data/attachement/pdf/site2/20211111/1636611914406.pdf,全国农产品成本收益资料汇编2021,表1-2-1 第13页,true,v1.1,2026-07-20,稻谷每亩土地成本
D20,土地成本,production,rice,CN,2018,元/亩·年,235.12,negative,全国农产品成本收益资料汇编2021,https://www.zgtjcbs.com/data/attachement/pdf/site2/20211111/1636611914406.pdf,全国农产品成本收益资料汇编2021,表1-2-1 第13页,true,v1.1,2026-07-20,稻谷每亩土地成本
D20,土地成本,production,rice,CN,2019,元/亩·年,241.09,negative,全国农产品成本收益资料汇编2021,https://www.zgtjcbs.com/data/attachement/pdf/site2/20211111/1636611914406.pdf,全国农产品成本收益资料汇编2021,表1-2-1 第13页,true,v1.1,2026-07-20,稻谷每亩土地成本
D20,土地成本,production,rice,CN,2020,元/亩·年,244.05,negative,全国农产品成本收益资料汇编2021,https://www.zgtjcbs.com/data/attachement/pdf/site2/20211111/1636611914406.pdf,全国农产品成本收益资料汇编2021,表1-2-1 第13页,true,v1.1,2026-07-20,稻谷每亩土地成本
