family_id,label,data_column,diagnosis_layer,threshold_role
PAHs_total,PAHs总量,Sum_PAH_ngg,supplementary_screening,screening_reference
PAHs_total,PAHs总量,SumPAH_ngg,supplementary_screening,screening_reference
PAHs_total,PAHs总量,Sum16PAH_ngg,supplementary_screening,screening_reference
PAHs_total,PAHs总量,Sum_PAH_mgkg,supplementary_screening,screening_reference
OCPs_total,有机氯农药总量,SumOCP_ngg,supplementary_screening,screening_reference
DDTs_total,滴滴涕总量,SumDDTs_ngg,supplementary_screening,screening_reference
HCHs_total,六六六总量,SumHCHs_ngg,supplementary_screening,screening_reference
PCBs_total,多氯联苯总量,SumPCB_ngg,supplementary_screening,screening_reference
PCBs_total,多氯联苯总量,TotalPCB_ugg,supplementary_screening,screening_reference
PBDEs_total,多溴二苯醚总量,SumPBDE_ngg,supplementary_screening,screening_reference
PFAS_total,PFAS总量,SumPFAS_ngg,supplementary_screening,screening_reference
PFAS_total,PFAS总量,SumPFAAs_ngg,supplementary_screening,screening_reference
PAEs_total,邻苯二甲酸酯总量,SumPAE_ugkg,supplementary_screening,screening_reference
PAEs_total,邻苯二甲酸酯总量,Sum6PAE_ugkg,supplementary_screening,screening_reference
TPH_total,石油烃总量,TPH_ngg,supplementary_screening,screening_reference
TPH_total,石油烃总量,TPH_mgkg,supplementary_screening,screening_reference
TPH_total,石油烃总量,Tph_mgkg,supplementary_screening,screening_reference
TPH_total,石油烃总量,TotalPHC_mgkg,supplementary_screening,screening_reference
