ID,DOI,Source,Year,镉,铅,砷,铜,锌,镍,铬,汞,超标因子数,标签,标签_生产,标签_生态,id_DOI,id_Source,split_source,is_synthetic,镉__missing,铅__missing,砷__missing,铜__missing,锌__missing,镍__missing,铬__missing,汞__missing
1039,10.1038/s41598-025-05989-9,s41598-025_Shangzhou,,0.3911819887429643,56.35530018761727,20.429174484052535,51.83489681050657,205.08044090056288,46.265478424015015,98.30393996247656,0.3501,2.0,1,1,0,10.1038/s41598-025-05989-9,s41598-025_Shangzhou,real_model_ready,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1040,10.1038/s41598-025-05989-9,s41598-025_Shangzhou,,2.0803996194100858,45.10204567078972,13.14081826831589,45.82778306374882,265.7138439581351,39.31969552806851,73.98097050428164,0.50828,3.0,1,1,0,10.1038/s41598-025-05989-9,s41598-025_Shangzhou,real_model_ready,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1041,10.1038/s41598-025-05989-9,s41598-025_Shangzhou,,1.8623188405797104,41.119565217391305,10.360386473429951,48.15652173913044,323.0036231884058,42.73333333333334,99.268115942029,0.19277,2.0,1,1,0,10.1038/s41598-025-05989-9,s41598-025_Shangzhou,real_model_ready,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1042,10.1038/s41598-025-05989-9,s41598-025_Shangzhou,,0.2351219512195122,26.641707317073173,19.444878048780488,37.514634146341464,115.75975609756098,48.60780487804879,89.4439024390244,0.02094,0.0,0,0,0,10.1038/s41598-025-05989-9,s41598-025_Shangzhou,real_model_ready,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1043,10.1038/s41598-025-05989-9,s41598-025_Shangzhou,,0.4325897187196896,20.255819592628516,12.391367604267703,24.607177497575172,73.30334626576139,30.69107662463628,54.68331716779826,0.01495,1.0,1,1,0,10.1038/s41598-025-05989-9,s41598-025_Shangzhou,real_model_ready,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1044,10.1038/s41598-025-05989-9,s41598-025_Shangzhou,,0.2021725130548897,17.85,7.31,54.61,71.1,41.91,66.47,0.09369735160351748,0.0,0,0,0,10.1038/s41598-025-05989-9,s41598-025_Shangzhou,real_model_ready,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1045,10.1038/s41598-025-05989-9,s41598-025_Shangzhou,,0.2021725130548897,15.27,8.16,47.22,144.47,26.99,69.24,0.2061681434932189,0.0,0,0,0,10.1038/s41598-025-05989-9,s41598-025_Shangzhou,real_model_ready,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1046,10.1038/s41598-025-05989-9,s41598-025_Shangzhou,,0.20061294194439658,47.87,9.03,23.6,119.94,41.76,49.1,0.11812697590432727,0.0,0,0,0,10.1038/s41598-025-05989-9,s41598-025_Shangzhou,real_model_ready,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1047,10.1038/s41598-025-05989-9,s41598-025_Shangzhou,,0.2021725130548897,38.27,6.45,45.45,53.2,31.48,42.69,0.09488633804800384,0.0,0,0,0,10.1038/s41598-025-05989-9,s41598-025_Shangzhou,real_model_ready,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1048,10.1038/s41598-025-05989-9,s41598-025_Shangzhou,,0.2021725130548897,20.58,7.79,41.58,21.16,44.77,44.54,0.09369735160351748,0.0,0,0,0,10.1038/s41598-025-05989-9,s41598-025_Shangzhou,real_model_ready,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1049,10.1038/s41598-025-05989-9,s41598-025_Shangzhou,,0.2021725130548897,13.62,6.67,56.57,101.11,43.93,53.65,0.0973531308068379,0.0,0,0,0,10.1038/s41598-025-05989-9,s41598-025_Shangzhou,real_model_ready,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1050,10.1038/s41598-025-05989-9,s41598-025_Shangzhou,,2.121334376811214,37.83,11.34,74.2,259.33,31.27,44.5,0.3839569735971037,1.0,1,1,0,10.1038/s41598-025-05989-9,s41598-025_Shangzhou,real_model_ready,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1051,10.1038/s41598-025-05989-9,s41598-025_Shangzhou,,2.121334376811214,39.91,13.58,61.2,278.11,25.76,42.15,0.3839569735971037,1.0,1,1,0,10.1038/s41598-025-05989-9,s41598-025_Shangzhou,real_model_ready,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
