factor,track,category,threshold_value,unit,ph_segment,land_class,source,confidence,note
γ-六六六,生态,OP,≤1.9mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
γ-六六六,生态,OP,≤0.62mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
六氯苯,生态,OP,≤1mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
六氯苯,生态,OP,≤0.33mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
灭蚁灵,生态,OP,≤0.09mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
灭蚁灵,生态,OP,≤0.03mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
多氯联苯(总量),生态,OP,≤0.38mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
多氯联苯(总量),生态,OP,≤0.14mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
"3,3'4,4',5-五氯联苯(PCB126)",生态,OP,≤1×10⁻⁴mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
"3,3'4,4',5-五氯联苯(PCB126)",生态,OP,≤4×10⁻⁵mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
"3,3'4,4'5,5'-六氯联苯(PCB169)",生态,OP,≤4×10⁻⁴mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
"3,3'4,4'5,5'-六氯联苯(PCB169)",生态,OP,≤1×10⁻⁴mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
二噁英类(总毒性当量),生态,OP,≤4×10⁻⁵mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
二噁英类(总毒性当量),生态,OP,≤1×10⁻⁵mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
多溴联苯(总量),生态,OP,≤0.06mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
多溴联苯(总量),生态,OP,≤0.02mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
石油烃(C10-C40),生态,OP,≤4500mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
石油烃(C10-C40),生态,OP,≤826mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
发芽指数,生态,理化肥力,>80%,%,无,绿化,CJ/T340-2016,high,用地前缀:普通绿化区; 场景:一般绿地
发芽指数,生态,理化肥力,pending,,无,pending,pending,pending,
