factor,track,category,threshold_value,unit,ph_segment,land_class,source,confidence,note
氯乙烯,生态,OP,≤0.12mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
苯,生态,OP,≤4mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
苯,生态,OP,≤1mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
氯苯,生态,OP,≤68mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:一般绿地
氯苯,生态,OP,≤270mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:特殊绿地
"1,2-二氯苯",生态,OP,≤560mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
"1,2-二氯苯",生态,OP,≤560mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
"1,4-二氯苯",生态,OP,≤20mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
"1,4-二氯苯",生态,OP,≤5.6mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
乙苯,生态,OP,≤28mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
乙苯,生态,OP,≤7.2mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
苯乙烯,生态,OP,≤1290mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
苯乙烯,生态,OP,≤1290mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
甲苯,生态,OP,≤1200mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
甲苯,生态,OP,≤1200mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
间-二甲苯+对-二甲苯,生态,OP,≤570mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
间-二甲苯+对-二甲苯,生态,OP,≤163mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
邻-二甲苯,生态,OP,≤640mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
邻-二甲苯,生态,OP,≤222mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
硝基苯,生态,OP,≤76mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
硝基苯,生态,OP,≤34mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
苯胺,生态,OP,≤260mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
苯胺,生态,OP,≤92mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
2-氯酚,生态,OP,≤2256mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
2-氯酚,生态,OP,≤250mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
苯并[a]蒽,生态,OP,≤15mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
苯并[a]蒽,生态,OP,≤5.5mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
苯并[a]芘,生态,OP,≤1.5mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
苯并[a]芘,生态,OP,≤0.55mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
苯并[b]荧蒽,生态,OP,≤15mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
苯并[b]荧蒽,生态,OP,≤5.5mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
苯并[k]荧蒽,生态,OP,≤151mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
苯并[k]荧蒽,生态,OP,≤55mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
䓛,生态,OP,≤1293mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
䓛,生态,OP,≤490mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
"二苯并[a,h]蒽",生态,OP,≤1.5mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
"二苯并[a,h]蒽",生态,OP,≤0.55mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
"茚并[1,2,3-cd]芘",生态,OP,≤15mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
"茚并[1,2,3-cd]芘",生态,OP,≤5.5mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
萘,生态,OP,≤70mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
萘,生态,OP,≤25mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
一溴二氯甲烷,生态,OP,≤1.2mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
一溴二氯甲烷,生态,OP,≤0.29mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
溴仿,生态,OP,≤103mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
溴仿,生态,OP,≤32mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
二溴氯甲烷,生态,OP,≤33mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
二溴氯甲烷,生态,OP,≤9.3mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
"1,2-二溴乙烷",生态,OP,≤0.24mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
"1,2-二溴乙烷",生态,OP,≤0.07mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
六氯环戊二烯,生态,OP,≤5.2mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
六氯环戊二烯,生态,OP,≤1.1mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
"2,4-二硝基甲苯",生态,OP,≤5.2mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
"2,4-二硝基甲苯",生态,OP,≤1.8mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
"2,4-二氯酚",生态,OP,≤843mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
