column,count,missing,missing_pct,zeros,outliers,outlier_pct,mean,median,std,cv,skew,skew_flag,min,max
StudyID,1119,0,0.0,0,0.0,0.0,250.1975,291.0,55.3713,0.2213,-0.2057,近似对称,176.0,318.0
ExperimentID,1,1118,99.91,0,0.0,0.0,308.0,308.0,0.0,0.0,,近似对称,308.0,308.0
污染风险等级,0,1119,100.0,0,,,,,,,,,,
标签,1119,0,0.0,973,146.0,13.05,0.1305,0.0,0.337,2.5827,2.1971,右偏,0.0,1.0
土地利用类型,0,1119,100.0,0,,,,,,,,,,
Cr(mg/kg),1119,0,0.0,0,25.0,2.23,70.9706,69.3,18.4498,0.26,0.3322,近似对称,4.98,158.4
Hg(mg/kg),1119,0,0.0,0,53.0,4.74,0.1088,0.076,0.1109,1.0187,3.1588,右偏,0.005,0.752
As(mg/kg),1119,0,0.0,0,51.0,4.56,12.8221,12.3,5.2626,0.4104,1.7015,右偏,2.56,50.4
Pb(mg/kg),1119,0,0.0,0,82.0,7.33,28.8438,27.2,9.9002,0.3432,2.575,右偏,8.79,134.21
Cu(mg/kg),1119,0,0.0,0,8.0,0.71,28.7322,27.8,9.2632,0.3224,2.4474,右偏,9.9,120.1
Zn(mg/kg),1119,0,0.0,0,60.0,5.36,81.9759,77.4,28.7198,0.3503,6.1839,右偏,33.68,589.34
Ni(mg/kg),1119,0,0.0,0,14.0,1.25,32.0772,31.2,8.2764,0.258,0.6708,近似对称,8.95,77.1
Cd(mg/kg),1119,0,0.0,0,10.0,0.89,0.2045,0.187,0.1025,0.5014,2.4333,右偏,0.041,1.32
OCPs(mg/kg),689,430,38.43,0,80.0,11.61,0.2781,0.0746,0.7409,2.6643,5.0132,右偏,0.0003,8.521
PAHs(mg/kg),582,537,47.99,0,126.0,21.65,0.7106,0.3022,0.9808,1.3802,1.8833,右偏,0.0123,4.3902
PCBs(mg/kg),545,574,51.3,7,81.0,14.86,0.019,0.0005,0.2018,10.6083,20.6276,右偏,0.0,4.5
PAEs(mg/kg),667,452,40.39,6,46.0,6.9,1.5901,1.0,2.3601,1.4842,4.1891,右偏,0.0,22.5
CEC,2,1117,99.82,0,0.0,0.0,1.0,1.0,0.0,0.0,,近似对称,1.0,1.0
SoilBD,315,804,71.85,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,近似对称,1.0,1.0
SandPerc,259,860,76.85,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,近似对称,1.0,1.0
SiltPerc,259,860,76.85,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,近似对称,1.0,1.0
ClayPerc,75,1044,93.3,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,近似对称,1.0,1.0
Texture,685,434,38.78,12,12.0,1.75,0.9825,1.0,0.1313,0.1336,-7.3715,左偏,0.0,1.0
SoilpH,504,615,54.96,90,90.0,17.86,0.8214,1.0,0.3834,0.4667,-1.6835,左偏,0.0,1.0
BackgroundSOC,630,489,43.7,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,近似对称,1.0,1.0
Fertilization_T,115,1004,89.72,6,6.0,5.22,0.9478,1.0,0.2234,0.2356,-4.081,左偏,0.0,1.0
OC_T,239,880,78.64,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,近似对称,1.0,1.0
N_T,368,751,67.11,183,0.0,0.0,0.5027,1.0,0.5007,0.9959,-0.0109,近似对称,0.0,1.0
P_T,178,941,84.09,0,12.0,6.74,0.9348,1.0,0.243,0.26,-3.4802,左偏,0.018,1.0
K_C,140,979,87.49,2,2.0,1.43,0.9857,1.0,0.1191,0.1208,-8.2752,左偏,0.0,1.0
EC_T,2,1117,99.82,0,0.0,0.0,1.0,1.0,0.0,0.0,,近似对称,1.0,1.0
BS_T,0,1119,100.0,0,,,,,,,,,,
Aggre_T,49,1070,95.62,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,近似对称,1.0,1.0
SWC_T,338,781,69.79,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,近似对称,1.0,1.0
