dataset,scope,group_key,n_rows,missing_pct,valid
真实数据集,field,StudyID,1119,0.0,1119
真实数据集,field,ExperimentID,1119,5.63,1056
真实数据集,field,污染风险等级,1119,0.0,1119
真实数据集,field,标签,1119,0.0,1119
真实数据集,field,土地利用类型,1119,0.0,1119
真实数据集,field,Cr(mg/kg),1119,0.0,1119
真实数据集,field,Hg(mg/kg),1119,0.0,1119
真实数据集,field,As(mg/kg),1119,0.0,1119
真实数据集,field,Pb(mg/kg),1119,0.0,1119
真实数据集,field,Cu(mg/kg),1119,0.0,1119
真实数据集,field,Zn(mg/kg),1119,0.0,1119
真实数据集,field,Ni(mg/kg),1119,0.0,1119
真实数据集,field,Cd(mg/kg),1119,0.0,1119
真实数据集,field,OCPs(mg/kg),1119,38.43,689
真实数据集,field,PAHs(mg/kg),1119,47.99,582
真实数据集,field,PCBs(mg/kg),1119,51.3,545
真实数据集,field,PAEs(mg/kg),1119,40.39,667
真实数据集,field,CEC,1119,99.82,2
真实数据集,field,SoilBD,1119,71.85,315
真实数据集,field,SandPerc,1119,76.85,259
真实数据集,field,SiltPerc,1119,76.85,259
真实数据集,field,ClayPerc,1119,93.3,75
真实数据集,field,Texture,1119,38.78,685
真实数据集,field,SoilpH,1119,54.96,504
真实数据集,field,BackgroundSOC,1119,43.7,630
真实数据集,field,Fertilization_T,1119,89.72,115
真实数据集,field,OC_T,1119,78.64,239
真实数据集,field,N_T,1119,67.11,368
真实数据集,field,P_T,1119,84.09,178
真实数据集,field,K_C,1119,87.49,140
真实数据集,field,EC_T,1119,99.82,2
真实数据集,field,BS_T,1119,100.0,0
真实数据集,field,Aggre_T,1119,95.62,49
真实数据集,field,SWC_T,1119,69.79,338
merged_std33,field,ID,41504,0.0,41504
merged_std33,field,DOI,41504,0.8,41173
merged_std33,field,Source,41504,0.0,41504
merged_std33,field,Year,41504,57.49,17645
merged_std33,field,Journal,41504,58.62,17176
merged_std33,field,Country,41504,9.66,37493
merged_std33,field,Province,41504,36.6,26312
merged_std33,field,City,41504,61.8,15853
merged_std33,field,Latitude,41504,42.46,23880
merged_std33,field,Longitude,41504,42.59,23826
merged_std33,field,SiteDescription,41504,72.4,11457
merged_std33,field,SamplingYear,41504,76.17,9891
merged_std33,field,SamplingDepth,41504,68.05,13261
merged_std33,field,LandUse,41504,47.44,21816
merged_std33,field,Pollution_Type,41504,17.2,34364
merged_std33,field,SampleID,41504,66.1,14070
merged_std33,field,SoilpH,41504,78.21,9043
merged_std33,field,pH,41504,91.48,3538
merged_std33,field,pH_merged,41504,79.18,8643
merged_std33,field,OC_pct,41504,75.05,10356
merged_std33,field,SoilBD_gcm3,41504,98.56,598
merged_std33,field,CEC_cmolkg,41504,80.8,7969
merged_std33,field,Sand_pct,41504,89.38,4409
merged_std33,field,Silt_pct,41504,89.67,4288
merged_std33,field,Clay_pct,41504,89.71,4270
merged_std33,field,SoilTexture,41504,96.18,1587
merged_std33,field,SoilType,41504,97.56,1013
merged_std33,field,Cd_mgkg,41504,47.22,21906
merged_std33,field,Pb_mgkg,41504,47.04,21981
merged_std33,field,As_mgkg,41504,61.5,15977
merged_std33,field,Cu_mgkg,41504,53.11,19463
merged_std33,field,Zn_mgkg,41504,54.53,18872
merged_std33,field,Ni_mgkg,41504,71.83,11693
merged_std33,field,Cr_mgkg,41504,56.25,18156
merged_std33,field,Hg_mgkg,41504,74.3,10665
merged_std33,field,A_HCH_ngg,41504,99.63,155
merged_std33,field,Ace_mgkg,41504,99.52,201
merged_std33,field,Ace_ngg,41504,93.92,2522
merged_std33,field,Acy_mgkg,41504,99.64,151
merged_std33,field,Acy_ngg,41504,97.92,865
merged_std33,field,Al_mgkg,41504,98.27,717
merged_std33,field,Altitude_m,41504,98.3,707
merged_std33,field,Ant_mgkg,41504,99.49,211
merged_std33,field,Ant_ngg,41504,96.85,1309
merged_std33,field,AntiDP_ngg,41504,99.86,60
merged_std33,field,BDE209_ngg,41504,99.24,317
merged_std33,field,B_HCH_ngg,41504,99.62,156
merged_std33,field,BaA_mgkg,41504,99.42,240
merged_std33,field,BaA_ngg,41504,95.36,1924
merged_std33,field,BaP_mgkg,41504,99.37,262
merged_std33,field,BaP_ngg,41504,94.51,2278
merged_std33,field,BaPeq_ngg,41504,99.16,347
merged_std33,field,Ba_mgkg,41504,99.36,264
merged_std33,field,BbF_mgkg,41504,99.44,233
merged_std33,field,BbF_ngg,41504,97.31,1115
merged_std33,field,BghiP_mgkg,41504,99.55,185
merged_std33,field,BghiP_ngg,41504,98.47,637
merged_std33,field,BkF_mgkg,41504,99.53,194
merged_std33,field,BkF_ngg,41504,97.49,1041
merged_std33,field,Ca_mgkg,41504,99.3,290
merged_std33,field,Chr_mgkg,41504,99.43,235
merged_std33,field,Chr_ngg,41504,97.18,1172
merged_std33,field,Co_mgkg,41504,97.95,850
merged_std33,field,Comments,41504,100.0,1
