paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Standard_deviation,Standard deviation,Cu_mgkg,12.31,Unknown,,high,table_p3_ri4_ci1,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Standard_deviation,Standard deviation,Pb_mgkg,12.17,Unknown,,high,table_p3_ri4_ci2,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Standard_deviation,Standard deviation,Zn_mgkg,114.11,Unknown,,high,table_p3_ri4_ci3,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Standard_deviation,Standard deviation,Ni_mgkg,15.04,Unknown,,high,table_p3_ri4_ci4,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Standard_deviation,Standard deviation,Cr_mgkg,30.41,Unknown,,high,table_p3_ri4_ci5,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Standard_deviation,Standard deviation,As_mgkg,2.56,Unknown,,high,table_p3_ri4_ci6,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Standard_deviation,Standard deviation,Cd_mgkg,0.11,Unknown,,high,table_p3_ri4_ci7,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Standard_deviation,Standard deviation,Hg_mgkg,0.06,Unknown,,high,table_p3_ri4_ci8,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Standard_deviation,Standard deviation,pH,0.88,Unknown,,high,table_p3_ri4_ci9,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Coefficient_of_variation,Coefficient of variation,Cu_mgkg,0.542,Unknown,,high,table_p3_ri5_ci1,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Coefficient_of_variation,Coefficient of variation,Pb_mgkg,0.461,Unknown,,high,table_p3_ri5_ci2,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Coefficient_of_variation,Coefficient of variation,Zn_mgkg,1.495,Unknown,,high,table_p3_ri5_ci3,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Coefficient_of_variation,Coefficient of variation,Ni_mgkg,0.527,Unknown,,high,table_p3_ri5_ci4,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Coefficient_of_variation,Coefficient of variation,Cr_mgkg,0.369,Unknown,,high,table_p3_ri5_ci5,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Coefficient_of_variation,Coefficient of variation,As_mgkg,0.261,Unknown,,high,table_p3_ri5_ci6,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Coefficient_of_variation,Coefficient of variation,Cd_mgkg,1.107,Unknown,,high,table_p3_ri5_ci7,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Coefficient_of_variation,Coefficient of variation,Hg_mgkg,1.678,Unknown,,high,table_p3_ri5_ci8,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Coefficient_of_variation,Coefficient of variation,pH,0.113,Unknown,,high,table_p3_ri5_ci9,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Skewness,Skewness,Cu_mgkg,3.731,Unknown,,high,table_p3_ri6_ci1,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
