paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
70567_acs.est.9b00698,70567_acs.est.9b00698_$C___{_\mathrm_{_{_A_}_}_}$,$C _ { \mathrm { { A } } }$,SumDDT_ngg,16.0,Unknown,,high,table_p26_ri4_ci2,Table 1. Summary of OCP and PCB concentrations in the ambient air $( C _ { \mathrm { A } } ; \mathbf { p } \mathbf { g } \ \mathbf { m } ^ { - 3 } )$ ，surface air $( C _ { \mathrm { { S A } } } ; { \b
70567_acs.est.9b00698,70567_acs.est.9b00698_$C___{_\mathrm_{_S_A_}_}$,$C _ { \mathrm { S A } }$,SumDDT_ngg,2.3,Unknown,,high,table_p26_ri4_ci3,Table 1. Summary of OCP and PCB concentrations in the ambient air $( C _ { \mathrm { A } } ; \mathbf { p } \mathbf { g } \ \mathbf { m } ^ { - 3 } )$ ，surface air $( C _ { \mathrm { { S A } } } ; { \b
70567_acs.est.9b00698,70567_acs.est.9b00698_$C___{_\mathrm_{_{_S_}_}_}$,$C _ { \mathrm { { S } } }$,SumDDT_ngg,50.0,Unknown,,high,table_p26_ri4_ci4,Table 1. Summary of OCP and PCB concentrations in the ambient air $( C _ { \mathrm { A } } ; \mathbf { p } \mathbf { g } \ \mathbf { m } ^ { - 3 } )$ ，surface air $( C _ { \mathrm { { S A } } } ; { \b
70567_acs.est.9b00698,70567_acs.est.9b00698_$C___{_\mathrm_{_{_A_}_}_}$,$C _ { \mathrm { { A } } }$,SumPCB_ngg,11.0,Unknown,,high,table_p26_ri5_ci2,Table 1. Summary of OCP and PCB concentrations in the ambient air $( C _ { \mathrm { A } } ; \mathbf { p } \mathbf { g } \ \mathbf { m } ^ { - 3 } )$ ，surface air $( C _ { \mathrm { { S A } } } ; { \b
70567_acs.est.9b00698,70567_acs.est.9b00698_$C___{_\mathrm_{_S_A_}_}$,$C _ { \mathrm { S A } }$,SumPCB_ngg,1.3,Unknown,,high,table_p26_ri5_ci3,Table 1. Summary of OCP and PCB concentrations in the ambient air $( C _ { \mathrm { A } } ; \mathbf { p } \mathbf { g } \ \mathbf { m } ^ { - 3 } )$ ，surface air $( C _ { \mathrm { { S A } } } ; { \b
70567_acs.est.9b00698,70567_acs.est.9b00698_$C___{_\mathrm_{_{_S_}_}_}$,$C _ { \mathrm { { S } } }$,SumPCB_ngg,33.0,Unknown,,high,table_p26_ri5_ci4,Table 1. Summary of OCP and PCB concentrations in the ambient air $( C _ { \mathrm { A } } ; \mathbf { p } \mathbf { g } \ \mathbf { m } ^ { - 3 } )$ ，surface air $( C _ { \mathrm { { S A } } } ; { \b
70567_acs.est.9b00698,70567_acs.est.9b00698_$C___{_\mathrm_{_{_A_}_}_}$,$C _ { \mathrm { { A } } }$,Co_mgkg,8.3,Unknown,,high,table_p26_ri6_ci2,Table 1. Summary of OCP and PCB concentrations in the ambient air $( C _ { \mathrm { A } } ; \mathbf { p } \mathbf { g } \ \mathbf { m } ^ { - 3 } )$ ，surface air $( C _ { \mathrm { { S A } } } ; { \b
70567_acs.est.9b00698,70567_acs.est.9b00698_$C___{_\mathrm_{_S_A_}_}$,$C _ { \mathrm { S A } }$,Co_mgkg,6.2,Unknown,,high,table_p26_ri6_ci3,Table 1. Summary of OCP and PCB concentrations in the ambient air $( C _ { \mathrm { A } } ; \mathbf { p } \mathbf { g } \ \mathbf { m } ^ { - 3 } )$ ，surface air $( C _ { \mathrm { { S A } } } ; { \b
70567_acs.est.9b00698,70567_acs.est.9b00698_$C___{_\mathrm_{_{_S_}_}_}$,$C _ { \mathrm { { S } } }$,Co_mgkg,1.1,Unknown,,high,table_p26_ri6_ci4,Table 1. Summary of OCP and PCB concentrations in the ambient air $( C _ { \mathrm { A } } ; \mathbf { p } \mathbf { g } \ \mathbf { m } ^ { - 3 } )$ ，surface air $( C _ { \mathrm { { S A } } } ; { \b
70567_acs.est.9b00698,70567_acs.est.9b00698_$C___{_\mathrm_{_{_A_}_}_}$,$C _ { \mathrm { { A } } }$,SumDDT_ngg,21.0,Unknown,,high,table_p26_ri8_ci2,Table 1. Summary of OCP and PCB concentrations in the ambient air $( C _ { \mathrm { A } } ; \mathbf { p } \mathbf { g } \ \mathbf { m } ^ { - 3 } )$ ，surface air $( C _ { \mathrm { { S A } } } ; { \b
70567_acs.est.9b00698,70567_acs.est.9b00698_$C___{_\mathrm_{_{_S_}_}_}$,$C _ { \mathrm { { S } } }$,SumDDT_ngg,52.0,Unknown,,high,table_p26_ri8_ci4,Table 1. Summary of OCP and PCB concentrations in the ambient air $( C _ { \mathrm { A } } ; \mathbf { p } \mathbf { g } \ \mathbf { m } ^ { - 3 } )$ ，surface air $( C _ { \mathrm { { S A } } } ; { \b
70567_acs.est.9b00698,70567_acs.est.9b00698_$C___{_\mathrm_{_{_A_}_}_}$,$C _ { \mathrm { { A } } }$,SumPCB_ngg,5.6,Unknown,,high,table_p26_ri9_ci2,Table 1. Summary of OCP and PCB concentrations in the ambient air $( C _ { \mathrm { A } } ; \mathbf { p } \mathbf { g } \ \mathbf { m } ^ { - 3 } )$ ，surface air $( C _ { \mathrm { { S A } } } ; { \b
70567_acs.est.9b00698,70567_acs.est.9b00698_$C___{_\mathrm_{_S_A_}_}$,$C _ { \mathrm { S A } }$,SumPCB_ngg,0.3,Unknown,,high,table_p26_ri9_ci3,Table 1. Summary of OCP and PCB concentrations in the ambient air $( C _ { \mathrm { A } } ; \mathbf { p } \mathbf { g } \ \mathbf { m } ^ { - 3 } )$ ，surface air $( C _ { \mathrm { { S A } } } ; { \b
70567_acs.est.9b00698,70567_acs.est.9b00698_$C___{_\mathrm_{_{_S_}_}_}$,$C _ { \mathrm { { S } } }$,SumPCB_ngg,15.0,Unknown,,high,table_p26_ri9_ci4,Table 1. Summary of OCP and PCB concentrations in the ambient air $( C _ { \mathrm { A } } ; \mathbf { p } \mathbf { g } \ \mathbf { m } ^ { - 3 } )$ ，surface air $( C _ { \mathrm { { S A } } } ; { \b
70567_acs.est.9b00698,70567_acs.est.9b00698_$C___{_\mathrm_{_{_A_}_}_}$,$C _ { \mathrm { { A } } }$,SumDDT_ngg,14.0,Unknown,,high,table_p26_ri12_ci2,Table 1. Summary of OCP and PCB concentrations in the ambient air $( C _ { \mathrm { A } } ; \mathbf { p } \mathbf { g } \ \mathbf { m } ^ { - 3 } )$ ，surface air $( C _ { \mathrm { { S A } } } ; { \b
70567_acs.est.9b00698,70567_acs.est.9b00698_$C___{_\mathrm_{_S_A_}_}$,$C _ { \mathrm { S A } }$,SumDDT_ngg,6.8,Unknown,,high,table_p26_ri12_ci3,Table 1. Summary of OCP and PCB concentrations in the ambient air $( C _ { \mathrm { A } } ; \mathbf { p } \mathbf { g } \ \mathbf { m } ^ { - 3 } )$ ，surface air $( C _ { \mathrm { { S A } } } ; { \b
70567_acs.est.9b00698,70567_acs.est.9b00698_$C___{_\mathrm_{_{_S_}_}_}$,$C _ { \mathrm { { S } } }$,SumDDT_ngg,38.0,Unknown,,high,table_p26_ri12_ci4,Table 1. Summary of OCP and PCB concentrations in the ambient air $( C _ { \mathrm { A } } ; \mathbf { p } \mathbf { g } \ \mathbf { m } ^ { - 3 } )$ ，surface air $( C _ { \mathrm { { S A } } } ; { \b
